;martedi;mercoledi;giovedi;tot
greedy;140.0;144.0;147.0;431.0
ls;140.0;144.0;136.0;420.0
2opt;135.0;144.0;136.0;415.0
greedy-ls;0.0;0.0;0.081;0.026
ls-2opt;0.037;0.0;0.0;0.012
