;lunedi;martedi;mercoledi;giovedi;venerdi;tot
greedy;209.0;248.0;207.0;156.0;185.0;1005.0
ls;194.0;235.0;206.0;154.0;185.0;974.0
2opt;187.0;219.0;206.0;126.0;174.0;912.0
greedy-ls;0.077;0.055;0.005;0.013;0.0;0.032
ls-2opt;0.037;0.073;0.0;0.222;0.063;0.068
