;martedi;mercoledi;giovedi;tot
greedy;199.0;198.0;128.0;525.0
ls;128.0;198.0;126.0;452.0
2opt;122.0;175.0;126.0;423.0
greedy-ls;0.555;0.0;0.016;0.162
ls-2opt;0.049;0.131;0.0;0.069
