;Agnadello, Marconi, 6;Annicco, Giuseppe Garibaldi, 6;Bagnolo Cremasco, Roma, 3;Bonemerse, Roma, 25;Camisano, Trieste, 57;Capergnanica, XI febbraio, 7;Capralba, Piave, 2;Casalbuttano ed Uniti, Jacini, 23;Casale Cremasco-Vidolasco, Roma, 56;Casalmaggiore, Guglielmo Marconi, 8;Casalpusterlengo, Pusterla 7;Castelleone, Roma, 67;Castelverde, Ubaldo Ferrari, 15;Cingia de' Botti, Giuseppina, 79;Crema, Civerchi, 9;Crema, Dante Alighieri, 49;Cremona, Sesto, 41;Cremona, Ugolani Dati, 4;Cremona, Ugolani Dati, 4;Dovera, Oldrini 2;Fiesco, Giuseppe Parini, 10;Gadesco-Pieve Delmona, Giovanni Lonati 9;Grontardo, Roma, 16;Grumello Cremonese ed Uniti, Roma, 2;Gussola, Comaschi, 1;Isola Dovarese, Giacomo Matteotti, 1;Izano, Gerardo da Izano, 4/C;Madignano, Portici, 4;Martignana di Po, Libertà, 64;Monte Cremasco, Roma, 12;Montodine,  XXV Aprile, 10;Offanengo, Clavelli Martini, 5;Ostiano, Mazzini, 1;Paderno Ponchielli, Municipio, 3;Palazzo Pignano, Marco Polo, 31;Pandino, Castello, 15;Persico Dosimo, Albert ,7;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Piadena, Platina, 40;Pianengo, Roma, 59;Pizzighettone, Giuseppe Garibaldi, 18;Manerbio, INSURREZIONE NAZIONALE;Viadana, A. Manzoni, 2;Ricengo, Guglielmo Marconi;Ripalta Cremasca, Roma, 5;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;Rivolta d'Adda, Stefano Renzi, 5;Romanengo, Guaiarini, 14;San Bassano, Mons. Frosi (ex piazza Scuole);San Giovanni in Croce, Feudatari, 25 A;Scandolara Ravara, Italia;Sergnano, IV Novembre,  10;Sesto ed Uniti, Roma, 4;Solarolo Rainerio, Giuseppina, 81;Soncino, Dante Alighieri, 23;Soresina, Giacomo Matteotti, 6;Sospiro, Europa, 2;Spino d'Adda, Circonvallazione, 13;Trescore Cremasco, Vittorio Veneto, 1;Trigolo, Roma, 26;Vaiano Cremasco,  Gloriosi Caduti, 3;Vailate, Dante Alighieri, 7;Vescovato, Roma, 44;Cremona, Felice Cavallotti, 2;Cremona, Palosca n. 2;Cremona, Palosca n. 2;Ostiano;San Giovanni
Fiesco, Giuseppe Parini, 10;29.35;18.7;22.283333333333335;38.733333333333334;19.25;18.316666666666666;23.75;22.433333333333334;18.25;67.98333333333333;29.35;7.616666666666666;30.183333333333334;50.916666666666664;15.1;14.8;21.85;34.28333333333333;34.28333333333333;25.666666666666668;0.0;38.333333333333336;41.18333333333333;20.3;61.81666666666667;51.03333333333333;5.3;11.883333333333333;62.46666666666667;22.9;14.4;11.033333333333333;50.21666666666667;18.8;21.633333333333333;25.9;35.36666666666667;45.63333333333333;56.13333333333333;299.75;24.95;37.733333333333334;81.0;15.433333333333334;15.783333333333333;69.51666666666667;32.36666666666667;5.8;15.35;56.766666666666666;57.166666666666664;19.2;23.45;55.75;13.8;12.5;128.26666666666668;27.55;23.066666666666666;5.833333333333333;22.1;28.516666666666666;42.18333333333333;35.55;36.38333333333333;36.38333333333333;49.68333333333333;57.2
Gadesco-Pieve Delmona, Giovanni Lonati 9;57.583333333333336;24.3;50.15;11.5;50.9;45.4;54.833333333333336;20.983333333333334;49.95;35.93333333333333;35.28333333333333;31.1;15.983333333333333;18.883333333333333;44.266666666666666;43.65;15.783333333333333;11.883333333333333;11.883333333333333;53.983333333333334;36.9;0.48333333333333334;10.3;24.083333333333332;30.15;15.616666666666667;39.583333333333336;38.85;30.45;51.2;36.11666666666667;45.85;16.4;24.383333333333333;49.95;54.11666666666667;4.65;10.216666666666667;20.683333333333334;277.1333333333333;32.0;27.45;48.833333333333336;47.03333333333333;39.983333333333334;37.55;60.7;40.11666666666667;28.733333333333334;24.633333333333333;25.016666666666666;50.81666666666667;19.25;23.633333333333333;40.78333333333333;30.516666666666666;113.26666666666667;55.95;52.766666666666666;33.68333333333333;50.45;59.63333333333333;6.716666666666667;16.416666666666668;9.1;9.1;15.8;25.383333333333333
Grontardo, Roma, 16;63.13333333333333;29.833333333333332;55.666666666666664;19.7;52.18333333333333;50.95;57.13333333333333;22.816666666666666;51.68333333333333;36.483333333333334;43.55;36.6;21.366666666666667;19.433333333333334;49.833333333333336;49.18333333333333;21.283333333333335;18.066666666666666;18.066666666666666;59.516666666666666;40.6;11.1;0.2833333333333333;29.6;30.716666666666665;16.183333333333334;43.61666666666667;44.4;31.016666666666666;56.75;41.6;47.53333333333333;11.5;29.9;55.583333333333336;59.75;8.966666666666667;5.933333333333334;21.266666666666666;285.53333333333336;37.5;29.8;49.43333333333333;50.28333333333333;45.43333333333333;38.11666666666667;66.36666666666666;40.916666666666664;34.28333333333333;25.25;25.616666666666667;52.5;24.8;24.25;40.06666666666667;30.916666666666668;121.23333333333333;61.583333333333336;56.36666666666667;37.25;56.11666666666667;61.9;5.25;22.2;17.283333333333335;17.283333333333335;10.883333333333333;26.0
Grumello Cremonese ed Uniti, Roma, 2;40.3;6.25;32.766666666666666;24.166666666666668;33.61666666666667;28.066666666666666;37.516666666666666;16.3;32.63333333333333;53.416666666666664;21.266666666666666;13.783333333333333;15.6;36.35;26.9;26.066666666666666;7.266666666666667;19.7;19.7;36.666666666666664;19.583333333333332;23.75;28.5;0.8833333333333333;47.233333333333334;36.45;22.266666666666666;21.533333333333335;47.9;33.88333333333333;18.816666666666666;28.6;37.18333333333333;6.333333333333333;32.61666666666667;36.833333333333336;20.766666666666666;31.016666666666666;41.516666666666666;288.6666666666667;13.433333333333334;40.766666666666666;66.33333333333333;29.766666666666666;22.566666666666666;54.86666666666667;43.416666666666664;22.766666666666666;11.4;42.13333333333333;42.516666666666666;33.55;5.533333333333333;41.1;25.733333333333334;12.45;120.3;38.666666666666664;35.483333333333334;16.35;33.1;42.25;27.55;20.916666666666668;21.75;21.75;36.61666666666667;42.56666666666667
Gussola, Comaschi, 1;81.2;47.6;73.48333333333333;26.6;74.48333333333333;68.96666666666667;78.53333333333333;44.28333333333333;73.6;11.916666666666666;59.18333333333333;54.63333333333333;39.36666666666667;12.05;67.86666666666666;67.28333333333333;39.1;34.18333333333333;34.18333333333333;77.65;60.4;29.85;31.083333333333332;47.43333333333333;0.7666666666666667;25.9;63.21666666666667;62.46666666666667;5.233333333333333;74.81666666666666;59.666666666666664;69.41666666666667;32.68333333333333;47.7;73.58333333333333;77.76666666666667;33.6;26.533333333333335;17.583333333333332;268.3333333333333;55.483333333333334;50.68333333333333;24.9;70.61666666666666;63.56666666666667;17.766666666666666;84.36666666666666;63.7;52.06666666666667;9.966666666666667;9.85;74.33333333333333;42.61666666666667;9.083333333333334;64.1;53.733333333333334;136.35;79.36666666666666;76.33333333333333;57.13333333333333;73.96666666666667;83.26666666666667;27.4;37.233333333333334;27.283333333333335;27.283333333333335;32.083333333333336;10.383333333333333
Isola Dovarese, Giacomo Matteotti, 1;70.1;36.516666666666666;62.36666666666667;23.283333333333335;63.38333333333333;57.8;67.43333333333334;33.18333333333333;62.5;28.633333333333333;48.03333333333333;43.53333333333333;28.283333333333335;20.833333333333332;56.81666666666667;56.233333333333334;28.033333333333335;24.366666666666667;24.366666666666667;66.6;49.28333333333333;15.316666666666666;16.516666666666666;36.333333333333336;25.766666666666666;0.0;52.083333333333336;51.4;23.1;63.75;48.5;58.35;12.2;36.6;62.516666666666666;66.7;19.133333333333333;12.133333333333333;10.7;285.35;44.31666666666667;38.81666666666667;41.53333333333333;59.55;52.43333333333333;27.666666666666668;73.26666666666667;52.56666666666667;40.96666666666667;15.816666666666666;24.4;63.31666666666667;31.516666666666666;16.333333333333332;53.083333333333336;42.63333333333333;125.51666666666667;68.4;65.36666666666666;46.0;63.0;72.25;13.016666666666667;31.066666666666666;21.516666666666666;21.516666666666666;11.6;15.416666666666666
Izano, Gerardo da Izano, 4/C;24.066666666666666;21.366666666666667;17.05;41.63333333333333;14.45;13.083333333333334;18.983333333333334;24.666666666666668;13.466666666666667;70.81666666666666;30.666666666666668;10.066666666666666;33.0;53.71666666666667;9.966666666666667;9.583333333333334;24.65;37.06666666666667;37.06666666666667;20.433333333333334;5.066666666666666;41.15;44.21666666666667;23.066666666666666;64.76666666666667;53.9;0.21666666666666667;6.6;65.31666666666666;17.633333333333333;15.716666666666667;6.333333333333333;52.75;21.45;16.383333333333333;20.616666666666667;38.166666666666664;48.483333333333334;59.016666666666666;303.96666666666664;27.4;37.016666666666666;84.06666666666666;10.6;10.533333333333333;72.28333333333333;27.183333333333334;5.0;18.0;59.483333333333334;59.88333333333333;14.4;26.166666666666668;58.46666666666667;12.95;15.183333333333334;123.46666666666667;22.433333333333334;18.233333333333334;8.583333333333334;16.866666666666667;23.733333333333334;44.95;38.36666666666667;39.18333333333333;39.18333333333333;52.7;59.93333333333333
Madignano, Portici, 4;22.4;22.066666666666666;15.383333333333333;39.46666666666667;15.7;11.416666666666666;19.6;28.983333333333334;14.75;68.65;27.6;9.183333333333334;30.833333333333332;51.55;9.0;8.166666666666666;22.483333333333334;34.9;34.9;18.8;11.616666666666667;38.983333333333334;43.65;20.9;62.6;51.733333333333334;6.533333333333333;0.0;63.15;15.966666666666667;12.65;10.7;52.46666666666667;22.15;14.733333333333333;18.95;36.0;46.31666666666667;56.85;300.9;24.266666666666666;43.56666666666667;81.9;11.85;8.866666666666667;70.08333333333333;25.466666666666665;11.566666666666666;15.8;57.3;57.7;15.633333333333333;23.966666666666665;56.28333333333333;19.6;18.716666666666665;121.75;20.716666666666665;17.583333333333332;15.133333333333333;15.216666666666667;24.283333333333335;42.78333333333333;36.166666666666664;36.983333333333334;36.983333333333334;51.81666666666667;57.733333333333334
Martignana di Po, Libertà, 64;83.7;50.1;75.95;29.0;76.88333333333334;71.46666666666667;80.96666666666667;46.733333333333334;75.98333333333333;9.933333333333334;61.53333333333333;57.1;41.75;13.633333333333333;70.31666666666666;69.73333333333333;41.56666666666667;36.65;36.65;80.11666666666666;62.96666666666667;31.716666666666665;33.016666666666666;49.96666666666667;5.433333333333334;24.816666666666666;65.75;64.91666666666667;0.7166666666666667;77.3;62.083333333333336;71.78333333333333;31.65;50.18333333333333;75.98333333333333;80.23333333333333;35.6;28.583333333333332;16.4;265.9;57.86666666666667;52.88333333333333;22.866666666666667;73.0;65.98333333333333;15.916666666666666;86.93333333333334;66.2;54.63333333333333;9.166666666666666;12.416666666666666;76.85;45.13333333333333;9.65;66.48333333333333;56.18333333333333;139.33333333333334;81.83333333333333;78.86666666666666;59.766666666666666;76.6;85.85;29.45;39.5;29.716666666666665;29.716666666666665;31.066666666666666;9.233333333333333
Monte Cremasco, Roma, 12;12.016666666666667;34.416666666666664;8.3;51.86666666666667;23.233333333333334;9.833333333333334;17.45;41.233333333333334;20.366666666666667;80.96666666666667;28.516666666666666;21.466666666666665;43.2;63.9;13.783333333333333;13.7;34.8;47.28333333333333;47.28333333333333;7.833333333333333;22.433333333333334;51.36666666666667;56.1;33.21666666666667;74.98333333333333;64.15;17.333333333333332;16.15;75.5;0.0;18.183333333333334;18.933333333333334;64.66666666666667;34.483333333333334;4.966666666666667;8.533333333333333;48.35;58.71666666666667;69.26666666666667;301.5833333333333;34.766666666666666;52.43333333333333;94.23333333333333;18.866666666666667;12.933333333333334;82.26666666666667;15.1;20.45;28.166666666666668;69.65;70.1;17.366666666666667;36.21666666666667;68.61666666666666;28.483333333333334;31.1;111.88333333333334;10.866666666666667;9.95;25.966666666666665;3.35;19.533333333333335;55.2;48.55;49.35;49.35;64.21666666666667;70.03333333333333
Montodine,  XXV Aprile, 10;24.583333333333332;19.3;15.1;36.733333333333334;21.816666666666666;10.416666666666666;23.383333333333333;26.75;20.866666666666667;65.88333333333334;17.783333333333335;6.216666666666667;28.066666666666666;48.81666666666667;13.266666666666667;11.316666666666666;19.716666666666665;32.21666666666667;32.21666666666667;20.983333333333334;14.083333333333334;36.28333333333333;41.016666666666666;18.133333333333333;59.916666666666664;49.03333333333333;15.15;13.4;60.483333333333334;18.2;0.13333333333333333;16.733333333333334;49.8;19.383333333333333;16.95;21.116666666666667;33.28333333333333;43.65;54.15;289.96666666666664;17.516666666666666;49.18333333333333;79.15;17.916666666666668;4.966666666666667;67.23333333333333;27.683333333333334;17.216666666666665;13.083333333333334;54.6;54.983333333333334;21.716666666666665;21.2;53.55;25.283333333333335;16.6;116.63333333333334;22.9;20.416666666666668;18.233333333333334;17.433333333333334;28.066666666666666;40.13333333333333;33.46666666666667;34.28333333333333;34.28333333333333;49.166666666666664;54.96666666666667
