Sospiro
72.138
30.469
59.082
7.379
62.655
55.269
67.719
26.575
61.101
29.363
59.444
41.37
19.154
11.933
51.677
52.121
12.35
12.35
66.624
46.441
10.233
17.071
30.462
23.179
20.003
49.637
47.876
25.781
62.956
45.273
55.092
19.321
30.51
62.161
67.551
15.022
12.854
25.902
528.513
36.602
41.921
42.315
56.683
50.513
30.452
75.01
48.579
35.952
18.466
17.566
62.309
23.748
17.351
47.743
37.189
206.576
70.995
60.772
42.617
63.144
66.817
13.347
12.572
8.743
21.937
