;Agnadello, Marconi, 6;Annicco, Giuseppe Garibaldi, 6;Bagnolo Cremasco, Roma, 3;Bonemerse, Roma, 25;Camisano, Trieste, 57;Capergnanica, XI febbraio, 7;Capralba, Piave, 2;Casalbuttano ed Uniti, Jacini, 23;Casale Cremasco-Vidolasco, Roma, 56;Casalmaggiore, Guglielmo Marconi, 8;Casalpusterlengo, Pusterla 7;Castelleone, Roma, 67;Castelverde, Ubaldo Ferrari, 15;Cingia de' Botti, Giuseppina, 79;Crema, Civerchi, 9;Crema, Dante Alighieri, 49;Cremona, Sesto, 41;Cremona, Ugolani Dati, 4;Dovera, Oldrini 2;Fiesco, Giuseppe Parini, 10;Gadesco-Pieve Delmona, Giovanni Lonati 9;Grontardo, Roma, 16;Grumello Cremonese ed Uniti, Roma, 2;Gussola, Comaschi, 1;Isola Dovarese, Giacomo Matteotti, 1;Izano, Gerardo da Izano, 4/C;Madignano, Portici, 4;Martignana di Po, Libert�, 64;Monte Cremasco, Roma, 12;Montodine,  XXV Aprile, 10;Offanengo, Clavelli Martini, 5;Ostiano, Mazzini, 1;Paderno Ponchielli, Municipio, 3;Palazzo Pignano, Marco Polo, 31;Pandino, Castello, 15;Persico Dosimo, Albert ,7;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Piadena, Platina, 40;Pianengo, Roma, 59;Pizzighettone, Giuseppe Garibaldi, 18;Manerbio, INSURREZIONE NAZIONALE;Viadana, A. Manzoni, 2;Ricengo, Guglielmo Marconi;Ripalta Cremasca, Roma, 5;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;Rivolta d'Adda, Stefano Renzi, 5;Romanengo, Guaiarini, 14;San Bassano, Mons. Frosi (ex piazza Scuole);San Giovanni in Croce, Feudatari, 25 A;Scandolara Ravara, Italia;Sergnano, IV Novembre,  10;Sesto ed Uniti, Roma, 4;Solarolo Rainerio, Giuseppina, 81;Soncino, Dante Alighieri, 23;Soresina, Giacomo Matteotti, 6;Sospiro, Europa, 2;Spino d'Adda, Circonvallazione, 13;Trescore Cremasco, Vittorio Veneto, 1;Trigolo, Roma, 26;Vaiano Cremasco,  Gloriosi Caduti, 3;Vailate, Dante Alighieri, 7;Vescovato, Roma, 44;Cremona, Felice Cavallotti, 2;Cremona, Palosca n. 2;Cremona, Palosca n. 2;Ostiano;San Giovanni
Pandino, Castello, 15;4819;43257;9088;62536;20481;14.39;14.04;45544;15345;96213;31.62;27065;53059;78756;13308;16027;45613;54839;5658;27411;62395;66875;41998;91534;78757;22.95;20299;92396;6591;24125;18333;77935;43284;4195;0.0;59514;71395;84534;563638;39521;50993;108977;15307;18581;97601;8472;26626;34304;85.34;84718;13933;46163;84235;26481;34871;195781;5977;5801;30698;5952;9.59;67.46;55.23;59647;59647;77643;85.93
Persico Dosimo, Albert ,7;63922;23226;51058;10485;54005;47015;54037;15.24;52586;43975;37.18;32962;11447;26518;43408;43837;13585;5917;58737;37167;3158;7643;23369;38298;21017;41054;39379;40158;55069;36961;45.85;17443;23264;53.99;57142;162;14303;26794;520977;28489;35363;56739;48329;42179;45363;66995;41886;27.7;33102;32.48;53758;15466;31997;36485;28796;199179;62192;52556;34102;53782;58306;9.72;8943;7596;7596;17151;33692
Pescarolo ed Uniti, Giuseppe Mazzini, 73;75753;35057;62889;19565;65836;58846;65868;30143;64417;36459;61319;44793;23278;19002;55239;55.62;25416;17299;70568;48998;10281;4164;35.2;30782;13501;52885;51.21;32642;66889;48792;57.67;6.83;35084;65.81;68962;13434;0.06;19278;530252;40.32;24069;49223;60149;53999;37847;78815;49943;39.52;25586;24964;65578;27286;24481;49057;38.23;208454;74012;64376;45922;65602;70126;2.93;18806;16871;16871;6538;26176
Piadena, Platina, 40;88801;48105;75937;32613;78884;71894;78916;43191;77465;18721;74367;57841;36326;12143;68287;68668;38464;30347;83616;62046;23329;23375;48248;17247;8764;65933;64258;14904;79937;61.84;70718;18665;48132;78858;84124;26482;19034;39;490911;51875;40895;31552;73197;67047;19252;91863;66754;52568;8631;16047;78626;40334;9147;64436;53664;221502;87.06;77424;58.97;78.65;83174;19.67;32842;29919;29919;18373;8482
Pianengo, Roma, 59;568622;539332;562.77;523499;561316;548823;559311;534418;559897;475.84;524729;542422;527553;492.86;548588;547928;529691;521574;558363;547.97;521503;528856;539475;482.24;501501;551167;548399;479695;561558;538769;553.15;537043;539359;565937;563945;522779;530503;493327;0.0;533533;546559;460809;555629;543976;483672;582395;552678;544164;486504;489213;561058;531561;487.02;555663;544891;673.07;564534;567902;550197;565473;593932;526568;516873;520.61;520.61;536751;486601
Pizzighettone, Giuseppe Garibaldi, 18;45036;14205;31007;31587;36954;26991;37479;21.94;35535;65264;11.99;15911;22.11;47807;26357;26096;18419;20693;36012;21457;31446;35926;8107;60585;47808;25344;22328;61447;36172;16937;28788;46986;14232;35093;38245;28565;40446;53585;532088;56;58044;78028;31267;22144;66652;48098;26165;11116;54391;53769;36696;12318;53286;30182;17152;189541;43295;34804;20303;34885;41327;36511;20931;28698;28698;46694;54981
Manerbio, INSURREZIONE NAZIONALE;55582;32742;51216;36906;40452;48216;47218;24209;40579;70583;77499;43261;30947;46073;41929;42085;43098;34981;55173;38445;34.91;22759;40317;65904;34169;37966;41.61;66766;55216;49218;37673;20937;32769;49037;51566;35163;22927;41109;546432;56509;0.0;83347;38544;46048;71971;69877;33044;39992;59.71;59088;41.74;44968;58605;26173;31149;224634;58636;46318;37477;53929;51476;24714;36488;34017;34017;21584;44.83
Viadana, A. Manzoni, 2;113435;72739;100571;48733;103518;96528;103.55;67825;102099;13792;104.45;82475;60.96;30943;92921;93302;63098;53.37;138084;86.68;53382;53428;72882;20323;39584;90567;88892;17778;104571;86474;95352;49485;72766;103492;108758;56535;49087;31.41;458415;76509;72532;221;97831;91681;15527;162116;91388;77202;24587;27296;103.26;64968;25103;89.07;78298;252791;111694;102058;83604;103284;107808;49723;55455;50006;50006;49193;24684
Ricengo, Guglielmo Marconi;19643;32389;17.03;51668;7648;14.03;11279;32711;4.23;85345;34317;16197;41623;67888;8223;8379;34745;43971;19234;12898;51527;53.9;31.13;80666;67889;8686;9431;81528;21.03;17406;3758;63.7;32416;13098;15627;48646;60.56;73666;554415;29981;38.16;98109;103;11862;86733;25491;10.09;23436;74472;73.85;5801;35295;73367;13648;22735;211197;22697;10379;16185;19743;15537;56592;44227;48779;48779;63408;75062
Ripalta Cremasca, Roma, 5;22891;26219;10027;45498;17339;4846;15334;28292;15.92;79175;22454;10027;36021;61718;4611;3951;28575;37801;17706;13325;45357;49837;24.96;74496;61719;8864;6213;75358;14027;5543;9173;60897;26246;12948;18214;42476;54357;67496;542552;20939;45256;91939;11652;0.03;80563;25953;12.54;17266;68302;67.68;17081;29125;67197;20182;18415;204479;21.15;12659;16612;12.74;19182;50422;38057;42609;42609;60605;68892
Rivarolo del Re ed Uniti, Giovanni XXIII, 5;101865;61169;89001;37163;91948;84958;91.98;56255;90529;10056;88324;70905;49.39;19373;81351;81732;51528;41.8;96.68;75.11;41812;41858;61312;14116;26857;78997;77322;11571;93001;74904;83782;36758;61196;91922;97188;44965;37517;18683;481.42;64939;58.2;15775;86261;80111;192;104927;79818;65632;12106;21743;91.69;53398;12622;77.5;66728;235459;100124;90488;72034;91714;96238;38153;43886;38436;38436;36466;11712
Rivolta d'Adda, Stefano Renzi, 5;6757;50716;18627;69995;21.73;21542;13.37;55268;22295;103365;38772;34217;60211;85908;23573;23179;52765;61991;12.81;34563;69547;74027;49.15;97175;85909;30102;27451;99548;13743;31277;28057;106.62;50436;13919;9649;66666;78547;91686;581623;46673;84195;163087;25031;25733;104753;0.0;33778;41456;92492;91.87;21168;53315;91387;36205;42023;190937;8206;15525;37.85;15184;9439;74612;62247;66799;66799;107267;93082
Romanengo, Guaiarini, 14;31035;20725;18171;45852;12426;15171;21104;22007;14465;79529;32373;10216;30919;62072;8884;9.04;28639;38155;25.85;5.4;45711;43196;25024;74.85;62073;4921;8565;75712;22171;16173;4628;52996;20752;21092;26358;37321;49856;67.85;552471;24866;32715;92293;8129;13003;80917;34097;0.0;17.33;68656;68034;15626;29189;67551;7641;15237;219433;29294;20204;8687;20884;25362;46451;38411;42963;42963;52704;69246
San Bassano, Mons. Frosi (ex piazza Scuole);40027;11658;27163;30937;30.11;23972;30142;18132;28691;64614;22559;9067;21.46;47157;19513;19942;14014;23.24;34842;13272;30796;35276;10399;59935;47158;17159;15484;60797;31163;13918;21944;46336;11685;30084;35.35;27915;39796;52935;542657;9745;40211;77378;24423;19125;66002;43089;17.98;0.0;53741;53119;29852;14564;52636;21285;8255;200.11;38286;28.65;11406;29876;34.4;35861;23496;28048;28048;46044;54331
San Giovanni in Croce, Feudatari, 25 A;89879;49183;77015;25177;79962;72972;79994;44269;78543;11.92;76338;58919;37404;7387;69365;69746;39542;29814;84694;63124;29826;29872;49326;9.78;15293;67011;65336;8103;81015;62918;71128;25194;49.21;79936;85202;32979;25531;7119;484.11;52953;48522;24684;74275;68125;12064;92941;67832;53646;122;9757;79704;41412;636;65514;54742;223473;88138;78502;60048;79728;84252;26167;31899;26.45;26.45;24902;393
Scandolara Ravara, Italia;88979;48283;76115;21801;79062;72072;79094;43369;77643;14603;75438;58019;36504;6812;68465;68846;38642;28914;83794;62224;28151;28197;48426;7671;18132;66111;64436;10109;80115;62018;70228;30396;48.31;79036;84302;31304;23856;14494;486793;52053;46847;27367;73375;67225;21913;92041;66932;52746;9652;0.0;78804;40512;8547;64614;53842;222573;87238;77602;59148;78828;83352;24492;28035;25.55;25.55;30104;10242
Sergnano, IV Novembre,  10;18158;34766;16305;57294;6189;15005;9794;36048;2128;90971;39943;21823;44.96;73514;11073;8399;40371;49597;17749;18524;57153;57237;36756;84781;73515;14312;15057;87154;15537;23032;8837;67037;34793;11613;14142;54272;63897;79292;560041;35607;41497;103735;5811;17488;92359;20923;15716;29062;80098;79216;0.0;40921;78993;16985;29341;205634;21212;8894;21811;14.25;14052;62218;49853;54405;54405;66745;80688
Sesto ed Uniti, Roma, 4;50.87;10174;38006;18733;40953;33963;40985;13037;39534;52.41;22905;19.91;9256;34953;30356;30737;4424;11036;45685;24115;18592;23072;5117;47731;34954;28002;26327;48593;42006;23909;32787;34132;10201;40927;46193;15711;27592;40731;523758;12721;45.19;65174;35266;29116;53798;53932;28823;14637;41537;40915;40695;0.09;40432;29262;15733;200456;49129;39493;21039;40719;45243;23.4;11541;15587;15587;33583;41.87
Solarolo Rainerio, Giuseppina, 81;88764;48068;75.9;24062;78847;71857;84068;43154;77428;12436;75223;57804;36289;6272;68.25;68679;38427;28699;83579;62009;28711;28757;48211;9015;15809;65896;64221;8619;79.9;61803;70681;25.71;48095;78821;84087;31864;24416;7635;484626;51838;47407;25.2;73.16;67.01;12.58;91826;66717;52531;636;8642;78589;40297;0.0;64399;53627;222358;87023;77387;58933;78613;88325;25052;30814;25335;25335;25418;909
Soncino, Dante Alighieri, 23;30495;19888;25833;42727;15365;22833;22131;21.17;15492;76404;40035;17878;30082;58947;16546;16702;28869;35775;30086;13062;42586;42359;24907;70214;58948;12583;16227;72587;29833;23835;12.29;48391;19915;23.95;26479;36484;49019;64725;554798;30423;25463;89168;13457;20665;77792;36343;7661;21345;65531;64649;16653;29419;64426;55;14463;217734;33549;21231;12094;28546;26389;45614;36031;39838;39838;51867;66121
Soresina, Giacomo Matteotti, 6;39508;6.27;26644;32174;27857;22982;34623;10258;27984;65851;28679;8133;19.17;48394;18994;19375;15251;24477;34323;10335;32033;31447;11289;59661;48395;13848;14965;62034;30644;12928;17965;41247;6297;29565;34831;25572;38107;54172;537549;17386;31507;78615;25949;18135;67239;42.57;14669;8308;54978;54356;29145;15801;53873;14041;0.0;206.23;37767;33723;6585;29357;38881;34702;24733;29285;29285;40955;55568
Sospiro, Europa, 2;202834;204264;196.84;201561;216825;200311;209846;212.48;220277;235238;181.74;199433;205615;217781;202342;201948;207753;199636;191729;205998;199565;206918;199373;229048;215927;208178;205.41;231421;195.24;195.78;209.18;215105;204291;194417;192.45;199818;208565;221704;671484;190544;224621;252948;205913;200987;236626;193036;210706;201175;224365;223483;204539;201399;223.26;229738;207211;0.0;187601;196407;210362;193953;204573;204.63;194935;198672;198672;214813;224955
Spino d'Adda, Circonvallazione, 13;10617;46701;14612;65.98;28.61;17834;22169;48192;23474;99657;32.1;30509;56503;82.2;19865;19471;49057;58283;9127;30855;65839;70319;45442;93467;82201;26394;23743;95.84;10.06;27569;26703;81379;46728;11.94;6155;62958;74839;87978;564118;42965;59122;112421;23436;22025;101045;8705;30.07;37748;88784;88162;22062;49607;87679;34.61;38315;191708;187;13.93;34142;11476;16236;70904;58539;63091;63091;81087;89374
Trescore Cremasco, Vittorio Veneto, 1;8869;36478;9303;55757;15491;12536;9.05;40554;10355;89434;35628;20286;46.28;71977;8318;8916;38834;48.06;9666;23.03;55616;61743;35219;83244;71978;18818;13.52;85617;7454;18148;13343;68774;36505;3.53;6059;52735;64616;77755;555157;33544;46003;102198;10317;12604;90822;15923;20222;27525;78561;77939;8943;39384;77456;21491;33847;202257;13129;0.0;26317;6167;8025;60681;48316;52868;52868;71251;79151
Trigolo, Roma, 26;35162;12876;22298;37602;21972;19298;27192;16319;20553;71279;31661;9.79;28125;53822;13491;13647;20679;29905;29977;4214;37461;37508;17064;65089;53823;7727;11371;67462;26298;15747;11844;44539;12903;25219;30485;34.58;46461;59.6;542977;20368;37148;84043;16285;17.13;72667;38224;8548;11.29;60406;59524;21714;21229;59301;12074;6987;209212;33421;26292;82;25011;31.45;42526;30161;34713;34713;47016;60996
Vaiano Cremasco,  Gloriosi Caduti, 3;14029;38.85;2477;58129;22249;9983;15808;40341;17113;91806;31659;22658;48652;74349;12014;11.62;41206;50432;8844;23004;57988;62468;37591;85616;74.35;18543;15892;87989;1394;16004;18852;73528;38877;4078;7.23;55107;66988;80127;553013;31.4;54935;104.57;17075;14174;93194;17091;22219;29897;80933;80311;15701;41756;79828;29861;30464;195617;12288;7569;26291;0.0;13548;63053;50823;55.24;55.24;73236;81523
Vailate, Dante Alighieri, 7;4.78;44.48;15061;61802;14832;18294;5052;45762;15397;95479;41603;26331;54674;78022;14363;14961;44879;54105;15641;28238;61661;66951;41264;89289;78023;24026;19565;91662;13212;24193;18551;99212;44507;9288;9767;58.78;97745;83.8;561202;39589;51211;108243;15525;18649;96867;9561;25.43;33.57;84606;83724;14151;45429;83501;26699;39055;193099;15.96;7381;31525;11925;126;66726;54496;58913;58913;99859;85196
Vescovato, Roma, 44;71828;31132;58964;12392;61911;54921;67132;26218;60492;36952;57394;40868;19353;19495;51314;51743;21491;13374;66643;45073;6356;5614;31275;31275;13994;48.96;47285;33135;62964;44867;53745;10537;31159;61885;67151;9509;2.93;19771;526327;34902;25082;49716;56224;50074;37157;74.89;49781;35595;26079;25457;61653;23361;24974;47463;36691;204529;70087;60451;41997;61677;71389;0.0;14881;12946;12946;10245;25486
Cremona, Felice Cavallotti, 2;61009;20313;48118;5655;51092;44102;56313;16839;49673;41.23;32.44;30049;9974;23773;40495;40924;10672;2436;55824;34254;9433;18229;20456;32674;25795;38141;36466;37412;52145;34048;42926;24973;20.34;51066;56332;10867;18433;31572;515089;22257;38055;53993;45405;39255;42618;64071;38962;24776;30357;27.11;50834;11332;29251;38084;25872;193291;59268;49632;31178;50858;60.57;14498;23;4664;4664;24681;30947
Cremona, Palosca n. 2;64085;23389;51194;3728;54168;47178;54.2;18475;52749;37405;50544;33125;11.61;19948;43571;43952;13748;4.02;58.9;37.33;7981;14197;23532;31215;23.98;41217;39542;33588;55221;37124;46002;23521;23416;54142;57294;6836;16981;30.12;519477;28661;33863;50169;48481;42331;38793;67147;42038;27852;26532;25.65;53.91;15618;25427;39.72;28948;197679;62344;52708;34254;53934;58458;12683;5491;0.0;0.0;23229;27122
Cremona, Sesto 39;50336;9.64;37445;16922;40419;33429;40451;13515;39.0;50599;29154;19376;7445;33142;29822;30203;0.0;9225;45151;23581;16781;21261;9783;45.92;33143;27468;25793;46782;41472;23375;32253;32321;9667;40393;43545;13.9;25781;38.92;522297;18931;43379;63363;34732;28582;51987;53398;28289;14103;39726;39104;40161;4.44;38621;28728;15199;200499;48595;38959;20505;40185;44709;21846;9616;14033;14033;32029;40316
