;Agnadello, Marconi, 6;Annicco, Giuseppe Garibaldi, 6;Bagnolo Cremasco, Roma, 3;Bonemerse, Roma, 25;Camisano, Trieste, 57;Capergnanica, XI febbraio, 7;Capralba, Piave, 2;Casalbuttano ed Uniti, Jacini, 23;Casale Cremasco-Vidolasco, Roma, 56;Casalmaggiore, Guglielmo Marconi, 8;Casalpusterlengo, Pusterla 7;Castelleone, Roma, 67;Castelverde, Ubaldo Ferrari, 15;Cingia de' Botti, Giuseppina, 79;Crema, Civerchi, 9;Crema, Dante Alighieri, 49;Cremona, Sesto, 41;Cremona, Ugolani Dati, 4;Dovera, Oldrini 2;Fiesco, Giuseppe Parini, 10;Gadesco-Pieve Delmona, Giovanni Lonati 9;Grontardo, Roma, 16;Grumello Cremonese ed Uniti, Roma, 2;Gussola, Comaschi, 1;Isola Dovarese, Giacomo Matteotti, 1;Izano, Gerardo da Izano, 4/C;Madignano, Portici, 4;Martignana di Po, Libert�, 64;Monte Cremasco, Roma, 12;Montodine,  XXV Aprile, 10;Offanengo, Clavelli Martini, 5;Ostiano, Mazzini, 1;Paderno Ponchielli, Municipio, 3;Palazzo Pignano, Marco Polo, 31;Pandino, Castello, 15;Persico Dosimo, Albert ,7;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Piadena, Platina, 40;Pianengo, Roma, 59;Pizzighettone, Giuseppe Garibaldi, 18;Manerbio, INSURREZIONE NAZIONALE;Viadana, A. Manzoni, 2;Ricengo, Guglielmo Marconi;Ripalta Cremasca, Roma, 5;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;Rivolta d'Adda, Stefano Renzi, 5;Romanengo, Guaiarini, 14;San Bassano, Mons. Frosi (ex piazza Scuole);San Giovanni in Croce, Feudatari, 25 A;Scandolara Ravara, Italia;Sergnano, IV Novembre,  10;Sesto ed Uniti, Roma, 4;Solarolo Rainerio, Giuseppina, 81;Soncino, Dante Alighieri, 23;Soresina, Giacomo Matteotti, 6;Sospiro, Europa, 2;Spino d'Adda, Circonvallazione, 13;Trescore Cremasco, Vittorio Veneto, 1;Trigolo, Roma, 26;Vaiano Cremasco,  Gloriosi Caduti, 3;Vailate, Dante Alighieri, 7;Vescovato, Roma, 44;Cremona, Felice Cavallotti, 2;Cremona, Palosca n. 2;Cremona, Palosca n. 2;Ostiano;San Giovanni
Casalpusterlengo, Pusterla 7;36456;25866;30284;54429;39929;28241;37924;33601;38.51;92.05;75;21035;32793;70649;27201;26541;27253;31376;26197;26635;52433;46609;19756;81916;68795;29.78;27012;72.13;29392;17382;31763;67816;25893;33771;31779;39248;61433;74572;523268;12146;77489;104732;34242;22589;77335;39518;31343;22522;65074;64452;39671;23062;63969;38985;28813;180721;32368;35736;31964;33307;42075;57498;31614;39381;39381;67681;65664
Castelleone, Roma, 67;31774;17076;18883;36355;21857;14867;21889;18712;20438;70032;21013;141;26878;52575;11.26;11689;19432;28658;26589;5822;36214;40694;15817;63842;52576;9709;7231;66215;22.91;4813;13826;51597;17103;21831;24983;33333;45214;58353;541111;14668;43246;82796;16.17;10.02;71.42;34836;10.53;8123;59159;58537;21599;19982;58054;18172;8463;198564;30033;20397;10243;21623;26147;41279;29049;33466;33466;51462;59749
Castelverde, Ubaldo Ferrari, 15;57.5;14231;44609;14139;43.42;40593;50186;8359;43547;47816;32864;26.54;0.26;30359;36986;37415;7163;7187;52315;30745;13998;15599;16947;41626;30.36;34632;32957;43999;48636;30539;35119;29381;14258;47557;50709;11117;22998;36137;526.21;24173;29436;60.58;41896;35746;49204;60562;30.49;21267;36943;36061;44708;9033;35838;29604;18777;204412;55759;46123;27669;47349;54444;19063;7578;11.25;11.25;29246;37533
Cingia de' Botti, Giuseppina, 79;83346;42.65;70455;18644;73429;66439;73461;37736;72.01;18252;69.95;52386;30871;0.0;62832;63213;33009;23281;78161;56591;23293;23339;42793;13573;15859;60478;58803;14435;74482;56385;65263;25381;42677;73403;78669;26446;18998;12221;490442;48526;53269;31016;67742;61592;19.64;86408;61299;47113;7379;6757;73171;34879;6274;58981;48209;217085;81605;71969;53515;73195;77719;19634;25366;19917;19917;25246;7969
Crema, Civerchi, 9;20952;27383;8041;46662;14.04;6084;11288;31621;12621;80339;26935;11191;37185;62882;87;1043;29739;38965;15767;10026;46521;51001;26124;74149;62883;5565;4425;76522;12088;10024;5.19;62061;27.41;11009;14161;43.64;55521;68.66;547033;24975;41957;93103;6296;4.48;81727;24014;9241;18.43;69466;68844;8015;30289;68361;16883;18997;208339;19211;8.56;13313;10801;15546;51586;39356;43773;43773;61769;70056
Crema, Dante Alighieri, 49;20.33;27827;7419;47106;15995;5118;12108;29.69;14576;80783;26408;11635;37629;63326;1144;0.0;30183;39409;15145;11981;46965;51445;26568;74593;63327;7.52;4869;76966;11466;9497;5576;62505;27854;10387;13539;44084;55965;69104;546506;24893;43912;93547;6682;3953;82171;23392;11196;18874;69.91;69288;8401;30733;68805;18838;19441;201918;18589;9.07;15268;10179;16366;52.03;39.8;44217;44217;62213;70.5
Cremona, Sesto, 41;50336;9.64;37445;16922;40419;33429;40451;12321;39.0;50599;29154;19376;7445;33142;29822;30251;0.0;9225;45151;24255;16781;21261;9783;44409;33143;27468;25793;46782;41472;23375;32253;32164;9667;40393;45659;13.9;25781;38.92;522297;18931;43379;63363;34732;28582;51987;53398;28289;14103;39726;39104;40161;4.44;38621;28728;15199;200499;48595;38959;20505;40185;44709;21846;9616;14033;14033;32029;40316
Cremona, Ugolani Dati, 4;59.39;18694;46499;7335;49473;42483;49505;14376;48054;41012;31076;28.43;7511;23555;38876;39305;9053;55;54205;32635;8626;13829;18837;34822;24988;36522;34847;37195;50526;32429;41307;24009;18721;49447;54713;6468;17626;30765;520838;22385;35224;53776;43786;37636;42.4;62452;37343;23157;30139;29517;49215;10923;29034;35621;24253;199.04;57649;48013;29559;49239;53763;13691;2.03;4446;4446;23874;30729
Dovera, Oldrini 2;9884;42396;10307;61675;24.28;13529;17839;43887;19144;95352;25955;26204;52198;77895;15.56;15166;44752;53978;61;26.55;61534;66014;41137;89162;77896;22089;19438;91535;5.73;23264;22398;77074;42423;7635;5643;58653;70534;83673;548725;36244;54792;139437;19106;17.72;96.74;13382;25765;33443;84479;83597;17732;45302;83374;30.28;34.01;191927;8598;9.6;29837;7171;15939;66599;54369;58786;58786;76782;85069
Fiesco, Giuseppe Parini, 10;31922;16.6;19058;41326;18732;16058;23952;20043;17313;75003;27596;5416;31849;57546;10251;10407;24403;33629;26737;0.0;41185;41232;20788;68813;57547;4487;8131;71186;23058;11373;8604;48263;16627;21979;27245;38304;50185;63324;547671;20066;38024;87767;13045;13.89;76391;34984;5308;12.53;64.13;63248;18474;24953;63025;12.95;10711;205124;30181;23052;4161;21771;28.21;46.25;34.02;38437;38437;50.74;64.72
