;Agnadello, Marconi, 6;Annicco, Giuseppe Garibaldi, 6;Bagnolo Cremasco, Roma, 3;Bonemerse, Roma, 25;Camisano, Trieste, 57;Capergnanica, XI febbraio, 7;Capralba, Piave, 2;Casalbuttano ed Uniti, Jacini, 23;Casale Cremasco-Vidolasco, Roma, 56;Casaletto Vaprio, Maggiore, 7;Casalmaggiore, Guglielmo Marconi, 8;Casalpusterlengo, Pusterla 7;Castelleone, Roma, 67;Castelverde, Ubaldo Ferrari, 15;Cingia de' Botti, Giuseppina, 79;Crema, Civerchi, 9;Crema, Dante Alighieri, 49;Cremona, Sesto, 41;Cremona, Ugolani Dati, 4;Dovera, Oldrini 2;Fiesco, Giuseppe Parini, 10;Gadesco-Pieve Delmona, Giovanni Lonati 9;Grontardo, Roma, 16;Grumello Cremonese ed Uniti, Roma, 2;Gussola, Comaschi, 1;Isola Dovarese, Giacomo Matteotti, 1;Izano, Gerardo da Izano, 4/C;Madignano, Portici, 4;Martignana di Po, LibertÃ¯Â¿Â½, 64;Monte Cremasco, Roma, 12;Montodine,  XXV Aprile, 10;Offanengo, Clavelli Martini, 5;Ostiano, Mazzini, 1;Paderno Ponchielli, Municipio, 3;Palazzo Pignano, Marco Polo, 31;Pandino, Castello, 15;Persico Dosimo, Albert ,7;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Piadena, Platina, 40;Pianengo, Roma, 59;Pizzighettone, Giuseppe Garibaldi, 18;Manerbio, INSURREZIONE NAZIONALE;Viadana, A. Manzoni, 2;Ricengo, Guglielmo Marconi;Ripalta Cremasca, Roma, 5;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;Rivolta d'Adda, Stefano Renzi, 5;Romanengo, Guaiarini, 14;San Bassano, Mons. Frosi (ex piazza Scuole);San Giovanni in Croce, Feudatari, 25 A;Scandolara Ravara, Italia;Sergnano, IV Novembre,  10;Sesto ed Uniti, Roma, 4;Solarolo Rainerio, Giuseppina, 81;Soncino, Dante Alighieri, 23;Soresina, Giacomo Matteotti, 6;Sospiro;Spino d'Adda, Circonvallazione, 13;Trescore Cremasco, Vittorio Veneto, 1;Trigolo, Roma, 26;Vaiano Cremasco,  Gloriosi Caduti, 3;Vailate, Dante Alighieri, 7;Vescovato, Roma, 44;Cremona, Felice Cavallotti, 2;Cremona, Palosca n. 2;Cremona, Palosca n. 2.1;Ostiano;San Giovanni
Isola Dovarese, Giacomo Matteotti, 1;83.0;42.0;70.0;27.0;73.0;66.0;73.0;37.0;72.0;0.0;26.0;68.0;52.0;30.0;16.0;62.0;63.0;33.0;24.0;78.0;56.0;0.0;17.0;42.0;25.0;0.0;60.0;58.0;22.0;74.0;56.0;65.0;13.0;42.0;73.0;78.0;21.0;13.0;9.0;498.0;46.0;35.0;39.0;67.0;61.0;26.0;86.0;61.0;47.0;15.0;18.0;73.0;34.0;15.0;59.0;48.0;45.0;81.0;72.0;53.0;73.0;77.0;14.0;28.0;0.0;0.0;12.0;14.0
Izano, Gerardo da Izano, 4/C;27.0;20.0;15.0;45.0;14.0;12.0;20.0;24.0;13.0;0.0;78.0;30.0;9.0;35.0;61.0;6.0;6.0;28.0;37.0;22.0;0.0;44.0;45.0;24.0;72.0;61.0;0.0;4.0;74.0;19.0;14.0;4.0;52.0;20.0;17.0;23.0;0.0;53.0;0.0;550.0;24.0;38.0;0.0;9.0;9.0;80.0;30.0;5.0;0.0;67.0;67.0;14.0;28.0;66.0;13.0;14.0;42.0;26.0;19.0;8.0;17.0;24.0;50.0;37.0;42.0;42.0;54.0;68.0
Madignano, Portici, 4;25.0;24.0;12.0;43.0;15.0;9.0;15.0;25.0;0.0;0.0;77.0;27.0;0.0;33.0;59.0;4.0;5.0;26.0;35.0;20.0;8.0;0.0;0.0;22.0;70.0;59.0;0.0;0.0;73.0;16.0;11.0;7.0;0.0;24.0;15.0;20.0;40.0;0.0;65.0;547.0;21.0;41.0;89.0;9.0;7.0;78.0;28.0;9.0;15.0;66.0;65.0;15.0;26.0;0.0;16.0;15.0;23.0;23.0;13.0;11.0;15.0;19.0;48.0;36.0;40.0;40.0;58.0;66.0
Martignana di Po, LibertÃ¯Â¿Â½, 64;97.0;56.0;84.0;32.0;87.0;80.0;87.0;52.0;86.0;0.0;6.0;84.0;66.0;45.0;15.0;0.0;77.0;47.0;37.0;92.0;70.0;37.0;37.0;57.0;0.0;23.0;74.0;73.0;0.0;0.0;70.0;79.0;33.0;57.0;87.0;93.0;40.0;33.0;15.0;478.0;60.0;67.0;18.0;0.0;0.0;12.0;100.0;75.0;61.0;8.0;10.0;87.0;49.0;9.0;73.0;62.0;54.0;95.0;86.0;67.0;87.0;92.0;33.0;36.0;34.0;34.0;33.0;8.0
Monte Cremasco, Roma, 12;11.0;39.0;4.0;58.0;22.0;10.0;0.0;40.0;17.0;0.0;92.0;29.0;0.0;48.0;74.0;12.0;11.0;41.0;50.0;5.0;23.0;0.0;0.0;37.0;85.0;74.0;18.0;16.0;88.0;0.0;0.0;19.0;73.0;39.0;0.0;6.0;55.0;0.0;80.0;561.0;35.0;55.0;104.0;17.0;14.0;93.0;14.0;22.0;30.0;81.0;80.0;16.0;42.0;0.0;30.0;30.0;40.0;9.0;7.0;26.0;1.0;0.0;63.0;51.0;55.0;55.0;73.0;81.0
Montodine,  XXV Aprile, 10;28.0;21.0;14.0;40.0;0.0;10.0;21.0;23.0;21.0;0.0;74.0;17.0;5.0;31.0;56.0;10.0;9.0;23.0;33.0;23.0;11.0;40.0;45.0;0.0;68.0;56.0;14.0;11.0;70.0;20.0;0.0;15.0;56.0;21.0;18.0;24.0;37.0;49.0;62.0;537.0;16.0;49.0;87.0;17.0;0.0;75.0;31.0;0.0;12.0;63.0;0.0;23.0;24.0;62.0;24.0;13.0;50.0;27.0;0.0;16.0;18.0;25.0;45.0;33.0;37.0;37.0;55.0;64.0
Offanengo, Clavelli Martini, 5;23.0;24.0;15.0;50.0;0.0;12.0;15.0;26.0;8.0;0.0;84.0;33.0;13.0;0.0;66.0;0.0;7.0;32.0;42.0;23.0;8.0;50.0;48.0;28.0;78.0;66.0;3.0;8.0;80.0;19.0;16.0;0.0;57.0;0.0;16.0;19.0;47.0;54.0;72.0;553.0;28.0;37.0;96.0;4.0;10.0;0.0;29.0;0.0;20.0;73.0;72.0;9.0;32.0;72.0;12.0;18.0;19.0;0.0;14.0;12.0;0.0;19.0;55.0;43.0;47.0;47.0;57.0;73.0
Ostiano, Mazzini, 1;0.0;42.0;69.0;26.0;65.0;65.0;72.0;0.0;71.0;0.0;36.0;68.0;0.0;30.0;23.0;62.0;62.0;32.0;0.0;77.0;55.0;17.0;0.0;42.0;35.0;13.0;59.0;58.0;32.0;73.0;55.0;64.0;0.0;42.0;72.0;75.0;17.0;7.0;19.0;537.0;47.0;22.0;49.0;67.0;60.0;36.0;108.0;52.0;46.0;25.0;29.0;72.0;34.0;25.0;48.0;39.0;29.0;80.0;71.0;52.0;72.0;101.0;11.0;27.0;23.0;23.0;1.0;25.0
Paderno Ponchielli, Municipio, 3;47.0;0.0;34.0;25.0;37.0;30.0;37.0;8.0;35.0;0.0;59.0;27.0;16.0;14.0;42.0;0.0;27.0;9.0;18.0;41.0;17.0;25.0;30.0;6.0;53.0;42.0;20.0;22.0;55.0;0.0;20.0;24.0;41.0;0.0;37.0;40.0;22.0;34.0;47.0;1.0;15.0;33.0;72.0;0.0;0.0;0.0;50.0;21.0;10.0;48.0;48.0;36.0;9.0;47.0;20.0;6.0;54.0;45.0;35.0;13.0;37.0;41.0;30.0;18.0;23.0;23.0;41.0;49.0
Palazzo Pignano, Marco Polo, 31;11.0;38.0;6.0;57.0;0.0;0.0;12.0;43.0;13.0;0.0;91.0;34.0;22.0;48.0;73.0;11.0;11.0;40.0;49.0;8.0;22.0;57.0;61.0;37.0;86.0;73.0;0.0;15.0;87.0;4.0;19.0;16.0;73.0;38.0;0.0;0.0;54.0;66.0;79.0;556.0;34.0;49.0;104.0;13.0;13.0;92.0;14.0;21.0;29.0;0.0;79.0;12.0;41.0;79.0;0.0;29.0;58.0;11.0;0.0;25.0;3.0;9.0;0.0;0.0;54.0;54.0;72.0;0.0
Pandino, Castello, 15;5.0;43.0;9.0;63.0;20.0;0.0;0.0;46.0;15.0;0.0;96.0;0.0;27.0;53.0;79.0;13.0;16.0;46.0;55.0;6.0;27.0;62.0;67.0;42.0;92.0;79.0;0.0;20.0;92.0;7.0;24.0;18.0;78.0;43.0;4.0;0.0;60.0;71.0;85.0;564.0;40.0;51.0;109.0;15.0;19.0;98.0;8.0;27.0;34.0;0.0;85.0;14.0;46.0;84.0;26.0;35.0;15.0;6.0;6.0;31.0;6.0;0.0;0.0;0.0;60.0;60.0;78.0;0.0
Persico Dosimo, Albert ,7;64.0;23.0;51.0;10.0;54.0;47.0;54.0;0.0;53.0;0.0;44.0;0.0;33.0;11.0;27.0;43.0;44.0;14.0;6.0;59.0;37.0;3.0;8.0;23.0;38.0;21.0;41.0;39.0;40.0;55.0;37.0;0.0;17.0;23.0;0.0;57.0;0.0;14.0;27.0;521.0;28.0;35.0;57.0;48.0;42.0;45.0;67.0;42.0;0.0;33.0;0.0;54.0;15.0;32.0;36.0;29.0;12.0;62.0;53.0;34.0;54.0;58.0;0.0;9.0;8.0;8.0;17.0;34.0
Pescarolo ed Uniti, Giuseppe Mazzini, 73;76.0;35.0;63.0;20.0;66.0;59.0;66.0;30.0;64.0;0.0;36.0;61.0;45.0;23.0;19.0;55.0;0.0;25.0;17.0;71.0;49.0;10.0;4.0;0.0;31.0;14.0;53.0;0.0;33.0;67.0;49.0;0.0;0.0;35.0;0.0;69.0;13.0;0.0;19.0;530.0;0.0;24.0;49.0;60.0;54.0;38.0;79.0;50.0;0.0;26.0;25.0;66.0;27.0;24.0;49.0;0.0;21.0;74.0;64.0;46.0;66.0;70.0;0.0;19.0;17.0;17.0;7.0;26.0
Piadena, Platina, 40;89.0;48.0;76.0;33.0;79.0;72.0;79.0;43.0;77.0;0.0;19.0;74.0;58.0;36.0;12.0;68.0;69.0;38.0;30.0;84.0;62.0;23.0;23.0;48.0;17.0;9.0;66.0;64.0;15.0;80.0;0.0;71.0;19.0;48.0;79.0;84.0;26.0;19.0;0.0;491.0;52.0;41.0;32.0;73.0;67.0;19.0;92.0;67.0;53.0;9.0;16.0;79.0;40.0;9.0;64.0;54.0;280.0;0.0;77.0;0.0;0.0;83.0;0.0;33.0;30.0;30.0;18.0;8.0
Pianengo, Roma, 59;569.0;539.0;1.0;523.0;561.0;549.0;559.0;534.0;560.0;1.0;0.0;525.0;542.0;528.0;0.0;549.0;548.0;530.0;522.0;558.0;1.0;522.0;529.0;539.0;0.0;502.0;551.0;548.0;480.0;562.0;539.0;1.0;537.0;539.0;566.0;564.0;523.0;531.0;493.0;0.0;534.0;547.0;461.0;556.0;544.0;484.0;582.0;553.0;544.0;487.0;489.0;561.0;532.0;0.0;556.0;545.0;34.0;565.0;568.0;550.0;565.0;594.0;527.0;517.0;1.0;1.0;537.0;487.0
Pizzighettone, Giuseppe Garibaldi, 18;45.0;14.0;31.0;32.0;37.0;27.0;37.0;0.0;36.0;0.0;65.0;0.0;16.0;0.0;48.0;26.0;26.0;18.0;21.0;36.0;21.0;31.0;36.0;8.0;61.0;48.0;25.0;22.0;61.0;36.0;17.0;29.0;47.0;14.0;35.0;38.0;29.0;40.0;54.0;532.0;0.0;58.0;78.0;31.0;22.0;67.0;48.0;26.0;11.0;54.0;54.0;37.0;12.0;53.0;30.0;17.0;31.0;43.0;35.0;20.0;35.0;41.0;37.0;21.0;29.0;29.0;47.0;55.0
Manerbio, INSURREZIONE NAZIONALE;56.0;33.0;51.0;37.0;40.0;48.0;47.0;24.0;41.0;0.0;71.0;77.0;43.0;31.0;46.0;42.0;42.0;43.0;35.0;55.0;38.0;0.0;23.0;40.0;66.0;34.0;38.0;0.0;67.0;55.0;49.0;38.0;21.0;33.0;49.0;52.0;35.0;23.0;41.0;546.0;57.0;0.0;83.0;39.0;46.0;72.0;70.0;33.0;40.0;0.0;59.0;0.0;45.0;59.0;26.0;31.0;40.0;59.0;46.0;37.0;54.0;51.0;25.0;36.0;34.0;34.0;22.0;0.0
Viadana, A. Manzoni, 2;113.0;73.0;101.0;49.0;104.0;97.0;0.0;68.0;102.0;0.0;14.0;0.0;82.0;0.0;31.0;93.0;93.0;63.0;0.0;138.0;0.0;53.0;53.0;73.0;20.0;40.0;91.0;89.0;18.0;105.0;86.0;95.0;49.0;73.0;103.0;109.0;57.0;49.0;0.0;458.0;77.0;73.0;0.0;98.0;92.0;16.0;162.0;91.0;77.0;25.0;27.0;0.0;65.0;25.0;0.0;78.0;51.0;112.0;102.0;84.0;103.0;108.0;50.0;55.0;50.0;50.0;49.0;25.0
Ricengo, Guglielmo Marconi;20.0;32.0;0.0;52.0;8.0;0.0;11.0;33.0;0.0;0.0;85.0;34.0;16.0;42.0;68.0;8.0;8.0;35.0;44.0;19.0;13.0;52.0;0.0;0.0;81.0;68.0;9.0;9.0;82.0;0.0;17.0;4.0;0.0;32.0;13.0;16.0;49.0;0.0;74.0;554.0;30.0;0.0;98.0;0.0;12.0;87.0;25.0;0.0;23.0;74.0;0.0;6.0;35.0;73.0;14.0;23.0;44.0;23.0;10.0;16.0;20.0;16.0;57.0;44.0;49.0;49.0;63.0;75.0
Ripalta Cremasca, Roma, 5;23.0;26.0;10.0;45.0;17.0;5.0;15.0;28.0;0.0;0.0;79.0;22.0;10.0;36.0;62.0;5.0;4.0;29.0;38.0;18.0;13.0;45.0;50.0;0.0;74.0;62.0;9.0;6.0;75.0;14.0;6.0;9.0;61.0;26.0;13.0;18.0;42.0;54.0;67.0;543.0;21.0;45.0;92.0;12.0;0.0;81.0;26.0;0.0;17.0;68.0;0.0;17.0;29.0;67.0;20.0;18.0;28.0;0.0;13.0;17.0;0.0;19.0;50.0;38.0;43.0;43.0;61.0;69.0
Rivarolo del Re ed Uniti, Giovanni XXIII, 5;102.0;61.0;89.0;37.0;92.0;85.0;0.0;56.0;91.0;0.0;10.0;88.0;71.0;0.0;19.0;81.0;82.0;52.0;0.0;0.0;0.0;42.0;42.0;61.0;14.0;27.0;79.0;77.0;12.0;93.0;75.0;84.0;37.0;61.0;92.0;97.0;45.0;38.0;19.0;0.0;65.0;0.0;16.0;86.0;80.0;0.0;105.0;80.0;66.0;12.0;22.0;0.0;53.0;13.0;0.0;67.0;64.0;100.0;90.0;72.0;92.0;96.0;38.0;44.0;38.0;38.0;36.0;12.0
Rivolta d'Adda, Stefano Renzi, 5;7.0;51.0;19.0;70.0;0.0;22.0;0.0;55.0;22.0;0.0;103.0;39.0;34.0;60.0;86.0;24.0;23.0;53.0;62.0;0.0;35.0;70.0;74.0;0.0;97.0;86.0;30.0;27.0;100.0;14.0;31.0;28.0;0.0;50.0;14.0;10.0;67.0;79.0;92.0;582.0;47.0;84.0;163.0;25.0;26.0;105.0;0.0;34.0;41.0;92.0;0.0;21.0;53.0;91.0;36.0;42.0;46.0;8.0;16.0;0.0;15.0;9.0;75.0;62.0;67.0;67.0;107.0;93.0
Romanengo, Guaiarini, 14;31.0;21.0;18.0;46.0;12.0;15.0;21.0;22.0;14.0;0.0;80.0;32.0;10.0;31.0;62.0;9.0;0.0;29.0;38.0;0.0;0.0;46.0;43.0;25.0;0.0;62.0;5.0;9.0;76.0;22.0;16.0;5.0;53.0;21.0;21.0;26.0;37.0;50.0;0.0;552.0;25.0;33.0;92.0;8.0;13.0;81.0;34.0;0.0;0.0;69.0;68.0;16.0;29.0;68.0;8.0;15.0;33.0;29.0;20.0;9.0;21.0;25.0;46.0;38.0;43.0;43.0;53.0;69.0
San Bassano, Mons. Frosi (ex piazza Scuole);40.0;12.0;27.0;31.0;0.0;24.0;30.0;18.0;29.0;0.0;65.0;23.0;9.0;0.0;47.0;20.0;20.0;14.0;0.0;35.0;13.0;31.0;35.0;10.0;60.0;47.0;17.0;15.0;61.0;31.0;14.0;22.0;46.0;12.0;30.0;0.0;28.0;40.0;53.0;543.0;10.0;40.0;77.0;24.0;19.0;66.0;43.0;0.0;0.0;54.0;53.0;30.0;15.0;53.0;21.0;8.0;16.0;38.0;0.0;11.0;30.0;0.0;36.0;23.0;28.0;28.0;46.0;54.0
San Giovanni in Croce, Feudatari, 25 A;90.0;49.0;77.0;25.0;80.0;73.0;80.0;44.0;79.0;0.0;0.0;76.0;59.0;37.0;7.0;69.0;70.0;40.0;30.0;85.0;63.0;30.0;30.0;49.0;0.0;15.0;67.0;65.0;8.0;81.0;63.0;71.0;25.0;0.0;80.0;85.0;33.0;26.0;7.0;0.0;53.0;49.0;25.0;74.0;68.0;12.0;93.0;68.0;54.0;0.0;10.0;80.0;41.0;1.0;66.0;55.0;16.0;88.0;79.0;60.0;80.0;84.0;26.0;32.0;0.0;0.0;25.0;0.0
Scandolara Ravara, Italia;89.0;48.0;76.0;22.0;79.0;72.0;79.0;43.0;78.0;0.0;15.0;75.0;58.0;37.0;7.0;68.0;69.0;39.0;29.0;84.0;62.0;28.0;28.0;48.0;8.0;18.0;66.0;64.0;10.0;80.0;62.0;70.0;30.0;0.0;79.0;84.0;31.0;24.0;14.0;487.0;52.0;47.0;27.0;73.0;67.0;22.0;92.0;67.0;53.0;10.0;0.0;79.0;41.0;9.0;65.0;54.0;55.0;87.0;78.0;59.0;79.0;83.0;24.0;28.0;0.0;0.0;30.0;10.0
Sergnano, IV Novembre,  10;18.0;35.0;16.0;57.0;6.0;15.0;10.0;36.0;2.0;0.0;91.0;40.0;22.0;0.0;74.0;11.0;8.0;40.0;50.0;18.0;19.0;57.0;57.0;37.0;85.0;74.0;14.0;15.0;87.0;16.0;23.0;9.0;67.0;35.0;12.0;14.0;54.0;64.0;79.0;560.0;36.0;41.0;104.0;6.0;17.0;92.0;21.0;16.0;29.0;80.0;79.0;0.0;41.0;79.0;17.0;29.0;24.0;21.0;9.0;22.0;0.0;14.0;62.0;50.0;54.0;54.0;67.0;81.0
Sesto ed Uniti, Roma, 4;0.0;10.0;38.0;19.0;41.0;34.0;41.0;13.0;40.0;0.0;0.0;23.0;0.0;9.0;35.0;30.0;31.0;4.0;11.0;46.0;24.0;19.0;23.0;5.0;48.0;35.0;28.0;26.0;49.0;42.0;24.0;33.0;34.0;10.0;41.0;46.0;16.0;28.0;41.0;524.0;13.0;0.0;65.0;35.0;29.0;54.0;54.0;29.0;15.0;42.0;41.0;41.0;0.0;40.0;29.0;16.0;15.0;49.0;39.0;21.0;41.0;45.0;0.0;12.0;16.0;16.0;34.0;0.0
Solarolo Rainerio, Giuseppina, 81;89.0;48.0;0.0;24.0;79.0;72.0;84.0;43.0;77.0;0.0;12.0;75.0;58.0;36.0;6.0;0.0;69.0;38.0;29.0;84.0;62.0;29.0;29.0;48.0;9.0;16.0;66.0;64.0;9.0;0.0;62.0;71.0;0.0;48.0;79.0;84.0;32.0;24.0;8.0;485.0;52.0;47.0;0.0;0.0;0.0;0.0;92.0;67.0;53.0;1.0;9.0;79.0;40.0;0.0;64.0;54.0;45.0;87.0;77.0;59.0;79.0;88.0;25.0;31.0;25.0;25.0;25.0;1.0
Soncino, Dante Alighieri, 23;30.0;20.0;26.0;43.0;15.0;23.0;22.0;0.0;15.0;0.0;76.0;40.0;18.0;30.0;59.0;17.0;17.0;29.0;36.0;30.0;13.0;43.0;42.0;25.0;70.0;59.0;13.0;16.0;73.0;30.0;24.0;0.0;48.0;20.0;0.0;26.0;36.0;49.0;65.0;555.0;30.0;25.0;89.0;13.0;21.0;78.0;36.0;8.0;21.0;66.0;65.0;17.0;29.0;64.0;0.0;14.0;35.0;34.0;21.0;12.0;29.0;26.0;46.0;36.0;40.0;40.0;52.0;66.0
Soresina, Giacomo Matteotti, 6;40.0;0.0;27.0;32.0;28.0;23.0;35.0;10.0;28.0;0.0;66.0;29.0;8.0;0.0;48.0;19.0;19.0;15.0;24.0;34.0;10.0;32.0;31.0;11.0;60.0;48.0;14.0;15.0;62.0;31.0;13.0;18.0;41.0;6.0;30.0;35.0;26.0;38.0;54.0;538.0;17.0;32.0;79.0;26.0;18.0;67.0;0.0;15.0;8.0;55.0;54.0;29.0;16.0;54.0;14.0;0.0;118.0;38.0;34.0;7.0;29.0;39.0;35.0;25.0;29.0;29.0;41.0;56.0
Sospiro, Europa, 2;203.0;204.0;0.0;202.0;217.0;200.0;210.0;0.0;220.0;0.0;235.0;0.0;199.0;206.0;218.0;202.0;202.0;208.0;200.0;192.0;206.0;200.0;207.0;199.0;229.0;216.0;208.0;0.0;231.0;0.0;0.0;0.0;215.0;204.0;194.0;0.0;200.0;209.0;222.0;671.0;191.0;225.0;253.0;206.0;201.0;237.0;193.0;211.0;201.0;224.0;223.0;205.0;201.0;0.0;230.0;207.0;60.0;188.0;196.0;210.0;194.0;205.0;0.0;195.0;199.0;199.0;215.0;225.0
Spino d'Adda, Circonvallazione, 13;11.0;47.0;15.0;0.0;0.0;18.0;22.0;48.0;23.0;0.0;100.0;0.0;31.0;57.0;0.0;20.0;19.0;49.0;58.0;9.0;31.0;66.0;70.0;45.0;93.0;82.0;26.0;24.0;0.0;0.0;28.0;27.0;81.0;47.0;0.0;6.0;63.0;75.0;88.0;564.0;43.0;59.0;112.0;23.0;22.0;101.0;9.0;0.0;38.0;89.0;88.0;22.0;50.0;88.0;0.0;38.0;57.0;0.0;0.0;34.0;11.0;16.0;71.0;59.0;63.0;63.0;81.0;89.0
Trescore Cremasco, Vittorio Veneto, 1;9.0;36.0;9.0;56.0;15.0;13.0;0.0;41.0;10.0;0.0;89.0;36.0;20.0;0.0;72.0;8.0;9.0;39.0;0.0;10.0;0.0;56.0;62.0;35.0;83.0;72.0;19.0;0.0;86.0;7.0;18.0;13.0;69.0;37.0;0.0;6.0;53.0;65.0;78.0;555.0;34.0;46.0;102.0;10.0;13.0;91.0;16.0;20.0;28.0;79.0;78.0;9.0;39.0;77.0;21.0;34.0;38.0;13.0;0.0;26.0;6.0;8.0;61.0;48.0;53.0;53.0;71.0;79.0
