;Agnadello, Marconi, 6;Annicco, Giuseppe Garibaldi, 6;Bagnolo Cremasco, Roma, 3;Bonemerse, Roma, 25;Camisano, Trieste, 57;Capergnanica, XI febbraio, 7;Capralba, Piave, 2;Casalbuttano ed Uniti, Jacini, 23;Casale Cremasco-Vidolasco, Roma, 56;Casaletto Vaprio, Maggiore, 7;Casalmaggiore, Guglielmo Marconi, 8;Casalpusterlengo, Pusterla 7;Castelleone, Roma, 67;Castelverde, Ubaldo Ferrari, 15;Cingia de' Botti, Giuseppina, 79;Crema, Civerchi, 9;Crema, Dante Alighieri, 49;Cremona, Sesto, 41;Cremona, Ugolani Dati, 4;Dovera, Oldrini 2;Fiesco, Giuseppe Parini, 10;Gadesco-Pieve Delmona, Giovanni Lonati 9;Grontardo, Roma, 16;Grumello Cremonese ed Uniti, Roma, 2;Gussola, Comaschi, 1;Isola Dovarese, Giacomo Matteotti, 1;Izano, Gerardo da Izano, 4/C;Madignano, Portici, 4;Martignana di Po, Libertï¿½, 64;Monte Cremasco, Roma, 12;Montodine,  XXV Aprile, 10;Offanengo, Clavelli Martini, 5;Ostiano, Mazzini, 1;Paderno Ponchielli, Municipio, 3;Palazzo Pignano, Marco Polo, 31;Pandino, Castello, 15;Persico Dosimo, Albert ,7;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Piadena, Platina, 40;Pianengo, Roma, 59;Pizzighettone, Giuseppe Garibaldi, 18;Manerbio, INSURREZIONE NAZIONALE;Viadana, A. Manzoni, 2;Ricengo, Guglielmo Marconi;Ripalta Cremasca, Roma, 5;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;Rivolta d'Adda, Stefano Renzi, 5;Romanengo, Guaiarini, 14;San Bassano, Mons. Frosi (ex piazza Scuole);San Giovanni in Croce, Feudatari, 25 A;Scandolara Ravara, Italia;Sergnano, IV Novembre,  10;Sesto ed Uniti, Roma, 4;Solarolo Rainerio, Giuseppina, 81;Soncino, Dante Alighieri, 23;Soresina, Giacomo Matteotti, 6;Sospiro;Spino d'Adda, Circonvallazione, 13;Trescore Cremasco, Vittorio Veneto, 1;Trigolo, Roma, 26;Vaiano Cremasco,  Gloriosi Caduti, 3;Vailate, Dante Alighieri, 7;Vescovato, Roma, 44;Cremona, Felice Cavallotti, 2;Cremona, Palosca n. 2;Ostiano;San Giovanni
Piadena, Platina, 40;7.481.666.666.666.660;41.483.333.333.333.300;6.773.333.333.333.330;27.75;6.818.333.333.333.330;6.296.666.666.666.660;72.15;38.15;67.15;7.036.666.666.666.660;21.15;52.983.333.333.333.300;4.833.333.333.333.330;3.306.666.666.666.660;14.65;61.5;60.583.333.333.333.300;32.9;29.116.666.666.666.600;71.2;53.983.333.333.333.300;19.866.666.666.666.600;21.083.333.333.333.300;41.25;18.183.333.333.333.300;9.9;5.681.666.666.666.660;56.25;15.666.666.666.666.600;6.851.666.666.666.660;5.338.333.333.333.330;6.313.333.333.333.330;16.616.666.666.666.600;4.161.666.666.666.660;6.728.333.333.333.330;7.148.333.333.333.330;23.816.666.666.666.600;16.666.666.666.666.600;0.05;2.788.333.333.333.330;4.911.666.666.666.660;43.25;3.428.333.333.333.330;64.45;57.5;18.55;7.798.333.333.333.330;57.35;46.0;8.45;18.35;6.823.333.333.333.330;36.483.333.333.333.300;8.983.333.333.333.330;5.843.333.333.333.330;4.751.666.666.666.660;280.5;7.306.666.666.666.660;7.018.333.333.333.330;50.916.666.666.666.600;6.788.333.333.333.330;7.711.666.666.666.660;17.666.666.666.666.600;35.9;26.183.333.333.333.300;16.05;8.033.333.333.333.330
Pianengo, Roma, 59;30.148.333.333.333.300;2.865.833.333.333.330;2.970.833.333.333.330;273.35;3.053.666.666.666.660;29.418.333.333.333.300;30.701.666.666.666.600;28.318.333.333.333.300;304.4;3.051.166.666.666.660;25.793.333.333.333.300;273.7;2.881.666.666.666.660;2.783.833.333.333.330;271.55;296.95;29.496.666.666.666.600;278.0;2.743.833.333.333.330;29.123.333.333.333.300;29.578.333.333.333.300;2.719.166.666.666.660;280.05;28.631.666.666.666.600;26.568.333.333.333.300;28.276.666.666.666.600;297.5;29.521.666.666.666.600;262.4;29.523.333.333.333.300;284.8;300.35;285.15;286.55;29.826.666.666.666.600;297.8;27.321.666.666.666.600;278.95;27.468.333.333.333.300;0.0;281.1;2.851.166.666.666.660;250.45;3.013.833.333.333.330;28.853.333.333.333.300;26.451.666.666.666.600;30.221.666.666.666.600;29.881.666.666.666.600;29.023.333.333.333.300;267.2;272.5;305.25;281.55;267.8;302.95;2.926.166.666.666.660;34.266.666.666.666.600;29.901.666.666.666.600;30.081.666.666.666.600;296.2;29.821.666.666.666.600;307.0;2.756.666.666.666.660;27.723.333.333.333.300;27.148.333.333.333.300;2.850.833.333.333.330;2.676.666.666.666.660
Pizzighettone, Giuseppe Garibaldi, 18;3.996.666.666.666.660;14.866.666.666.666.600;30.416.666.666.666.600;31.083.333.333.333.300;3.571.666.666.666.660;25.85;38.733.333.333.333.300;25.0;3.471.666.666.666.660;36.333.333.333.333.300;6.028.333.333.333.330;13.733.333.333.333.300;15.916.666.666.666.600;22.4;43.25;29.066.666.666.666.600;26.65;15.633.333.333.333.300;24.733.333.333.333.300;33.233.333.333.333.300;22.916.666.666.666.600;30.7;3.568.333.333.333.330;11.833.333.333.333.300;5.466.666.666.666.660;4.351.666.666.666.660;25.7;23.816.666.666.666.600;54.85;3.356.666.666.666.660;16.316.666.666.666.600;30.616.666.666.666.600;44.05;14.95;32.266.666.666.666.600;36.516.666.666.666.600;27.766.666.666.666.600;3.803.333.333.333.330;4.863.333.333.333.330;285.6;0.16666666666666666;48.05;7.333.333.333.333.330;31.883.333.333.333.300;20.283.333.333.333.300;6.131.666.666.666.660;43.166.666.666.666.600;26.2;12.133.333.333.333.300;4.896.666.666.666.660;49.3;35.7;13.066.666.666.666.600;4.796.666.666.666.660;30.45;17.85;30.7;38.05;35.833.333.333.333.300;20.183.333.333.333.300;32.8;43.35;3.453.333.333.333.330;26.2;28.65;4.343.333.333.333.330;4.936.666.666.666.660
Manerbio, INSURREZIONE NAZIONALE;5.393.333.333.333.330;36.25;5.178.333.333.333.330;27.616.666.666.666.600;40.1;47.95;45.233.333.333.333.300;26.266.666.666.666.600;3.963.333.333.333.330;44.05;56.85;4.911.666.666.666.660;4.248.333.333.333.330;3.228.333.333.333.330;4.228.333.333.333.330;44.55;44.166.666.666.666.600;3.263.333.333.333.330;28.7;53.85;3.753.333.333.333.330;26.383.333.333.333.300;27.383.333.333.333.300;4.243.333.333.333.330;5.121.666.666.666.660;3.681.666.666.666.660;36.65;43.333.333.333.333.300;51.4;5.251.666.666.666.660;49.266.666.666.666.600;38.166.666.666.666.600;27.466.666.666.666.600;36.333.333.333.333.300;4.776.666.666.666.660;49.8;27.65;27.0;42.1;291.1;4.868.333.333.333.330;0.0;6.988.333.333.333.330;3.836.666.666.666.660;45.333.333.333.333.300;5.786.666.666.666.660;55.85;31.766.666.666.666.600;43.416.666.666.666.600;4.553.333.333.333.330;4.588.333.333.333.330;4.061.666.666.666.660;3.611.666.666.666.660;4.453.333.333.333.330;28.1;34.166.666.666.666.600;3.968.333.333.333.330;5.621.666.666.666.660;4.453.333.333.333.330;3.896.666.666.666.660;51.85;50.05;28.566.666.666.666.600;33.4;25.216.666.666.666.600;28.35;48.233.333.333.333.300
Viadana, A. Manzoni, 2;100.5;6.728.333.333.333.330;9.361.666.666.666.660;45.7;9.403.333.333.333.330;8.858.333.333.333.330;98.15;63.85;93.0;95.35;16.25;7.033.333.333.333.330;7.413.333.333.333.330;5.878.333.333.333.330;30.2;8.738.333.333.333.330;8.646.666.666.666.660;5.853.333.333.333.330;5.336.666.666.666.660;88.95;7.981.666.666.666.660;4.846.666.666.666.660;4.963.333.333.333.330;6.693.333.333.333.330;24.016.666.666.666.600;4.143.333.333.333.330;82.6;8.191.666.666.666.660;20.716.666.666.666.600;9.421.666.666.666.660;7.918.333.333.333.330;88.95;4.793.333.333.333.330;67.35;93.0;9.718.333.333.333.330;5.231.666.666.666.660;4.516.666.666.666.660;33.083.333.333.333.300;25.421.666.666.666.600;7.473.333.333.333.330;7.166.666.666.666.660;0.38333333333333336;90.25;83.1;16.533.333.333.333.300;101.05;8.303.333.333.333.330;7.153.333.333.333.330;25.7;30.85;9.401.666.666.666.660;62.083.333.333.333.300;26.216.666.666.666.600;8.381.666.666.666.660;73.25;50.85;9.871.666.666.666.660;9.608.333.333.333.330;76.4;9.363.333.333.333.330;10.301.666.666.666.600;4.603.333.333.333.330;57.083.333.333.333.300;4.638.333.333.333.330;47.35;25.75
Ricengo, Guglielmo Marconi;20.35;30.6;19.15;47.8;8.916.666.666.666.660;15.316.666.666.666.600;11.666.666.666.666.600;30.5;6.1;11.016.666.666.666.600;77.1;34.983.333.333.333.300;17.733.333.333.333.300;39.3;60.0;12.083.333.333.333.300;11.7;3.083.333.333.333.330;43.166.666.666.666.600;20.3;14.533.333.333.333.300;47.45;4.971.666.666.666.660;29.35;71.5;6.031.666.666.666.660;9.766.666.666.666.660;12.316.666.666.666.600;71.65;19.866.666.666.666.600;17.916.666.666.666.600;5.766.666.666.666.660;58.5;30.7;14.216.666.666.666.600;16.25;44.516.666.666.666.600;5.463.333.333.333.330;6.546.666.666.666.660;30.701.666.666.666.600;32.95;3.796.666.666.666.660;9.026.666.666.666.660;0.25;12.683.333.333.333.300;78.15;24.95;10.833.333.333.333.300;24.35;65.85;66.15;7.033.333.333.333.330;32.3;6.483.333.333.333.330;14.383.333.333.333.300;2.461.666.666.666.660;43.733.333.333.333.300;22.566.666.666.666.600;11.016.666.666.666.600;17.983.333.333.333.300;1.908.333.333.333.330;16.466.666.666.666.600;51.4;44.85;4.546.666.666.666.660;5.786.666.666.666.660;6.628.333.333.333.330
Ripalta Cremasca, Roma, 5;19.683.333.333.333.300;23.833.333.333.333.300;12.55;41.016.666.666.666.600;16.833.333.333.333.300;5.6;18.433.333.333.333.300;31.716.666.666.666.600;15.85;15.8;7.033.333.333.333.330;22.333.333.333.333.300;10.866.666.666.666.600;32.416.666.666.666.600;53.2;8.183.333.333.333.330;6.3;24.05;3.643.333.333.333.330;16.066.666.666.666.600;15.116.666.666.666.600;4.063.333.333.333.330;4.553.333.333.333.330;22.55;6.468.333.333.333.330;53.5;9.983.333.333.333.330;8.916.666.666.666.660;64.85;13.266.666.666.666.600;5.25;11.75;5.401.666.666.666.660;2.388.333.333.333.330;11.966.666.666.666.600;16.3;3.768.333.333.333.330;48.05;5.863.333.333.333.330;29.471.666.666.666.600;22.033.333.333.333.300;45.35;8.343.333.333.333.330;13.0;0.03333333333333333;7.131.666.666.666.660;22.866.666.666.666.600;13.3;17.533.333.333.333.300;58.983.333.333.333.300;5.928.333.333.333.330;16.833.333.333.333.300;25.483.333.333.333.300;5.796.666.666.666.660;21.366.666.666.666.600;21.366.666.666.666.600;28.333.333.333.333.300;17.733.333.333.333.300;15.533.333.333.333.300;18.583.333.333.333.300;12.483.333.333.333.300;23.033.333.333.333.300;4.448.333.333.333.330;37.983.333.333.333.300;38.55;5.336.666.666.666.660;59.35
Rivarolo del Re ed Uniti, Giovanni XXIII, 5;8.878.333.333.333.330;5.556.666.666.666.660;81.9;3.396.666.666.666.660;8.231.666.666.666.660;7.686.666.666.666.660;8.641.666.666.666.660;5.213.333.333.333.330;8.126.666.666.666.660;83.9;12.233.333.333.333.300;6.673.333.333.333.330;62.4;47.05;18.466.666.666.666.600;75.65;7.473.333.333.333.330;46.8;4.163.333.333.333.330;8.516.666.666.666.660;6.808.333.333.333.330;3.671.666.666.666.660;37.9;55.2;16.383.333.333.333.300;27.3;7.086.666.666.666.660;7.018.333.333.333.330;13.083.333.333.333.300;8.246.666.666.666.660;6.743.333.333.333.330;7.721.666.666.666.660;3.381.666.666.666.660;5.563.333.333.333.330;8.126.666.666.666.660;8.541.666.666.666.660;40.583.333.333.333.300;33.45;18.983.333.333.333.300;26.723.333.333.333.300;63.0;5.936.666.666.666.660;17.616.666.666.666.600;78.55;7.138.333.333.333.330;0.8333333333333334;91.95;7.133.333.333.333.330;59.833.333.333.333.300;12.15;21.95;8.231.666.666.666.660;5.038.333.333.333.330;12.666.666.666.666.600;7.211.666.666.666.660;6.156.666.666.666.660;6.401.666.666.666.660;8.701.666.666.666.660;8.438.333.333.333.330;64.7;8.193.333.333.333.330;9.131.666.666.666.660;34.333.333.333.333.300;4.538.333.333.333.330;3.468.333.333.333.330;3.321.666.666.666.660;11.0
Rivolta d'Adda, Stefano Renzi, 5;7.65;44.6;19.933.333.333.333.300;6.181.666.666.666.660;24.916.666.666.666.600;20.133.333.333.333.300;15.866.666.666.666.600;5.103.333.333.333.330;23.383.333.333.333.300;18.7;91.25;3.803.333.333.333.330;31.85;53.266.666.666.666.600;7.413.333.333.333.330;24.0;23.916.666.666.666.600;4.486.666.666.666.660;57.266.666.666.666.600;14.55;3.263.333.333.333.330;61.516.666.666.666.600;66.35;43.4;8.546.666.666.666.660;7.428.333.333.333.330;27.45;26.316.666.666.666.600;8.578.333.333.333.330;15.566.666.666.666.600;28.4;28.683.333.333.333.300;6.788.333.333.333.330;4.481.666.666.666.660;15.3;11.55;5.863.333.333.333.330;6.886.666.666.666.660;7.941.666.666.666.660;30.926.666.666.666.600;4.513.333.333.333.330;5.263.333.333.333.330;10.243.333.333.333.300;25.066.666.666.666.600;23.216.666.666.666.600;9.248.333.333.333.330;0.0;30.766.666.666.666.600;3.843.333.333.333.330;8.008.333.333.333.330;8.031.666.666.666.660;22.35;46.25;79.0;3.493.333.333.333.330;4.171.666.666.666.660;45.8;9.883.333.333.333.330;16.166.666.666.666.600;3.613.333.333.333.330;15.716.666.666.666.600;11.4;6.546.666.666.666.660;59.0;59.583.333.333.333.300;6.886.666.666.666.660;8.046.666.666.666.660
Romanengo, Guaiarini, 14;27.15;22.083.333.333.333.300;20.066.666.666.666.600;4.228.333.333.333.330;14.95;16.183.333.333.333.300;19.6;22.0;14.0;18.716.666.666.666.600;7.158.333.333.333.330;32.733.333.333.333.300;10.7;30.783.333.333.333.300;5.446.666.666.666.660;12.766.666.666.666.600;12.383.333.333.333.300;25.2;3.761.666.666.666.660;23.533.333.333.333.300;5.75;4.193.333.333.333.330;4.113.333.333.333.330;2.373.333.333.333.330;65.95;54.8;4.866.666.666.666.660;11.55;6.611.666.666.666.660;20.716.666.666.666.600;17.466.666.666.666.600;6.383.333.333.333.330;4.993.333.333.333.330;2.216.666.666.666.660;19.483.333.333.333.300;23.766.666.666.666.600;38.833.333.333.333.300;46.1;5.988.333.333.333.330;30.323.333.333.333.300;28.133.333.333.333.300;32.1;84.7;10.6;13.55;7.266.666.666.666.660;30.25;0.0;18.733.333.333.333.300;60.35;60.6;14.983.333.333.333.300;26.583.333.333.333.300;59.3;8.116.666.666.666.660;15.883.333.333.333.300;33.233.333.333.333.300;25.25;18.866.666.666.666.600;9.233.333.333.333.330;2.003.333.333.333.330;24.416.666.666.666.600;45.85;39.266.666.666.666.600;3.988.333.333.333.330;49.35;6.071.666.666.666.660
San Bassano, Mons. Frosi (ex piazza Scuole);36.083.333.333.333.300;12.3;29.033.333.333.333.300;29.566.666.666.666.600;29.533.333.333.333.300;2.333.333.333.333.330;3.353.333.333.333.330;20.916.666.666.666.600;28.516.666.666.666.600;31.183.333.333.333.300;5.881.666.666.666.660;22.55;9.65;20.916.666.666.666.600;4.178.333.333.333.330;22.85;22.25;12.533.333.333.333.300;24.916.666.666.666.600;32.5;15.3;29.233.333.333.333.300;34.083.333.333.333.300;11.033.333.333.333.300;5.321.666.666.666.660;42.1;18.133.333.333.333.300;17.433.333.333.333.300;5.338.333.333.333.330;29.8;13.783.333.333.333.300;24.466.666.666.666.600;42.6;12.383.333.333.333.300;28.566.666.666.666.600;32.766.666.666.666.600;26.25;3.663.333.333.333.330;47.25;293.5;13.066.666.666.666.600;44.25;7.203.333.333.333.330;25.75;17.8;5.996.666.666.666.660;39.25;18.583.333.333.333.300;0.0;4.763.333.333.333.330;47.9;29.516.666.666.666.600;13.966.666.666.666.600;46.6;23.25;10.65;16.066.666.666.666.600;3.431.666.666.666.660;31.416.666.666.666.600;12.95;2.918.333.333.333.330;38.35;3.313.333.333.333.330;26.6;27.2;42.016.666.666.666.600;48.05
San Giovanni in Croce, Feudatari, 25 A;7.693.333.333.333.330;43.75;70.1;22.15;7.051.666.666.666.660;6.501.666.666.666.660;7.468.333.333.333.330;40.3;6.948.333.333.333.330;7.203.333.333.333.330;14.0;55.0;5.063.333.333.333.330;3.518.333.333.333.330;6.666.666.666.666.660;6.381.666.666.666.660;62.9;3.493.333.333.333.330;29.766.666.666.666.600;7.333.333.333.333.330;56.233.333.333.333.300;24.933.333.333.333.300;26.116.666.666.666.600;4.331.666.666.666.660;10.333.333.333.333.300;16.6;59.016.666.666.666.600;5.836.666.666.666.660;8.5;70.65;55.6;6.446.666.666.666.660;2.308.333.333.333.330;4.376.666.666.666.660;69.45;7.363.333.333.333.330;28.8;2.168.333.333.333.330;8.266.666.666.666.660;2.700.833.333.333.330;5.111.666.666.666.660;47.75;27.016.666.666.666.600;66.7;5.953.333.333.333.330;12.933.333.333.333.300;80.1;59.483.333.333.333.300;4.793.333.333.333.330;0.36666666666666664;10.183.333.333.333.300;70.45;38.5;0.8333333333333334;6.013.333.333.333.330;4.966.666.666.666.660;15.75;75.15;7.258.333.333.333.330;5.278.333.333.333.330;70.05;79.45;22.55;3.343.333.333.333.330;22.766.666.666.666.600;22.5;0.9333333333333333
Scandolara Ravara, Italia;7.678.333.333.333.330;43.55;6.996.666.666.666.660;22.033.333.333.333.300;7.036.666.666.666.660;6.486.666.666.666.660;7.453.333.333.333.330;40.1;6.933.333.333.333.330;7.198.333.333.333.330;1.958.333.333.333.330;5.478.333.333.333.330;5.046.666.666.666.660;3.503.333.333.333.330;72.333.333.333.333.300;63.7;6.278.333.333.333.330;3.478.333.333.333.330;29.616.666.666.666.600;73.25;5.611.666.666.666.660;25.2;26.383.333.333.333.300;43.15;10.233.333.333.333.300;2.403.333.333.333.330;58.9;58.25;12.9;7.051.666.666.666.660;55.45;64.35;27.9;4.361.666.666.666.660;69.3;7.351.666.666.666.660;29.033.333.333.333.300;2.193.333.333.333.330;17.9;27.518.333.333.333.300;51.016.666.666.666.600;48.0;3.263.333.333.333.330;66.55;5.938.333.333.333.330;22.45;7.998.333.333.333.330;59.35;47.8;10.083.333.333.333.300;0.0;7.033.333.333.333.330;38.35;9.083.333.333.333.330;5.996.666.666.666.660;4.953.333.333.333.330;5.506.666.666.666.660;7.496.666.666.666.660;72.45;52.65;6.973.333.333.333.330;7.933.333.333.333.330;22.766.666.666.666.600;32.4;22.65;27.266.666.666.666.600;10.5
Sergnano, IV Novembre,  10;18.983.333.333.333.300;3.336.666.666.666.660;20.416.666.666.666.600;5.278.333.333.333.330;8.483.333.333.333.330;18.516.666.666.666.600;10.266.666.666.666.600;33.4;4.75;9.466.666.666.666.660;8.216.666.666.666.660;39.766.666.666.666.600;22.55;42.2;6.498.333.333.333.330;14.266.666.666.666.600;14.366.666.666.666.600;3.556.666.666.666.660;48.1;18.866.666.666.666.600;19.3;5.231.666.666.666.660;52.5;34.083.333.333.333.300;76.1;6.506.666.666.666.660;14.533.333.333.333.300;17.0;7.668.333.333.333.330;1.803.333.333.333.330;22.566.666.666.666.600;10.983.333.333.333.300;61.2;33.4;12.766.666.666.666.600;14.816.666.666.666.600;49.416.666.666.666.600;5.746.666.666.666.660;7.016.666.666.666.660;30.903.333.333.333.300;37.666.666.666.666.600;4.106.666.666.666.660;9.521.666.666.666.660;7.4;17.383.333.333.333.300;8.336.666.666.666.660;22.45;15.583.333.333.333.300;29.1;7.091.666.666.666.660;71.25;0.0;36.95;6.978.333.333.333.330;17.333.333.333.333.300;28.3;23.883.333.333.333.300;21.25;9.55;22.816.666.666.666.600;17.433.333.333.333.300;15.083.333.333.333.300;5.623.333.333.333.330;49.766.666.666.666.600;5.031.666.666.666.660;60.666.666.666.666.600;71.25
Sesto ed Uniti, Roma, 4;43.7;10.483.333.333.333.300;36.766.666.666.666.600;20.833.333.333.333.300;37.15;3.183.333.333.333.330;41.3;16.883.333.333.333.300;3.611.666.666.666.660;3.918.333.333.333.330;50.15;21.9;17.3;12.166.666.666.666.600;3.303.333.333.333.330;30.55;29.55;4.7;16.183.333.333.333.300;4.006.666.666.666.660;22.966.666.666.666.600;20.5;25.333.333.333.333.300;5.666.666.666.666.660;4.451.666.666.666.660;3.336.666.666.666.660;25.8;25.0;4.468.333.333.333.330;37.4;22.35;3.206.666.666.666.660;33.833.333.333.333.300;10.566.666.666.666.600;36.2;40.35;17.5;27.9;38.483.333.333.333.300;284.2;14.55;3.753.333.333.333.330;63.266.666.666.666.600;33.333.333.333.333.300;26.366.666.666.666.600;5.123.333.333.333.330;46.833.333.333.333.300;26.233.333.333.333.300;14.766.666.666.666.600;38.916.666.666.666.600;3.916.666.666.666.660;37.166.666.666.666.600;0.18333333333333332;3.786.666.666.666.660;29.8;16.45;15.2;41.9;39.266.666.666.666.600;19.7;3.681.666.666.666.660;46.15;2.436.666.666.666.660;17.45;18.433.333.333.333.300;33.266.666.666.666.600;3.928.333.333.333.330
Solarolo Rainerio, Giuseppina, 81;75.85;42.583.333.333.333.300;6.903.333.333.333.330;21.083.333.333.333.300;6.936.666.666.666.660;6.386.666.666.666.660;7.403.333.333.333.330;3.911.666.666.666.660;6.831.666.666.666.660;71.2;14.516.666.666.666.600;5.353.333.333.333.330;49.55;34.15;5.716.666.666.666.660;62.8;6.211.666.666.666.660;33.85;28.85;72.3;55.15;23.983.333.333.333.300;25.15;4.218.333.333.333.330;9.516.666.666.666.660;17.2;57.95;5.728.333.333.333.330;9.066.666.666.666.660;6.941.666.666.666.660;54.516.666.666.666.600;6.426.666.666.666.660;2.363.333.333.333.330;42.65;68.2;7.253.333.333.333.330;27.816.666.666.666.600;20.716.666.666.666.600;8.833.333.333.333.330;269.2;50.1;4.686.666.666.666.660;27.633.333.333.333.300;6.541.666.666.666.660;58.416.666.666.666.600;13.433.333.333.333.300;7.896.666.666.666.660;5.836.666.666.666.660;46.8;0.8666666666666667;9.233.333.333.333.330;6.928.333.333.333.330;3.738.333.333.333.330;0.0;5.893.333.333.333.330;48.55;45.266.666.666.666.600;7.391.666.666.666.660;71.5;5.163.333.333.333.330;68.7;7.876.666.666.666.660;2.161.666.666.666.660;32.35;21.766.666.666.666.600;23.083.333.333.333.300;14.833.333.333.333.300
Soncino, Dante Alighieri, 23;30.0;20.933.333.333.333.300;28.083.333.333.333.300;4.218.333.333.333.330;16.25;2.416.666.666.666.660;21.4;20.933.333.333.333.300;15.75;20.633.333.333.333.300;71.6;4.088.333.333.333.330;18.966.666.666.666.600;29.716.666.666.666.600;5.441.666.666.666.660;20.916.666.666.666.600;20.55;2.766.666.666.666.660;38.2;29.966.666.666.666.600;14.0;41.766.666.666.666.600;4.011.666.666.666.660;25.266.666.666.666.600;6.551.666.666.666.660;5.451.666.666.666.660;13.1;19.816.666.666.666.600;66.15;28.716.666.666.666.600;25.75;14.583.333.333.333.300;50.4;21.016.666.666.666.600;23.85;25.95;3.771.666.666.666.660;45.1;5.961.666.666.666.660;3.063.833.333.333.330;3.231.666.666.666.660;28.0;8.453.333.333.333.330;14.5;21.616.666.666.666.600;7.278.333.333.333.330;34.583.333.333.333.300;8.183.333.333.333.330;23.75;60.35;6.066.666.666.666.660;16.7;29.033.333.333.333.300;5.923.333.333.333.330;0.16666666666666666;15.9;3.468.333.333.333.330;32.35;20.6;15.45;2.813.333.333.333.330;26.233.333.333.333.300;4.491.666.666.666.660;3.988.333.333.333.330;3.978.333.333.333.330;4.828.333.333.333.330;60.733.333.333.333.300
Soresina, Giacomo Matteotti, 6;3.878.333.333.333.330;7.516.666.666.666.660;31.883.333.333.333.300;31.416.666.666.666.600;27.25;2.738.333.333.333.330;32.4;11.45;26.7;31.533.333.333.333.300;6.076.666.666.666.660;28.9;10.95;20.3;43.6;25.633.333.333.333.300;24.716.666.666.666.600;14.233.333.333.333.300;26.766.666.666.666.600;35.15;12.466.666.666.666.600;30.983.333.333.333.300;30.633.333.333.333.300;11.866.666.666.666.600;5.481.666.666.666.660;43.75;15.483.333.333.333.300;20.183.333.333.333.300;5.531.666.666.666.660;3.246.666.666.666.660;17.95;20.9;3.931.666.666.666.660;7.583.333.333.333.330;31.266.666.666.666.600;35.416.666.666.666.600;28.316.666.666.666.600;35.583.333.333.333.300;48.833.333.333.333.300;294.55;19.65;35.75;7.386.666.666.666.660;25.483.333.333.333.300;21.883.333.333.333.300;6.198.333.333.333.330;41.9;15.933.333.333.333.300;11.083.333.333.333.300;4.953.333.333.333.330;4.978.333.333.333.330;27.683.333.333.333.300;15.616.666.666.666.600;4.843.333.333.333.330;15.266.666.666.666.600;0.0;11.796.666.666.666.600;3.696.666.666.666.660;31.583.333.333.333.300;8.85;3.188.333.333.333.330;3.721.666.666.666.660;3.536.666.666.666.660;28.45;29.0;38.75;49.916.666.666.666.600
Sospiro;61.666.666.666.666.600;28.95;53.8;7.65;5.443.333.333.333.330;49.3;58.583.333.333.333.300;25.45;53.416.666.666.666.600;26.55;3.946.666.666.666.660;35.166.666.666.666.600;20.1;9.666.666.666.666.660;48.2;47.25;15.9;15.9;58.8;4.111.666.666.666.660;12.833.333.333.333.300;16.45;28.35;20.333.333.333.333.300;16.866.666.666.666.600;43.85;42.35;21.116.666.666.666.600;55.266.666.666.666.600;4.021.666.666.666.660;49.65;17.816.666.666.666.600;29.083.333.333.333.300;54.083.333.333.333.300;5.838.333.333.333.330;15.433.333.333.333.300;11.9;21.966.666.666.666.600;0.0;36.1;31.583.333.333.333.300;39.416.666.666.666.600;51.233.333.333.333.300;44.0;28.666.666.666.666.600;6.473.333.333.333.330;44.1;3.318.333.333.333.330;15.416.666.666.666.600;15.7;54.766.666.666.666.600;24.266.666.666.666.600;14.366.666.666.666.600;45.266.666.666.666.600;3.486.666.666.666.660;11.753.333.333.333.300;60.15;5.678.333.333.333.330;3.828.333.333.333.330;54.516.666.666.666.600;6.353.333.333.333.330;12.616.666.666.666.600;18.866.666.666.666.600;8.333.333.333.333.330;17.266.666.666.666.600;15.833.333.333.333.300;13.166.666.666.666.600
Spino d'Adda, Circonvallazione, 13;12.6;4.063.333.333.333.330;16.016.666.666.666.600;58.05;28.45;16.033.333.333.333.300;22.633.333.333.333.300;4.786.666.666.666.660;25.45;17.466.666.666.666.600;8.746.666.666.666.660;3.281.666.666.666.660;27.9;49.166.666.666.666.600;7.028.333.333.333.330;20.05;19.916.666.666.666.600;40.833.333.333.333.300;5.353.333.333.333.330;11.133.333.333.333.300;28.533.333.333.333.300;57.583.333.333.333.300;62.6;39.333.333.333.333.300;81.15;7.028.333.333.333.330;23.35;22.45;81.95;12.166.666.666.666.600;24.366.666.666.666.600;25.15;7.096.666.666.666.660;4.066.666.666.666.660;11.633.333.333.333.300;9.866.666.666.666.660;5.471.666.666.666.660;6.496.666.666.666.660;75.4;305.0;41.0;5.771.666.666.666.660;10.028.333.333.333.300;24.083.333.333.333.300;19.116.666.666.666.600;88.5;10.933.333.333.333.300;26.666.666.666.666.600;3.438.333.333.333.330;7.606.666.666.666.660;76.3;22.55;42.233.333.333.333.300;7.498.333.333.333.330;33.95;37.65;56.55;0.5666666666666667;15.05;31.9;11.716.666.666.666.600;19.3;6.136.666.666.666.660;5.511.666.666.666.660;5.553.333.333.333.330;7.033.333.333.333.330;7.638.333.333.333.330
