;martedi;mercoledi;giovedi
0;Cremona, Sesto 39;Cremona, Sesto 39;Cremona, Sesto 39
1;Martignana di Po, Libertà, 64;Bagnolo Cremasco, Roma, 3;Grontardo, Roma, 16
2;Persico Dosimo, Albert ,7;Trescore Cremasco, Vittorio Veneto, 1;Montodine,  XXV Aprile, 10
3;Vescovato, Roma, 44;Trigolo, Roma, 26;Manerbio, INSURREZIONE NAZIONALE
4;San Giovanni in Croce, Feudatari, 25 A;Casalbuttano ed Uniti, Jacini, 23;Casale Cremasco-Vidolasco, Roma, 56
5;Sergnano, IV Novembre,  10;Fiesco, Giuseppe Parini, 10;Sesto ed Uniti, Roma, 4
6;San Giovanni in Croce, Feudatari, 25 A;San Giovanni in Croce, Feudatari, 25 A;San Giovanni in Croce, Feudatari, 25 A
