;lunedi;martedi;mercoledi;giovedi;venerdi
greedy;(0.069, 10, 1);(0.016, 3, 1);(0.312, 16, 1);(0.249, 14, 1);(0.165, 16, 1)
LS;(0.0, 10, 1);(0.0, 2, 1);(0.0, 17, 1);(1.496, 16, 2);(1.546, 16, 2)
2opt;(4.692, 10, 2);(0.03, 2, 1);(23.985, 17, 6);(25.002, 16, 1);(20.613, 16, 8)
