;lunedi;martedi;mercoledi;giovedi;venerdi
greedy;(0.126, 14, 1);(0.627, 23, 1);(0.353, 17, 1);(0.615, 23, 1);(0.101, 12, 1)
LS;(2.374, 14, 10);(2.02, 13, 5);(2.3, 14, 7);(2.332, 14, 3);(2.034, 12, 4)
2opt;(17.511, 14, 2);(12.013, 13, 3);(19.358, 14, 3);(15.941, 14, 8);(9.73, 12, 4)
MVLS;(2.088, 14, 13);(1.916, 13, 12);(1.966, 14, 16);(2.057, 14, 19);(2.062, 12, 14)
