;Agnadello, Marconi, 6;Annicco, Giuseppe Garibaldi, 6;Bagnolo Cremasco, Roma, 3;Bonemerse, Roma, 25;Camisano, Trieste, 57;Capergnanica, XI febbraio, 7;Capralba, Piave, 2;Casalbuttano ed Uniti, Jacini, 23;Casale Cremasco-Vidolasco, Roma, 56;Casalmaggiore, Guglielmo Marconi, 8;Casalpusterlengo, Pusterla 7;Castelleone, Roma, 67;Castelverde, Ubaldo Ferrari, 15;Cingia de' Botti, Giuseppina, 79;Crema, Civerchi, 9;Crema, Dante Alighieri, 49;Cremona, Ugolani Dati, 4;Cremona, Ugolani Dati, 4;Dovera, Oldrini 2;Fiesco, Giuseppe Parini, 10;Gadesco-Pieve Delmona, Giovanni Lonati 9;Grontardo, Roma, 16;Grumello Cremonese ed Uniti, Roma, 2;Gussola, Comaschi, 1;Isola Dovarese, Giacomo Matteotti, 1;Izano, Gerardo da Izano, 4/C;Madignano, Portici, 4;Martignana di Po, Libertà, 64;Monte Cremasco, Roma, 12;Montodine,  XXV Aprile, 10;Offanengo, Clavelli Martini, 5;Ostiano, Mazzini, 1;Paderno Ponchielli, Municipio, 3;Palazzo Pignano, Marco Polo, 31;Pandino, Castello, 15;Persico Dosimo, Albert ,7;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Piadena, Platina, 40;Pianengo, Nenni;Pizzighettone, Giuseppe Garibaldi, 18;Manerbio, INSURREZIONE NAZIONALE;Viadana, A. Manzoni, 2;Ricengo, Guglielmo Marconi;Ripalta Cremasca, Roma, 5;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;Rivolta d'Adda, Stefano Renzi, 5;Romanengo, Guaiarini, 14;San Bassano, Mons. Frosi (ex piazza Scuole);San Giovanni in Croce, Feudatari, 25 A;Scandolara Ravara, Italia;Sergnano, IV Novembre,  10;Sesto ed Uniti, Roma, 4;Solarolo Rainerio, Giuseppina, 81;Soncino, Dante Alighieri, 23;Soresina, Giacomo Matteotti, 6;Sospiro, Tosi;Spino d'Adda, Circonvallazione, 13;Trescore Cremasco, Vittorio Veneto, 1;Trigolo, Roma, 26;Vaiano Cremasco,  Gloriosi Caduti, 3;Vailate, Dante Alighieri, 7;Vescovato, Roma, 44;Cremona, Felice Cavallotti, 2;Cremona, Palosca n. 2;Casaletto Vaprio, Maggiore, 7;Ostiano;San Giovanni in Croce;Cremona, Sesto 39
Ripalta Cremasca, Roma, 5;22.89;26.11;10.2;45.39;17.34;4.85;15.33;28.29;15.92;79.07;22.48;10.03;35.91;61.61;4.61;3.95;37.69;37.63;17.77;13.32;46.23;49.73;24.85;72.88;61.61;8.86;6.21;75.25;14.03;5.54;9.13;62.18;26.14;12.95;18.21;42.37;54.92;67.39;8.58;23.62;45.23;91.9;11.61;0.03;80.46;25.78;12.54;17.16;68.19;67.57;17.08;29.02;67.18;20.38;18.41;50.75;21.15;12.66;16.48;12.74;19.18;50.33;39.54;42.5;12.16;61.89;69.0;28.47
Rivarolo del Re ed Uniti, Giovanni XXIII, 5;102.37;61.67;89.67;37.65;92.45;85.4;97.51;56.74;91.03;10.06;88.84;71.41;49.88;19.86;81.85;82.28;42.28;42.22;97.25;75.61;41.42;41.34;61.81;14.12;26.86;79.5;77.82;11.57;93.5;75.35;84.24;36.76;61.7;92.42;97.69;44.58;37.67;20.21;85.39;66.92;72.1;15.65;86.72;80.56;0.19;105.26;80.32;66.13;12.11;22.23;92.19;53.9;12.62;78.19;67.23;30.69;100.62;90.99;72.53;92.22;101.93;37.78;43.76;38.93;90.5;36.47;11.71;52.03
Rivolta d'Adda, Stefano Renzi, 5;6.93;50.89;18.67;70.17;23.5;22.02;13.37;55.75;22.3;103.84;39.47;34.7;60.69;86.39;24.05;23.66;62.47;62.41;13.35;35.03;71.01;74.5;49.63;97.65;86.39;30.58;27.93;100.03;14.22;31.75;30.85;106.62;50.91;13.62;9.44;67.14;79.7;92.16;23.08;49.83;59.5;163.09;25.51;26.21;105.23;0.0;34.26;41.93;92.97;92.35;20.85;53.79;91.96;36.88;42.5;75.52;8.21;16.0;38.21;15.66;9.44;75.11;64.32;67.28;17.71;86.66;93.78;53.24
Romanengo, Guaiarini, 14;31.04;20.73;18.34;43.56;15.88;15.24;21.1;22.01;14.46;77.24;32.4;10.22;30.92;61.78;9.36;9.52;37.87;36.55;25.92;5.39;46.41;43.2;25.02;71.05;59.78;4.92;8.56;75.42;22.17;16.17;4.63;50.23;20.75;21.09;26.36;37.3;49.86;65.56;14.69;28.33;32.68;90.07;10.16;13.0;78.63;33.93;0.0;17.33;66.37;65.75;15.63;29.19;65.36;7.84;15.3;48.92;29.29;20.2;8.55;20.88;25.36;48.51;36.89;40.67;19.71;50.87;67.18;28.64
San Bassano, Mons. Frosi (ex piazza Scuole);39.2;13.32;26.51;32.59;29.28;23.41;34.5;18.13;27.86;66.27;22.58;8.24;23.12;48.81;18.69;19.11;24.9;24.84;34.08;12.45;33.44;36.93;12.06;60.08;48.82;16.33;14.66;62.45;30.34;12.18;21.07;49.38;13.34;29.26;34.52;29.57;42.13;54.59;22.23;9.74;42.13;79.1;23.56;17.45;67.66;42.09;17.15;0.0;55.4;54.78;29.02;14.08;52.24;21.48;8.26;35.81;37.46;27.82;11.41;29.05;38.76;35.39;24.6;27.56;27.33;46.95;54.06;13.53
San Giovanni in Croce, Feudatari, 25 A;89.89;49.19;77.2;25.18;79.97;72.93;85.19;44.27;78.55;11.92;76.36;58.93;37.4;7.39;69.38;69.81;29.81;29.75;84.77;63.13;30.28;30.33;49.34;9.78;15.29;67.02;65.35;8.1;81.03;62.87;71.77;25.19;49.22;79.95;85.21;33.43;26.66;7.22;72.92;54.45;59.63;24.59;74.25;68.08;12.06;92.78;67.84;53.66;0.12;9.76;79.72;41.42;0.64;65.71;54.75;18.22;88.15;78.51;60.06;79.74;89.45;26.64;31.29;26.45;78.02;24.9;0.39;39.55
Scandolara Ravara, Italia;88.22;47.52;75.52;23.5;78.3;71.25;83.52;42.59;76.88;14.6;74.69;57.26;35.73;6.81;67.7;68.13;28.13;28.07;83.1;61.46;28.61;28.65;47.66;7.67;18.13;65.35;63.67;10.11;79.35;61.2;70.09;27.81;47.55;78.27;83.54;31.76;24.98;18.71;71.24;54.89;57.95;27.43;72.57;66.41;21.01;91.11;66.17;51.98;9.65;0.0;78.04;39.75;8.64;64.04;53.08;16.54;86.47;76.84;58.38;78.06;87.78;24.96;29.7;24.77;76.34;27.52;10.46;37.88
Sergnano, IV Novembre,  10;18.16;34.77;16.48;57.29;6.19;19.73;9.79;36.05;2.13;90.97;39.97;21.82;44.96;73.51;8.17;8.4;49.6;49.53;17.82;18.52;58.14;57.24;36.76;84.78;73.52;14.31;15.06;87.15;15.95;23.03;9.82;66.56;34.79;12.02;14.14;54.27;66.83;79.29;3.38;40.06;41.5;103.8;5.81;17.49;92.36;21.37;15.72;29.06;80.1;79.48;0.0;40.92;79.09;17.18;29.34;62.65;21.21;8.89;21.69;14.66;14.05;62.24;51.45;54.41;8.4;67.67;80.91;40.37
Sesto ed Uniti, Roma, 4;50.87;10.17;38.18;18.55;40.95;33.91;46.17;15.09;39.53;52.23;22.93;19.91;9.26;34.77;30.36;30.79;11.21;11.14;45.75;24.11;19.39;22.89;5.12;46.03;34.77;28.0;26.33;48.41;42.01;23.85;32.86;35.34;10.2;40.93;46.19;15.53;28.08;40.55;33.9;12.72;44.97;65.06;35.23;29.06;53.61;53.76;28.82;14.64;41.35;40.73;40.7;0.09;40.34;29.46;15.73;23.9;49.13;39.49;21.04;40.72;50.43;23.49;11.74;15.66;39.0;35.05;42.16;4.42
Solarolo Rainerio, Giuseppina, 81;88.78;48.08;76.08;24.06;78.86;71.81;84.08;43.15;77.44;12.44;75.25;57.81;36.29;6.27;68.26;68.69;28.69;28.63;83.66;62.02;29.16;29.21;48.22;9.02;15.81;65.91;64.23;8.62;79.91;61.76;70.65;25.71;48.11;78.83;84.1;32.32;25.54;9.16;71.8;55.45;58.51;25.27;73.13;66.97;12.58;91.67;66.73;52.54;0.64;8.64;78.6;40.31;0.0;64.6;53.64;17.1;87.03;77.4;58.94;78.62;88.34;25.52;30.2;25.34;76.9;25.42;0.91;38.44
Soncino, Dante Alighieri, 23;30.49;19.89;26.0;42.73;15.36;22.9;22.13;21.17;15.49;76.4;40.05;17.88;30.08;58.95;17.02;17.18;35.77;35.71;30.15;13.05;43.57;42.36;24.91;70.21;58.95;12.58;16.22;72.58;29.83;23.83;12.29;50.53;19.91;24.36;26.48;39.7;49.02;64.72;15.71;30.42;25.47;89.23;13.45;20.66;77.79;36.17;7.66;21.34;65.53;64.91;16.65;29.42;64.52;0.06;14.46;48.08;33.55;21.23;12.09;28.54;26.39;47.67;36.05;39.84;20.73;51.63;66.34;28.87
Soresina, Giacomo Matteotti, 6;39.59;6.27;26.89;32.17;28.12;23.79;34.72;10.26;28.24;65.85;28.7;8.13;19.17;48.39;19.07;19.5;24.48;24.41;34.47;10.66;33.02;31.45;11.29;59.66;48.4;14.29;15.04;62.03;30.72;12.93;18.41;38.48;6.3;29.64;34.91;29.15;38.11;54.17;28.47;17.39;34.25;78.68;26.21;18.14;67.24;42.48;15.11;8.31;54.98;54.36;29.4;15.8;53.97;14.5;0.0;37.53;37.85;33.98;7.03;29.44;39.14;37.12;26.33;29.29;33.49;39.12;55.79;15.25
Sospiro, Tosi;72.26;31.57;59.57;7.55;62.34;55.3;67.57;26.64;60.92;29.5;58.73;41.29;19.78;12.04;51.74;52.17;12.18;12.12;67.13;45.5;10.4;17.38;31.7;23.31;20.4;49.38;47.71;25.68;63.39;45.24;54.13;20.96;31.58;62.31;67.58;15.0;13.71;26.17;55.28;36.82;42.0;42.33;56.61;50.44;30.89;75.14;50.21;36.02;18.63;18.01;62.08;23.79;17.62;48.09;37.12;0.0;70.51;60.88;42.42;62.1;71.81;13.69;13.66;8.82;60.38;20.67;19.44;21.92
Spino d'Adda, Circonvallazione, 13;10.62;46.7;14.49;65.98;26.92;17.83;20.32;48.19;21.78;99.66;32.32;30.51;56.5;82.2;19.66;19.47;58.28;58.22;9.19;30.85;66.82;70.32;45.44;93.47;82.2;26.39;23.74;95.84;10.06;27.57;26.66;82.77;46.73;11.94;6.16;62.96;75.51;87.98;19.31;42.39;57.44;145.58;21.74;22.02;101.05;8.7;30.07;37.75;88.78;88.16;20.37;49.61;87.77;33.11;38.31;71.33;0.19;12.24;34.02;11.48;18.05;70.92;60.13;63.09;13.94;82.48;89.59;49.06
Trescore Cremasco, Vittorio Veneto, 1;12.86;36.48;9.59;55.76;15.49;12.95;9.05;40.55;10.36;89.43;35.84;20.29;46.28;71.98;8.32;8.92;48.06;48.0;9.73;23.02;56.6;61.74;35.22;83.24;71.98;18.82;13.52;85.62;7.87;18.15;13.22;68.77;36.51;3.94;6.06;52.73;65.29;77.75;7.89;36.22;46.01;102.27;10.32;12.6;90.82;15.75;20.22;27.52;78.56;77.94;8.94;39.38;77.55;21.69;33.85;61.11;13.13;0.0;26.2;6.58;8.03;60.7;49.91;52.87;2.52;72.25;79.37;38.83
Trigolo, Roma, 26;35.16;12.88;22.47;37.6;21.97;19.37;27.19;16.32;20.55;71.28;31.68;9.79;25.23;53.82;13.49;13.65;29.91;29.84;30.04;4.1;38.45;37.51;17.06;65.09;53.82;7.73;11.37;67.46;26.3;15.75;11.84;44.54;12.9;25.22;30.48;34.58;47.13;59.6;20.78;20.37;37.16;84.11;16.25;17.13;72.67;38.05;8.55;11.29;60.41;59.78;21.71;21.23;59.39;12.27;6.99;42.96;33.42;26.29;0.08;25.01;31.45;42.55;31.75;34.71;25.8;45.19;61.22;20.68
Vaiano Cremasco,  Gloriosi Caduti, 3;13.4;38.22;2.35;57.5;26.39;9.35;15.18;39.71;16.48;91.17;30.76;22.03;48.02;73.72;11.38;10.99;49.8;50.37;8.91;23.0;58.97;62.47;37.59;85.62;74.35;18.54;15.89;87.99;1.39;16.0;18.81;74.92;38.88;4.08;9.35;55.11;67.66;80.13;14.64;34.08;54.9;104.64;17.07;14.17;93.19;16.92;22.22;29.9;80.93;80.31;15.7;41.76;79.92;30.06;30.46;63.48;12.29;7.57;26.17;0.0;13.55;63.07;52.28;55.24;9.27;74.63;81.74;41.21
Vailate, Dante Alighieri, 7;4.76;42.51;17.67;61.78;16.61;18.86;5.05;45.76;15.4;95.46;41.8;26.31;54.67;78.0;15.39;14.94;54.09;54.02;15.69;28.23;62.63;66.95;41.25;89.27;78.0;24.03;19.55;91.64;16.56;24.18;19.53;99.21;42.53;12.02;9.75;58.76;71.32;83.78;13.09;42.25;51.18;108.29;15.53;18.63;96.85;9.56;25.43;33.55;84.59;83.97;14.15;45.41;83.58;26.89;39.05;67.14;17.87;7.36;31.41;14.66;0.13;66.73;55.94;58.9;7.22;99.86;85.4;44.86
Vescovato, Roma, 44;71.85;31.15;59.15;15.51;61.93;54.88;67.15;26.24;60.51;38.23;57.44;40.89;19.37;20.77;51.33;51.76;13.39;13.32;66.73;45.09;6.38;5.58;31.29;32.04;14.76;48.98;47.3;34.41;62.98;44.83;53.72;10.5;31.18;61.9;67.17;9.53;2.9;20.54;54.88;36.41;26.78;51.06;56.2;50.04;39.7;74.74;49.8;35.61;27.36;26.74;61.67;23.38;26.35;47.68;36.71;13.87;70.11;60.47;42.02;61.7;71.41;0.0;14.9;12.96;59.98;10.21;26.25;21.51
Cremona, Felice Cavallotti, 2;61.01;20.31;48.31;6.06;51.09;44.05;56.31;16.84;49.67;41.63;31.53;30.05;9.97;24.17;40.49;40.92;2.44;2.37;55.89;34.25;10.82;18.23;16.38;35.44;26.2;38.14;36.47;37.81;52.15;33.99;42.88;26.77;20.34;51.07;56.33;10.87;19.51;31.97;44.04;22.82;36.4;54.46;45.37;39.2;43.02;63.9;38.96;24.78;30.76;30.14;50.83;11.44;29.75;38.28;25.87;13.31;59.27;49.63;31.18;50.86;60.57;14.92;0.02;5.07;49.14;26.47;31.57;10.67
Cremona, Palosca n. 2;64.08;23.39;51.39;3.73;54.17;47.12;59.39;18.48;52.75;37.41;50.57;33.12;11.61;19.95;43.57;44.0;4.01;3.95;58.97;37.33;8.97;14.2;23.53;31.21;24.34;41.22;39.54;33.59;55.22;37.07;45.96;24.91;23.42;54.14;59.41;6.84;17.65;30.12;47.11;28.65;33.83;50.24;48.44;42.28;38.79;66.98;42.04;27.85;26.53;25.91;53.91;15.62;25.52;39.92;28.95;9.08;62.34;52.71;34.25;53.93;63.65;13.06;5.49;0.0;52.21;24.62;27.34;13.75
Casaletto Vaprio, Maggiore, 7;10.58;36.05;11.21;55.33;15.06;12.4;5.36;40.12;9.92;89.0;37.47;19.86;49.03;71.55;7.89;8.48;47.63;47.57;11.36;22.59;56.17;61.31;34.79;82.81;71.55;18.39;13.09;85.19;9.49;17.72;13.89;70.64;36.07;5.57;7.68;52.3;64.86;77.32;7.46;35.79;45.54;101.83;9.89;12.17;90.39;17.38;19.79;27.09;78.13;77.51;8.51;38.95;77.12;21.26;33.42;60.68;14.75;2.44;25.77;8.2;7.84;60.27;49.48;52.44;0.0;71.28;78.94;38.4
Cremona, Sesto 39;50.34;9.64;37.64;16.92;40.42;33.37;45.64;16.62;39.0;50.6;29.18;19.38;7.45;33.14;29.82;30.25;9.22;9.16;45.22;23.58;17.77;21.26;9.78;44.41;33.14;27.47;25.79;46.78;41.47;23.32;32.25;33.71;9.67;40.39;45.66;13.9;26.45;38.92;33.36;18.93;43.35;63.43;34.69;28.53;51.99;53.23;28.29;14.1;39.73;39.1;40.16;4.44;38.71;28.93;15.2;22.28;48.59;38.96;20.5;40.19;49.9;21.86;9.62;14.03;38.47;33.42;40.54;0.0
