;Agnadello, Marconi, 6;Annicco, Giuseppe Garibaldi, 6;Bagnolo Cremasco, Roma, 3;Bonemerse, Roma, 25;Camisano, Trieste, 57;Capergnanica, XI febbraio, 7;Capralba, Piave, 2;Casalbuttano ed Uniti, Jacini, 23;Casale Cremasco-Vidolasco, Roma, 56;Casalmaggiore, Guglielmo Marconi, 8;Casalpusterlengo, Pusterla 7;Castelleone, Roma, 67;Castelverde, Ubaldo Ferrari, 15;Cingia de' Botti, Giuseppina, 79;Crema, Civerchi, 9;Crema, Dante Alighieri, 49;Cremona, Ugolani Dati, 4;Dovera, Oldrini 2;Fiesco, Giuseppe Parini, 10;Gadesco-Pieve Delmona, Giovanni Lonati 9;Grontardo, Roma, 16;Grumello Cremonese ed Uniti, Roma, 2;Gussola, Comaschi, 1;Isola Dovarese, Giacomo Matteotti, 1;Izano, Gerardo da Izano, 4/C;Madignano, Portici, 4;Martignana di Po, Libertà, 64;Monte Cremasco, Roma, 12;Montodine,  XXV Aprile, 10;Offanengo, Clavelli Martini, 5;Ostiano, Mazzini, 1;Paderno Ponchielli, Municipio, 3;Palazzo Pignano, Marco Polo, 31;Pandino, Castello, 15;Persico Dosimo, Albert ,7;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Piadena, Platina, 40;Pianengo, Nenni;Pizzighettone, Giuseppe Garibaldi, 18;Manerbio, INSURREZIONE NAZIONALE;Viadana, A. Manzoni, 2;Ricengo, Guglielmo Marconi;Ripalta Cremasca, Roma, 5;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;Rivolta d'Adda, Stefano Renzi, 5;Romanengo, Guaiarini, 14;San Bassano, Mons. Frosi;San Giovanni in Croce, Feudatari, 25 A;Scandolara Ravara, Italia;Sergnano, IV Novembre,  10;Sesto ed Uniti, Roma, 4;Solarolo Rainerio, Giuseppina, 81;Soncino, Dante Alighieri, 23;Soresina, Giacomo Matteotti, 6;Sospiro, Tosi;Spino d'Adda, Circonvallazione, 13;Trescore Cremasco, Vittorio Veneto, 1;Trigolo, Roma, 26;Vaiano Cremasco,  Gloriosi Caduti, 3;Vailate, Dante Alighieri, 7;Vescovato, Roma, 44;Cremona, Felice Cavallotti, 2;Cremona, Palosca n. 2;Casaletto Vaprio, Maggiore, 7;Cremona, Sesto 39
Monte Cremasco, Roma, 12;11.11;38.66;6.12;57.94;26.83;9.79;15.62;40.15;16.93;91.62;29.38;22.47;48.46;74.16;11.83;11.43;50.18;5.08;22.81;58.78;62.28;37.4;85.43;74.16;18.36;15.7;87.8;0.0;19.53;18.62;74.73;38.69;3.89;6.44;54.92;67.47;79.94;14.46;37.6;54.72;104.45;16.89;13.99;93.01;14.01;22.03;29.71;80.75;80.12;15.51;41.57;79.73;29.87;30.28;63.3;9.39;7.38;25.98;1.38;16.73;62.88;52.09;55.05;9.09;41.02
Montodine,  XXV Aprile, 10;28.4;20.87;14.37;40.15;22.85;10.36;20.68;23.05;21.43;73.83;17.24;4.79;30.67;56.37;10.12;9.46;32.42;23.28;11.35;40.99;44.49;19.61;67.64;56.37;14.38;10.76;70.01;18.64;0.05;14.64;56.94;20.9;18.46;23.73;37.13;49.68;62.15;14.09;18.38;48.74;86.66;17.12;5.51;75.22;31.29;16.06;11.92;62.95;62.33;22.59;23.78;61.94;23.9;13.18;45.51;26.66;18.17;15.64;18.25;24.69;45.09;34.3;37.26;17.68;23.23
Offanengo, Clavelli Martini, 5;23.71;25.37;15.61;50.08;10.13;12.51;15.35;26.66;8.71;83.75;32.75;13.4;35.57;66.3;6.15;6.79;42.32;23.18;8.58;50.92;47.84;29.54;77.56;66.3;3.43;7.84;79.94;19.44;15.81;0.18;54.88;25.4;18.36;19.69;47.05;54.51;72.08;8.93;32.84;37.37;96.58;4.11;10.27;85.14;31.19;4.65;21.84;72.88;72.26;9.87;33.7;71.87;12.49;20.45;55.43;26.56;14.45;11.74;18.15;19.6;55.02;42.77;47.19;13.95;33.15
Ostiano, Mazzini, 1;82.23;41.53;69.54;25.88;66.4;65.27;71.46;29.61;64.98;36.28;69.25;51.27;29.75;27.42;63.16;63.59;25.14;78.55;56.92;18.19;10.45;43.12;38.69;13.02;60.8;59.13;32.46;74.81;56.66;56.55;0.07;43.0;73.73;79.0;17.44;6.82;18.79;66.7;48.23;22.63;49.11;68.03;61.86;37.96;103.52;51.92;47.44;24.66;33.38;66.14;35.2;25.17;50.85;38.65;20.51;81.93;72.3;53.84;73.52;96.32;10.57;26.71;24.78;71.81;33.34
Paderno Ponchielli, Municipio, 3;46.66;0.02;33.97;26.72;36.75;29.7;41.81;8.82;35.33;60.4;26.57;15.7;14.46;42.94;26.15;26.58;18.99;41.55;16.66;27.57;31.06;5.84;54.21;42.94;20.29;22.12;56.58;37.8;19.65;28.54;43.51;0.0;36.72;41.99;23.7;36.25;48.72;29.69;15.26;33.63;73.23;31.02;24.86;61.79;49.55;20.79;10.43;49.53;48.9;36.49;10.35;48.51;20.1;6.38;32.08;44.92;35.29;13.02;36.51;46.23;31.66;20.87;23.83;34.8;9.8
Palazzo Pignano, Marco Polo, 31;11.31;37.87;5.64;57.15;18.17;9.0;11.57;43.23;13.03;90.82;33.78;21.68;47.67;73.37;11.08;10.7;49.39;7.67;22.02;57.99;61.48;36.61;84.63;73.37;17.56;14.91;87.01;3.92;18.73;17.83;73.94;37.89;0.17;4.51;54.12;66.68;79.14;10.56;36.81;48.65;103.65;13.0;13.19;92.21;14.2;21.24;28.91;79.95;79.33;11.62;40.77;78.94;24.37;29.48;62.5;11.05;3.49;25.19;2.63;9.47;62.09;49.84;54.26;5.19;40.22
Pandino, Castello, 15;5.41;43.26;11.04;62.54;20.48;14.39;14.04;45.54;15.35;96.21;31.84;27.07;53.06;78.76;13.31;16.03;54.78;5.72;27.41;63.38;66.88;42.0;90.02;78.76;22.95;20.3;92.4;6.59;24.12;19.32;79.33;43.28;4.2;0.0;59.51;72.07;84.53;12.88;42.2;50.96;109.04;15.31;18.58;97.6;8.3;26.63;34.3;85.34;84.72;13.93;46.16;84.33;26.68;34.92;67.89;5.9;5.8;30.57;8.03;11.03;67.48;56.69;59.65;7.51;45.61
Persico Dosimo, Albert ,7;63.93;23.24;51.24;10.01;54.02;46.97;59.24;15.24;52.59;44.49;37.2;32.96;11.45;27.03;43.41;43.84;5.88;58.8;37.17;3.16;7.64;23.37;38.3;21.02;41.05;39.38;40.67;55.06;36.91;45.8;17.44;23.25;53.98;59.24;0.16;14.33;26.79;46.95;28.49;27.38;57.32;48.28;42.11;48.41;66.81;41.88;27.69;33.62;32.99;53.75;15.46;32.6;36.68;28.79;15.36;62.18;52.55;34.09;53.77;63.48;9.74;8.81;7.12;52.05;13.59
Pescarolo ed Uniti, Giuseppe Mazzini, 73;75.72;35.02;63.03;19.38;65.8;58.76;71.02;30.11;64.38;36.94;61.31;44.76;23.25;19.48;55.21;55.63;17.2;70.6;48.97;10.25;3.58;35.17;30.75;13.47;52.85;51.18;33.12;66.86;48.7;57.59;6.83;35.05;65.78;71.04;13.4;0.06;19.25;58.75;40.29;25.01;49.77;60.08;53.91;40.86;78.61;53.67;39.49;26.07;25.44;65.55;27.25;25.05;49.25;38.23;12.57;73.98;64.34;45.89;65.57;75.28;2.91;20.63;16.84;63.85;25.38
Piadena, Platina, 40;88.8;48.1;76.11;32.47;78.88;73.01;84.1;43.19;77.47;20.25;74.39;57.84;36.33;16.39;68.29;68.72;30.28;83.68;62.05;23.33;23.25;48.25;19.24;8.76;65.93;64.26;16.44;79.94;61.78;70.68;18.66;48.13;78.86;84.12;26.48;19.58;0.04;71.83;53.37;43.62;33.09;73.16;66.99;19.25;91.69;66.75;52.57;8.63;18.76;78.63;40.33;9.15;64.63;53.66;25.65;87.06;77.42;58.97;78.65;88.36;19.69;32.84;29.92;76.93;38.46
