;Agnadello, Marconi, 6;Annicco, Giuseppe Garibaldi, 6;Bagnolo Cremasco, Roma, 3;Bonemerse, Roma, 25;Camisano, Trieste, 57;Capergnanica, XI febbraio, 7;Capralba, Piave, 2;Casalbuttano ed Uniti, Jacini, 23;Casale Cremasco-Vidolasco, Roma, 56;Casalmaggiore, Guglielmo Marconi, 8;Casalpusterlengo, Pusterla 7;Castelleone, Roma, 67;Castelverde, Ubaldo Ferrari, 15;Cingia de' Botti, Giuseppina, 79;Crema, Civerchi, 9;Cremona, Ugolani Dati, 4;Dovera, Oldrini 2;Fiesco, Giuseppe Parini, 10;Gadesco-Pieve Delmona, Giovanni Lonati 9;Grontardo, Roma, 16;Grumello Cremonese ed Uniti, Roma, 2;Gussola, Comaschi, 1;Isola Dovarese, Giacomo Matteotti, 1;Izano, Gerardo da Izano, 4/C;Madignano, Portici, 4;Martignana di Po, Libertà, 64;Monte Cremasco, Roma, 12;Montodine,  XXV Aprile, 10;Offanengo, Clavelli Martini, 5;Ostiano, Mazzini, 1;Paderno Ponchielli, Municipio, 3;Palazzo Pignano, Marco Polo, 31;Pandino, Castello, 15;Persico Dosimo, Albert ,7;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Piadena, Platina, 40;Pianengo, Nenni;Pizzighettone, Giuseppe Garibaldi, 18;Manerbio, INSURREZIONE NAZIONALE;Viadana, A. Manzoni, 2;Ricengo, Guglielmo Marconi;Ripalta Cremasca, Roma, 5;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;Rivolta d'Adda, Stefano Renzi, 5;Romanengo, Guaiarini, 14;San Bassano, Mons. Frosi;San Giovanni in Croce, Feudatari, 25 A;Scandolara Ravara, Italia;Sergnano, IV Novembre,  10;Sesto ed Uniti, Roma, 4;Solarolo Rainerio, Giuseppina, 81;Soncino, Dante Alighieri, 23;Soresina, Giacomo Matteotti, 6;Sospiro, Tosi;Spino d'Adda, Circonvallazione, 13;Trescore Cremasco, Vittorio Veneto, 1;Trigolo, Roma, 26;Vaiano Cremasco,  Gloriosi Caduti, 3;Vailate, Dante Alighieri, 7;Vescovato, Roma, 44;Cremona, Felice Cavallotti, 2;Cremona, Palosca n. 2;Casaletto Vaprio, Maggiore, 7;Cremona, Sesto 39
Casalpusterlengo, Pusterla 7;37.08;27.35;30.63;37.75;40.45;26.78;44.37;37.58;39.45;64.6;0.23;22.58;33.1;47.65;32.37;35.88;25.1;30.13;36.6;47.07;22.43;60.92;50.07;31.72;28.48;62.57;30.37;18.92;35.02;50.22;27.35;33.58;33.38;38.48;43.83;54.05;37.2;14.65;50.27;68.27;36.77;24.33;68.88;39.37;32.75;24.68;56.15;56.77;40.57;22.63;53.78;41.97;30.35;41.55;33.9;36.03;32.4;33.08;43.42;40.35;36.88;34.8;38.32;27.2
Castelleone, Roma, 67;29.8;15.4;21.45;34.65;22.83;16.43;28.03;22.45;21.83;67.6;22.77;0.43;25.42;44.98;16.33;30.75;25.5;8.53;34.58;37.78;13.92;57.88;48.07;11.32;9.53;58.62;23.28;7.02;17.43;46.53;15.42;21.78;26.23;31.25;40.83;52.82;20.02;17.87;45.27;77.15;19.18;12.18;66.75;32.9;11.38;9.67;52.23;52.25;22.97;18.07;50.7;20.37;11.6;39.17;27.88;26.07;11.27;22.37;33.02;38.98;31.58;32.13;26.3;15.57
Castelverde, Ubaldo Ferrari, 15;52.47;15.57;43.55;16.95;42.17;38.27;47.43;9.03;41.25;47.38;32.47;24.47;0.78;27.02;38.7;12.93;47.92;29.67;16.88;20.75;16.4;40.2;29.47;32.37;31.0;41.8;45.63;28.83;36.82;29.57;15.9;44.25;48.0;13.0;24.15;35.18;41.5;23.98;33.82;60.38;40.73;34.82;48.3;55.67;30.43;22.02;35.73;35.9;42.63;12.27;32.63;29.58;20.12;20.97;50.32;46.35;26.5;44.15;52.42;21.27;14.33;14.27;46.35;8.0
Cingia de' Botti, Giuseppina, 79;71.15;36.8;62.78;14.78;63.97;58.15;68.78;33.53;63.68;20.55;47.1;44.13;28.2;0.0;57.7;23.18;66.63;49.45;17.97;18.23;36.35;13.83;19.97;52.18;51.37;14.98;64.97;48.58;57.47;20.33;36.82;63.58;67.47;21.68;14.67;16.88;61.2;43.55;40.38;33.78;60.45;53.45;22.05;74.17;52.72;41.53;8.48;8.8;64.77;32.0;5.82;54.03;42.95;8.1;69.68;67.32;46.32;64.25;73.93;15.62;26.48;15.53;67.2;27.88
Crema, Civerchi, 9;21.77;29.55;14.23;46.62;16.35;10.98;16.03;34.42;15.52;81.05;32.63;16.07;39.1;56.87;0.27;44.28;17.32;14.55;48.0;53.3;27.0;70.17;58.68;9.37;9.6;71.77;15.3;14.92;10.58;61.33;29.55;13.68;18.27;43.1;53.65;65.9;8.42;31.22;45.17;90.33;13.07;8.27;78.13;25.03;12.72;22.85;66.93;67.13;13.12;31.75;64.15;21.0;25.1;52.62;19.9;13.35;16.82;14.32;21.58;50.28;45.12;44.12;13.12;30.05
Cremona, Ugolani Dati, 4;55.98;21.2;47.33;12.93;49.05;42.67;53.53;18.2;47.68;43.58;34.32;28.48;13.0;23.27;42.68;0.0;51.88;34.22;13.67;19.72;20.92;36.43;26.63;36.92;35.27;38.03;49.52;33.15;42.78;27.3;21.28;48.13;52.23;11.77;21.33;31.55;46.0;26.28;30.5;57.72;45.27;38.57;44.38;59.0;37.27;25.98;31.65;31.67;48.95;16.1;28.98;38.73;27.47;17.05;54.2;52.1;30.7;48.35;59.32;18.07;8.2;10.43;52.72;12.52
Dovera, Oldrini 2;11.13;38.6;11.63;57.18;24.57;12.58;19.13;45.6;21.78;84.73;25.98;24.52;46.78;66.13;16.78;51.73;0.18;25.07;57.25;62.33;37.1;79.42;68.2;19.85;18.35;82.28;8.3;21.07;21.6;70.82;37.6;7.97;7.77;52.37;63.03;75.5;17.42;35.28;54.15;89.88;21.08;14.48;89.23;14.3;23.45;31.82;74.72;76.13;18.85;39.58;73.15;30.17;35.12;61.7;9.88;10.95;27.18;8.07;18.82;59.6;54.15;54.67;13.23;38.03
Fiesco, Giuseppe Parini, 10;29.92;19.42;22.58;40.53;19.35;18.65;24.05;21.95;18.45;71.08;30.78;8.22;30.4;50.73;15.95;36.7;25.5;0.0;40.4;42.17;20.53;63.78;52.37;5.43;11.37;65.3;23.37;15.1;10.52;50.5;19.38;22.3;26.82;37.15;46.7;58.45;18.43;25.47;37.98;85.27;16.02;14.83;71.82;33.05;5.93;16.57;59.05;59.47;19.57;23.92;56.12;13.82;12.9;45.03;28.35;23.6;4.5;22.97;29.67;44.65;37.48;37.73;23.3;22.5
Gadesco-Pieve Delmona, Giovanni Lonati 9;59.4;25.05;51.33;11.62;52.35;46.72;58.37;21.95;52.22;40.77;35.7;32.47;17.12;17.53;46.05;12.9;54.9;37.95;0.53;11.3;24.92;31.03;16.42;40.77;39.83;32.93;53.55;37.12;46.8;16.85;25.0;52.17;55.8;4.53;10.93;21.37;50.35;32.23;28.75;52.62;48.68;41.78;38.67;62.5;40.8;30.05;26.07;26.32;53.3;20.75;23.13;42.53;31.35;14.33;57.25;55.65;34.32;51.93;63.32;7.67;18.08;9.27;56.7;16.33
Grontardo, Roma, 16;64.73;31.8;57.75;19.98;53.2;51.68;59.07;23.27;52.92;38.62;44.2;37.83;22.4;18.13;51.53;19.92;62.52;41.8;11.18;0.38;30.23;31.63;17.42;45.15;44.32;33.12;58.25;43.55;48.55;11.62;30.53;56.75;61.22;9.32;6.1;22.17;53.08;37.77;29.2;52.83;52.38;49.07;39.08;70.15;42.18;35.05;26.68;27.03;54.0;27.18;23.75;41.25;32.0;16.25;62.75;57.98;38.18;57.42;64.0;6.95;24.45;18.32;57.97;21.9
