;Agnadello, Marconi, 6;Annicco, Giuseppe Garibaldi, 6;Bagnolo Cremasco, Roma, 3;Bonemerse, Roma, 25;Camisano, Trieste, 57;Capergnanica, XI febbraio, 7;Capralba, Piave, 2;Casalbuttano ed Uniti, Jacini, 23;Casale Cremasco-Vidolasco, Roma, 56;Casalmaggiore, Guglielmo Marconi, 8;Casalpusterlengo, Pusterla 7;Castelleone, Roma, 67;Castelverde, Ubaldo Ferrari, 15;Cingia de' Botti, Giuseppina, 79;Crema, Civerchi, 9;Cremona, Ugolani Dati, 4;Dovera, Oldrini 2;Fiesco, Giuseppe Parini, 10;Gadesco-Pieve Delmona, Giovanni Lonati 9;Grontardo, Roma, 16;Grumello Cremonese ed Uniti, Roma, 2;Gussola, Comaschi, 1;Isola Dovarese, Giacomo Matteotti, 1;Izano, Gerardo da Izano, 4/C;Madignano, Portici, 4;Martignana di Po, Libertà, 64;Monte Cremasco, Roma, 12;Montodine,  XXV Aprile, 10;Offanengo, Clavelli Martini, 5;Ostiano, Mazzini, 1;Paderno Ponchielli, Municipio, 3;Palazzo Pignano, Marco Polo, 31;Pandino, Castello, 15;Persico Dosimo, Albert ,7;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Piadena, Platina, 40;Pianengo, Nenni;Pizzighettone, Giuseppe Garibaldi, 18;Manerbio, INSURREZIONE NAZIONALE;Viadana, A. Manzoni, 2;Ricengo, Guglielmo Marconi;Ripalta Cremasca, Roma, 5;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;Rivolta d'Adda, Stefano Renzi, 5;Romanengo, Guaiarini, 14;San Bassano, Mons. Frosi;San Giovanni in Croce, Feudatari, 25 A;Scandolara Ravara, Italia;Sergnano, IV Novembre,  10;Sesto ed Uniti, Roma, 4;Solarolo Rainerio, Giuseppina, 81;Soncino, Dante Alighieri, 23;Soresina, Giacomo Matteotti, 6;Sospiro, Tosi;Spino d'Adda, Circonvallazione, 13;Trescore Cremasco, Vittorio Veneto, 1;Trigolo, Roma, 26;Vaiano Cremasco,  Gloriosi Caduti, 3;Vailate, Dante Alighieri, 7;Vescovato, Roma, 44;Cremona, Felice Cavallotti, 2;Cremona, Palosca n. 2;Casaletto Vaprio, Maggiore, 7;Cremona, Sesto 39
Paderno Ponchielli, Municipio, 3;43.13;7.0;33.65;27.43;34.98;29.3;39.38;10.95;33.92;57.35;26.12;14.95;16.0;37.1;28.8;23.55;37.52;19.68;27.48;31.27;6.27;50.67;40.85;22.63;21.53;51.98;36.12;19.47;27.97;40.95;0.0;33.93;39.33;24.0;34.57;45.57;32.93;16.23;38.35;70.62;32.3;25.17;58.48;46.2;22.52;12.28;46.23;46.43;34.4;10.2;43.45;21.62;8.23;31.03;40.03;38.32;15.83;35.45;44.9;30.55;24.32;24.88;38.2;9.25
Palazzo Pignano, Marco Polo, 31;12.27;34.82;8.05;54.02;18.75;9.58;12.93;41.32;15.25;86.97;33.73;22.25;45.1;63.33;14.33;48.9;8.05;22.37;53.95;59.18;34.13;76.62;67.4;16.98;15.4;79.1;5.57;18.13;17.93;67.37;34.82;0.33;6.65;50.6;60.28;70.5;11.83;35.33;49.35;96.67;14.67;11.5;84.62;15.85;20.4;28.92;71.6;73.02;13.07;36.65;68.93;24.82;32.22;57.27;10.47;5.17;24.43;4.7;14.97;58.28;50.07;51.52;7.5;36.08
Pandino, Castello, 15;6.52;40.28;13.28;57.55;21.43;14.1;15.9;43.63;18.53;87.97;34.08;26.92;48.4;67.78;18.37;53.33;7.75;26.65;57.38;62.03;38.77;81.9;70.23;21.77;19.9;82.53;9.55;22.68;20.47;72.35;40.28;6.6;0.0;53.83;65.97;75.17;14.35;39.9;51.85;98.02;17.2;16.0;89.02;9.87;25.37;34.43;76.0;77.73;15.58;42.45;73.33;26.95;36.47;63.27;9.47;7.68;28.93;9.72;13.43;61.48;54.45;54.92;10.03;39.52
Persico Dosimo, Albert ,7;58.15;22.83;49.07;12.58;50.18;44.58;55.82;18.3;49.65;41.58;37.98;30.27;13.75;21.82;43.85;10.72;52.57;35.63;4.92;8.77;22.02;35.15;20.95;38.42;37.48;36.72;51.13;34.65;44.43;18.07;22.45;49.72;54.27;0.38;14.6;25.0;47.72;29.6;29.18;54.9;47.18;40.33;43.52;60.18;38.42;27.12;30.27;30.47;50.62;18.02;26.92;39.13;28.9;16.95;55.0;53.25;32.07;49.58;60.7;11.82;14.95;9.92;53.15;13.87
Pescarolo ed Uniti, Giuseppe Mazzini, 73;68.12;32.92;59.0;18.75;58.7;54.2;64.55;28.65;58.75;34.27;42.95;40.35;24.75;14.02;54.05;20.45;62.67;45.45;10.78;6.52;32.48;27.52;13.42;48.15;47.58;29.15;61.1;45.05;54.4;8.48;32.52;59.75;64.3;14.52;0.13;18.15;57.3;40.33;28.95;47.6;57.2;50.5;36.0;70.3;47.8;37.63;22.28;22.95;59.88;28.15;19.62;46.8;37.38;11.78;65.12;63.25;41.97;59.78;64.87;4.4;25.2;16.7;63.17;23.68
Piadena, Platina, 40;77.55;43.13;69.47;29.17;70.68;64.78;75.95;39.62;69.88;24.12;54.13;50.53;34.98;16.3;64.17;30.8;73.63;55.75;21.15;21.68;42.7;18.48;10.72;58.72;56.97;16.37;71.02;54.85;63.72;16.97;42.73;69.98;73.98;24.9;17.1;0.03;67.85;50.55;43.25;33.75;67.02;60.75;18.35;80.75;58.77;47.47;8.37;18.15;70.77;38.42;10.42;60.82;49.08;22.58;75.48;73.53;52.7;70.77;80.57;18.47;37.57;27.45;73.48;34.37
Pianengo, Nenni;18.72;32.87;17.1;54.43;10.33;15.38;9.8;32.67;6.87;87.42;39.42;22.4;41.45;63.63;10.57;50.52;17.6;18.0;53.3;52.95;33.55;77.63;66.15;13.37;15.92;78.47;17.4;22.05;9.57;61.27;32.62;11.82;14.3;49.72;58.22;72.72;0.0;37.85;40.92;97.17;6.3;15.42;86.5;23.47;14.5;29.2;72.13;72.15;4.65;36.92;69.17;16.07;27.65;58.92;20.68;8.53;20.03;16.52;14.7;57.4;51.18;50.75;8.62;36.17
Pizzighettone, Giuseppe Garibaldi, 18;41.45;15.8;31.53;32.6;36.97;26.6;42.3;25.95;36.17;62.17;14.08;16.77;23.27;42.9;30.85;26.37;34.17;24.08;31.57;36.33;12.38;55.3;44.28;26.8;23.57;56.82;34.38;16.73;31.8;46.0;15.82;33.33;37.97;28.22;38.98;50.75;34.37;0.17;48.27;77.43;33.8;22.22;64.73;44.93;27.23;13.05;51.37;51.6;37.33;13.22;48.67;31.22;18.7;35.98;39.47;38.35;20.8;34.15;47.22;36.9;27.1;30.1;38.6;16.45
Manerbio, INSURREZIONE NAZIONALE;54.42;37.72;52.98;27.25;40.3;49.0;45.93;27.0;39.9;61.23;49.7;43.8;33.12;37.75;45.05;29.35;54.3;38.27;26.4;28.5;42.75;51.03;37.0;37.32;43.12;53.37;53.22;50.47;39.18;28.38;36.38;48.27;50.63;27.8;27.02;43.0;40.03;48.57;0.0;73.12;39.32;44.6;59.03;56.85;32.3;43.27;47.03;47.27;40.6;36.98;43.35;27.72;34.3;31.68;57.27;44.88;40.35;52.33;51.1;29.3;34.32;25.77;44.48;32.55
Viadana, A. Manzoni, 2;102.38;68.72;94.48;46.75;98.37;92.08;100.27;67.28;97.57;18.12;74.37;77.72;60.42;32.8;91.93;55.15;90.92;83.13;51.23;51.5;68.32;25.73;44.12;83.98;82.03;22.43;96.07;80.25;92.0;49.53;68.72;97.63;98.98;54.95;47.18;34.68;95.68;76.13;74.72;0.42;92.0;87.93;17.18;105.23;84.37;73.25;26.82;33.1;95.68;64.52;28.07;87.7;76.58;40.45;103.7;101.87;79.68;98.37;108.72;48.87;58.28;47.5;98.43;60.05
Ricengo, Guglielmo Marconi;21.3;31.82;19.87;51.43;9.28;15.63;12.52;31.65;6.87;80.07;36.25;18.73;40.2;61.75;13.28;45.37;20.95;14.75;51.48;50.82;29.98;73.03;62.22;9.97;12.35;74.58;20.25;18.73;5.9;60.02;31.48;14.83;17.2;45.87;56.22;67.07;6.53;34.63;39.77;96.25;0.22;12.2;81.02;26.27;11.03;25.82;70.25;68.25;7.53;33.15;67.47;15.32;25.17;55.9;23.53;11.38;16.82;19.57;17.63;55.85;46.38;46.88;11.3;33.15
Ripalta Cremasca, Roma, 5;19.07;25.77;11.67;44.55;15.93;4.13;19.3;34.22;15.23;77.53;24.23;12.4;35.32;54.87;7.98;40.63;14.65;14.23;43.17;49.6;23.78;67.8;55.95;8.98;7.62;68.32;12.57;6.5;10.75;56.48;25.83;11.2;15.52;39.57;51.85;60.82;12.72;23.85;45.32;89.42;12.75;0.0;76.73;22.67;12.75;19.87;62.02;63.65;16.47;26.93;59.08;21.17;23.65;47.4;17.32;16.37;16.7;11.88;25.0;47.27;41.43;42.13;15.98;26.38
Rivarolo del Re ed Uniti, Giovanni XXIII, 5;90.47;57.1;82.47;34.85;85.15;78.9;90.5;53.68;82.45;13.23;67.53;64.55;48.25;20.95;78.77;43.07;85.9;69.97;38.07;38.33;56.22;16.57;28.38;71.88;72.02;13.27;85.77;68.15;78.83;34.82;57.1;82.43;88.88;42.15;35.22;19.25;82.52;64.03;60.9;18.17;81.78;74.77;0.68;95.68;72.27;61.85;12.08;23.22;85.52;52.42;15.28;74.48;62.97;28.03;88.48;88.73;65.98;85.17;93.37;36.22;46.2;35.43;88.78;47.98
Rivolta d'Adda, Stefano Renzi, 5;8.1;47.18;20.05;65.97;25.68;20.53;16.02;52.25;23.77;98.9;41.73;32.82;56.72;76.28;24.83;61.95;14.15;33.68;63.2;68.02;45.67;86.62;79.45;28.45;27.2;88.23;16.42;28.98;29.72;69.13;45.42;15.38;12.0;62.53;67.32;80.67;22.87;46.63;53.18;101.4;25.85;22.43;98.05;0.0;31.97;41.2;81.83;84.97;23.55;49.35;81.98;36.53;43.78;67.32;9.95;16.9;35.55;16.17;12.58;70.35;60.53;60.73;19.27;45.7
Romanengo, Guaiarini, 14;28.18;22.73;20.82;43.58;14.95;16.8;20.02;22.67;14.5;77.55;33.57;11.48;31.42;53.68;13.52;40.53;23.68;5.9;43.47;42.77;24.18;66.97;58.22;5.03;11.03;68.47;21.73;18.18;6.83;51.4;22.73;20.38;24.95;39.32;46.8;62.92;14.3;28.75;32.55;87.38;11.05;13.05;76.72;31.32;0.0;19.6;63.43;63.63;15.65;27.88;59.18;8.4;16.52;49.08;26.4;19.5;8.18;21.08;25.73;46.58;41.17;42.08;19.57;26.2
San Bassano, Mons. Frosi;37.67;12.32;28.38;31.15;30.0;23.9;34.9;21.63;29.1;64.13;23.37;10.05;21.92;40.52;23.55;26.12;32.52;15.25;30.22;36.18;10.73;53.8;42.97;18.03;16.47;56.22;30.48;14.22;24.83;44.83;12.23;28.98;33.47;27.7;37.77;47.83;27.1;13.33;44.43;76.05;26.5;20.05;63.33;40.27;18.3;0.0;49.02;49.03;30.37;13.95;47.27;23.52;10.85;34.38;34.98;33.08;12.95;30.03;40.4;34.28;27.15;27.67;32.98;12.95
San Giovanni in Croce, Feudatari, 25 A;80.57;43.95;69.75;21.98;70.67;65.03;75.5;42.17;69.68;14.53;54.33;51.15;37.03;8.23;67.03;31.72;76.32;56.57;25.5;26.58;43.58;10.43;16.78;59.27;57.32;9.17;74.07;55.52;64.62;24.3;43.98;69.78;74.25;30.02;22.25;8.78;68.33;51.4;48.82;27.63;67.27;60.75;13.48;80.92;61.48;50.12;0.37;10.57;73.72;39.8;2.63;61.83;51.67;15.73;75.83;76.95;53.37;70.42;83.8;23.57;33.57;23.83;77.0;35.33
Scandolara Ravara, Italia;78.57;45.1;71.48;22.72;73.17;65.98;76.47;42.12;70.62;23.08;55.22;52.1;36.58;8.37;65.55;31.38;76.1;57.5;26.47;27.92;44.52;11.07;26.0;60.73;58.23;14.67;73.78;56.45;66.82;28.8;44.9;70.65;75.15;30.63;23.73;18.7;70.47;52.32;47.52;34.97;69.82;61.63;23.77;83.7;61.23;49.85;10.75;0.0;71.87;40.22;7.77;62.53;51.25;16.63;78.47;76.63;54.27;73.13;83.48;24.73;33.35;23.57;74.6;36.1
Sergnano, IV Novembre,  10;19.68;34.33;21.02;56.1;8.65;19.27;10.62;34.28;4.87;84.47;41.05;23.45;42.93;66.42;15.05;50.0;19.15;19.4;56.17;54.63;34.62;77.42;66.67;14.68;17.03;79.0;18.72;23.25;11.15;63.15;34.07;13.12;15.52;50.67;58.82;74.4;4.92;38.98;41.58;100.92;7.9;16.72;85.28;22.27;15.93;31.27;74.87;72.75;0.0;39.5;69.63;17.83;29.07;58.12;22.12;9.85;21.53;17.9;15.85;59.07;52.73;51.48;9.85;36.43
Sesto ed Uniti, Roma, 4;45.25;10.48;37.18;21.85;38.25;32.63;44.07;17.12;37.2;52.4;22.73;18.23;12.8;32.23;31.98;17.7;41.73;23.52;21.95;26.95;5.63;45.12;34.33;26.52;24.52;46.87;39.47;23.08;31.6;35.57;10.5;37.25;42.67;18.43;29.17;40.23;35.47;14.65;39.35;65.6;34.52;27.77;53.23;48.28;26.5;15.17;40.52;40.5;39.18;0.2;37.95;30.27;16.82;25.85;42.98;41.0;19.9;38.9;49.25;26.33;18.03;19.38;42.52;4.73
Solarolo Rainerio, Giuseppina, 81;77.98;42.53;68.92;19.37;68.4;62.38;75.95;38.43;69.8;15.1;53.05;50.02;33.08;5.58;64.18;28.97;70.9;54.0;23.57;23.83;42.08;8.73;20.13;56.68;57.45;9.75;71.23;54.75;64.28;25.7;42.53;69.87;71.95;27.3;19.52;11.05;67.92;48.97;46.37;28.28;65.05;58.2;15.78;78.75;57.2;47.3;2.65;7.67;70.9;37.65;0.25;59.4;47.9;13.53;75.97;71.62;50.92;68.23;80.98;21.15;32.63;20.37;74.18;32.92
Soncino, Dante Alighieri, 23;30.92;21.62;29.35;43.67;16.27;25.2;21.87;21.83;15.92;74.1;42.0;19.85;30.45;53.73;21.97;40.17;30.15;14.52;43.63;42.13;25.93;66.88;57.15;13.62;19.35;68.62;30.3;26.87;15.43;50.73;21.62;24.3;26.68;39.12;47.4;62.88;16.18;32.68;29.07;87.42;15.35;21.67;75.77;35.72;8.53;24.73;62.43;62.32;17.32;29.75;59.2;0.17;17.1;47.68;33.32;20.97;16.68;29.37;27.12;46.13;40.8;41.08;20.98;29.03
Soresina, Giacomo Matteotti, 6;39.7;7.82;32.33;32.17;28.45;27.75;33.57;11.88;27.72;66.22;29.28;11.53;20.62;43.6;26.18;29.27;35.22;12.73;32.22;31.02;12.07;55.6;46.77;15.62;19.2;57.27;33.37;18.58;20.8;40.62;7.83;31.8;36.3;29.13;37.33;51.6;27.92;19.3;36.0;76.12;25.97;23.65;65.4;43.0;15.77;11.28;52.07;52.32;29.07;15.87;49.33;15.95;0.0;37.77;37.75;32.82;8.67;32.42;38.82;36.15;29.97;29.68;32.53;14.65
Sospiro, Tosi;63.78;30.68;57.07;7.98;58.75;50.95;61.7;27.7;57.95;30.98;40.72;38.15;22.37;8.5;52.32;17.1;61.68;42.58;13.77;17.0;29.6;21.2;18.65;46.35;43.52;23.03;59.38;41.53;52.43;19.08;29.98;58.02;62.5;16.52;13.45;23.52;54.58;37.67;32.72;42.82;55.42;48.33;30.1;69.3;45.63;35.43;16.82;17.02;59.03;25.85;14.03;48.12;36.98;0.0;64.1;62.27;40.1;58.75;67.18;14.32;20.02;8.92;62.32;21.38
Spino d'Adda, Circonvallazione, 13;13.18;41.33;15.72;59.73;28.8;16.42;23.62;49.47;26.37;90.43;34.15;28.57;51.67;71.23;20.67;56.97;10.68;29.02;61.02;66.03;40.67;84.13;72.47;23.8;22.27;84.85;12.27;25.03;25.88;74.58;41.37;11.92;10.45;56.18;68.18;77.35;21.7;42.05;59.7;97.57;24.62;18.38;91.28;10.68;27.32;35.58;79.75;78.52;23.13;44.33;76.97;34.43;38.6;63.9;0.57;15.37;31.3;12.08;20.6;63.73;57.65;58.4;17.85;42.65
Trescore Cremasco, Vittorio Veneto, 1;12.72;38.2;13.23;58.33;15.63;14.9;9.82;38.18;12.18;88.27;37.18;26.47;46.88;68.65;12.48;53.33;11.18;23.12;58.42;58.33;38.07;81.07;71.92;18.45;20.12;82.7;10.57;22.37;14.87;66.87;38.2;5.17;7.68;54.03;63.58;76.65;8.55;39.93;45.35;103.15;11.47;15.83;89.1;16.58;19.53;33.45;76.38;76.38;9.97;41.27;74.37;21.7;32.87;61.83;14.22;0.0;25.4;10.05;12.05;61.62;55.07;55.08;4.47;40.05
Trigolo, Roma, 26;32.7;15.25;24.72;36.92;21.48;20.75;26.32;18.0;20.67;69.9;31.27;11.15;26.77;45.97;18.12;32.97;28.13;4.3;37.0;37.13;16.28;60.13;48.45;7.4;13.4;60.85;25.87;17.8;13.65;46.32;15.25;24.5;29.02;33.5;43.73;55.23;20.63;21.23;40.4;79.72;17.97;17.15;67.15;35.2;8.08;13.33;55.72;54.57;21.8;20.32;52.95;16.6;8.85;41.42;30.05;25.68;0.0;24.75;31.87;41.42;32.85;34.38;25.73;18.63
Vaiano Cremasco,  Gloriosi Caduti, 3;13.83;35.38;4.3;54.75;24.52;10.25;18.53;43.35;20.5;84.42;32.43;22.38;45.5;64.0;14.57;49.55;9.35;22.85;54.83;58.37;33.92;77.27;68.33;17.77;16.17;79.83;3.23;16.92;19.8;68.4;35.4;5.23;9.77;51.33;60.95;73.07;17.13;34.77;53.87;99.57;19.8;12.27;85.27;17.1;21.03;29.55;72.48;72.48;18.33;38.15;69.58;29.7;32.43;57.87;11.83;10.45;24.93;0.0;20.35;59.22;51.55;52.22;12.8;35.85
Vailate, Dante Alighieri, 7;6.4;44.92;22.17;65.4;21.47;22.53;7.22;44.97;19.72;98.38;46.95;32.97;53.88;74.73;19.42;61.32;16.95;30.12;65.48;65.07;45.13;88.02;76.83;25.23;26.98;89.63;19.1;29.17;21.67;66.43;44.92;13.7;13.18;61.98;65.5;83.73;15.57;46.85;52.35;108.52;18.93;22.63;97.52;13.38;26.57;40.58;84.23;83.25;16.77;48.82;80.3;28.3;39.88;68.63;19.05;9.87;32.15;18.58;0.0;69.53;61.42;62.88;10.5;46.57
Vescovato, Roma, 44;66.12;28.85;56.83;16.07;58.52;49.93;60.78;25.88;54.97;38.67;39.58;37.98;20.52;16.05;49.9;17.05;58.58;41.6;8.23;7.28;28.47;29.33;13.9;44.28;45.42;30.02;56.65;40.48;49.57;11.25;28.85;57.72;59.58;11.97;4.23;18.78;55.9;37.57;30.3;50.55;52.57;48.17;37.77;66.32;44.65;35.28;24.5;23.93;58.85;25.65;21.77;46.63;36.75;12.9;61.15;62.22;38.28;55.75;68.93;0.0;21.93;14.68;62.22;20.2
Cremona, Felice Cavallotti, 2;57.95;21.38;48.62;10.9;50.33;44.08;55.68;19.83;47.52;44.0;35.0;28.68;14.48;23.62;42.43;7.43;51.08;35.13;17.15;22.22;21.05;36.32;30.25;36.87;37.18;38.55;51.0;34.48;43.98;30.82;21.43;47.6;52.1;14.1;24.32;35.38;47.65;26.83;34.32;58.22;47.0;38.17;45.52;58.82;38.42;25.98;32.15;32.43;48.83;17.05;29.45;41.1;27.75;17.92;53.63;53.95;30.82;50.32;60.72;21.57;0.17;10.9;53.95;13.33
Cremona, Palosca n. 2;57.37;23.15;49.78;4.85;50.28;44.23;56.85;20.45;49.3;37.78;33.37;30.43;15.1;14.97;44.22;9.85;52.92;36.3;10.32;17.85;22.78;28.28;23.67;39.08;36.87;29.85;50.97;35.63;43.92;23.78;23.17;49.4;53.9;9.48;17.83;27.93;47.9;30.53;26.53;49.67;46.87;39.9;36.13;62.17;39.58;28.22;23.38;23.55;50.6;18.58;20.88;40.93;29.68;9.35;55.45;55.15;32.6;50.05;61.87;14.23;13.17;0.0;55.15;14.5
Casaletto Vaprio, Maggiore, 7;12.68;38.35;15.9;58.77;15.82;15.55;8.38;38.13;12.18;91.75;40.28;26.3;47.05;67.62;12.78;54.62;13.73;23.45;57.12;58.47;38.45;81.98;72.35;18.52;19.97;82.5;13.03;22.7;15.03;66.42;38.38;7.58;10.02;55.35;63.78;77.1;8.57;39.83;45.38;103.6;11.52;16.03;88.92;18.98;19.63;33.93;77.6;76.15;10.02;42.18;74.82;21.35;33.58;63.28;16.47;4.3;25.52;12.43;11.32;61.05;55.8;56.27;0.0;39.45
Cremona, Sesto 39;44.6;8.92;34.5;17.75;36.98;30.73;42.33;15.3;34.78;48.25;26.7;16.4;9.02;28.58;29.65;14.33;38.27;21.78;17.67;22.33;8.22;41.27;30.4;24.03;22.3;43.35;36.33;20.23;29.3;31.92;8.92;34.77;40.82;14.25;25.27;35.35;34.3;17.98;35.7;61.68;33.65;26.58;49.18;47.77;24.4;13.7;37.08;37.33;36.03;4.88;34.3;28.62;14.95;22.03;42.35;40.57;18.07;36.97;45.67;21.87;14.82;15.73;38.55;0.0
