;Agnadello, Marconi, 6;Annicco, Giuseppe Garibaldi, 6;Bagnolo Cremasco, Roma, 3;Bonemerse, Roma, 25;Camisano, Trieste, 57;Capergnanica, XI febbraio, 7;Capralba, Piave, 2;Casalbuttano ed Uniti, Jacini, 23;Casale Cremasco-Vidolasco, Roma, 56;Casalmaggiore, Guglielmo Marconi, 8;Casalpusterlengo, Pusterla 7;Castelleone, Roma, 67;Castelverde, Ubaldo Ferrari, 15;Cingia de' Botti, Giuseppina, 79;Crema, Civerchi, 9;Crema, Dante Alighieri, 49;Cremona, Ugolani Dati, 4;Dovera, Oldrini 2;Fiesco, Giuseppe Parini, 10;Gadesco-Pieve Delmona, Giovanni Lonati 9;Grontardo, Roma, 16;Grumello Cremonese ed Uniti, Roma, 2;Gussola, Comaschi, 1;Isola Dovarese, Giacomo Matteotti, 1;Izano, Gerardo da Izano, 4/C;Madignano, Portici, 4;Martignana di Po, Libertà, 64;Monte Cremasco, Roma, 12;Montodine,  XXV Aprile, 10;Offanengo, Clavelli Martini, 5;Ostiano, Mazzini, 1;Paderno Ponchielli, Municipio, 3;Palazzo Pignano, Marco Polo, 31;Pandino, Castello, 15;Persico Dosimo, Albert ,7;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Piadena, Platina, 40;Pianengo, Nenni;Pizzighettone, Giuseppe Garibaldi, 18;Manerbio, INSURREZIONE NAZIONALE;Viadana, A. Manzoni, 2;Ricengo, Guglielmo Marconi;Ripalta Cremasca, Roma, 5;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;Rivolta d'Adda, Stefano Renzi, 5;Romanengo, Guaiarini, 14;San Bassano, Mons. Frosi;San Giovanni in Croce, Feudatari, 25 A;Scandolara Ravara, Italia;Sergnano, IV Novembre,  10;Sesto ed Uniti, Roma, 4;Solarolo Rainerio, Giuseppina, 81;Soncino, Dante Alighieri, 23;Soresina, Giacomo Matteotti, 6;Sospiro, Tosi;Spino d'Adda, Circonvallazione, 13;Trescore Cremasco, Vittorio Veneto, 1;Trigolo, Roma, 26;Vaiano Cremasco,  Gloriosi Caduti, 3;Vailate, Dante Alighieri, 7;Vescovato, Roma, 44;Cremona, Felice Cavallotti, 2;Cremona, Palosca n. 2;Casaletto Vaprio, Maggiore, 7;Cremona, Sesto 39
Spino d'Adda, Circonvallazione, 13;390.0;40.5;274.5;60.0;36.0;58.5;108.0;78.0;6.0;120.0;0.0;344.4;12.0;108.0;2567.6;0;5.5;150.0;52.0;22.0;66.0;20.0;108.0;108.0;4.0;276.0;12.0;603.0;189.0;975.0;12.6;4.5;99.0;551.2;187.0;172.2;210.0;288.0;49.5;1501.5;0.0;276.0;256.5;16.0;431.6;96.0;0.0;170.0;0.0;144.0;0.0;75.6;630.0;553.5;435.0;249.6;135.0;64.0;85.5;0.0;124.8;30.0;25.0;4.5;164.5
Trescore Cremasco, Vittorio Veneto, 1;75.0;21.0;77.0;32.0;5.0;63.0;85.0;20.0;0.0;24.0;0.0;105.0;0.0;6.0;1017.6;0;22.5;20.0;9.0;13.5;0.0;0.0;25.0;33.0;15.0;102.0;0.0;77.0;56.0;268.0;0.0;0.0;91.0;198.0;58.5;30.0;36.0;100.0;21.0;805.5;0.0;20.0;203.0;3.0;150.0;15.0;0.0;40.0;0.0;75.0;0.0;20.0;100.0;91.0;96.0;42.0;224.0;18.0;28.0;0.0;48.0;12.0;0.0;0.0;138.0
Trigolo, Roma, 26;32.0;4.0;16.0;9.0;2.0;12.0;16.0;2.0;0.0;18.0;0.0;82.5;2.0;14.0;350.0;0;3.0;8.0;28.0;1.5;2.0;14.0;0.0;28.0;21.0;112.0;2.0;68.0;44.0;162.0;0.0;4.0;16.0;36.0;13.5;66.0;49.5;12.0;8.0;49.5;0.0;8.0;48.0;7.0;15.0;6.0;0.0;0.0;0.0;8.0;7.0;0.0;81.0;84.0;11.0;12.0;8.0;126.0;4.0;0.0;3.0;0.0;0.0;0.0;21.0
Vaiano Cremasco,  Gloriosi Caduti, 3;25.0;7.0;42.0;24.0;0.0;35.0;60.0;5.0;0.0;16.0;0.0;70.0;0.0;15.0;604.8;0;13.5;20.0;0.0;4.5;0.0;3.0;20.0;9.0;0.0;36.0;5.0;105.0;91.0;192.0;0.0;0.0;7.0;138.0;22.5;25.0;12.0;45.0;7.0;472.5;0.0;45.0;70.0;3.0;42.0;20.0;0.0;24.0;0.0;20.0;0.0;25.0;100.0;28.0;32.0;30.0;35.0;6.0;196.0;0.0;36.0;4.0;0.0;7.0;60.0
Vailate, Dante Alighieri, 7;140.0;0.0;14.0;12.0;21.0;2.0;56.0;7.0;0.0;24.0;0.0;84.0;14.0;20.0;915.0;0;6.5;63.0;35.0;6.5;0.0;15.0;14.0;55.0;5.0;55.0;7.0;26.0;6.0;348.0;0.0;0.0;16.0;99.0;78.0;10.5;54.0;84.0;22.0;1215.5;0.0;49.0;34.0;5.0;58.5;21.0;0.0;60.0;0.0;42.0;5.0;14.0;108.0;132.0;108.0;54.0;28.0;25.0;20.0;336.0;40.5;6.0;0.0;0.0;9.0
Vescovato, Roma, 44;144.0;4.5;117.0;105.0;48.0;58.5;114.0;42.0;0.0;140.0;0.0;172.2;30.0;64.0;1563.1;0;5.5;66.0;16.0;22.0;54.0;8.0;84.0;64.0;0.0;220.0;12.0;162.0;99.0;435.0;16.8;0.0;49.5;436.8;137.5;159.6;100.0;156.0;63.0;1402.5;0.0;174.0;90.0;20.0;234.0;102.0;0.0;120.0;0.0;66.0;4.0;58.8;405.0;252.0;205.0;182.0;58.5;8.0;18.0;6.0;176.8;15.0;0.0;0.0;87.5
Cremona, Felice Cavallotti, 2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.0;0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;3.5;0.0;0.0;6.0;4.0;0.0;4.5;0.0;0.0;0.0;36.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;14.0;2.0;0.0;6.0;3.0;0.0;0.0;21.0;7.0;0.0;2.0
Cremona, Palosca n. 2;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.8;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.5;0.0;0.0;7.0;4.0;0.0;0.0;0.0;0.0;0.0;7.0;7.0;0.0;0.0
Casaletto Vaprio, Maggiore, 7;25.0;7.0;42.0;0.0;5.0;7.0;25.0;0.0;0.0;8.0;0.0;35.0;0.0;6.0;244.8;0;9.0;5.0;12.0;0.0;0.0;0.0;5.0;6.0;6.0;24.0;0.0;28.0;21.0;36.0;0.0;0.0;14.0;30.0;18.0;10.0;8.0;35.0;7.0;130.5;0.0;20.0;42.0;0.0;18.0;0.0;0.0;12.0;0.0;5.0;0.0;5.0;16.0;14.0;12.0;24.0;35.0;0.0;7.0;0.0;24.0;0.0;0.0;77.0;6.0
Cremona, Sesto 39;18.0;1.0;2.0;20.0;0.0;4.0;36.0;0.0;0.0;20.0;0.0;7.5;0.0;16.0;404.0;0;5.5;0.0;24.0;5.5;12.0;8.0;6.0;16.0;8.0;28.0;0.0;8.0;1.0;95.0;0.0;0.0;0.0;24.5;33.0;5.0;30.0;12.0;9.0;852.5;0.0;18.0;5.0;0.0;38.5;12.0;0.0;40.0;0.0;42.0;0.0;30.0;95.0;45.0;40.0;7.0;4.0;0.0;1.0;0.0;7.0;5.0;0.0;0.0;364.0
