origin;destination;num_orders
CREMA;SPINO D'ADDA;147
CASTELLEONE;RIPALTA CREMASCA;146
CASALMAGGIORE;SAN GIOVANNI IN CROCE;145
CASTELLEONE;RIVOLTA D'ADDA;145
PESCAROLO ED UNITI;OFFANENGO;142
BAGNOLO CREMASCO;SONCINO;141
PALAZZO PIGNANO;OFFANENGO;138
SERGNANO;SORESINA;138
OFFANENGO;Agnadello;138
MONTE CREMASCO;CREMA;137
PERSICO DOSIMO;CREMA;136
GRONTARDO;CREMA;136
RIVOLTA D'ADDA;SOSPIRO;135
SPINO D'ADDA;MONTE CREMASCO;134
PIADENA DRIZZONA;SONCINO;134
BRESCIA;MARTIGNANA DI PO;133
BRESCIA;GADESCO PIEVE DELMONA;130
PANDINO;OFFANENGO;130
CASTELLEONE;CREMONA - CDA;130
RIPALTA CREMASCA;BRESCIA;130
SOSPIRO;CREMA;129
BRESCIA;GRUMELLO CREMONESE;129
UNIONE MUNICIPIA;BRESCIA;129
CAPRALBA;BRESCIA;127
CASTELLEONE;PIANENGO;127
GUSSOLA;CREMA;126
VAIANO CREMASCO;CREMA;126
BRESCIA;CAMISANO;126
RICENGO;BRESCIA;126
SPINO D'ADDA;SONCINO;126
SERGNANO;MADIGNANO;126
CAPERGNANICA;CREMA;126
CASTELVERDE;BRESCIA;125
CREMA;TRESCORE CREMASCO;125
CASTELLEONE;PERSICO DOSIMO;125
CASTELLEONE;SPINO D'ADDA;124
OSTIANO;CREMA;124
SPINO D'ADDA;SORESINA;123
PIADENA DRIZZONA;PANDINO;122
CINGIA DE' BOTTI;BRESCIA;122
CASTELLEONE;PIADENA DRIZZONA;120
CREMA;PIADENA DRIZZONA;120
CAPRALBA;OFFANENGO;120
CASTELLEONE;MONTODINE;120
OFFANENGO;PESCAROLO ED UNITI;120
CREMA;RICENGO;120
OFFANENGO;PERSICO DOSIMO;120
CASTELLEONE;Agnadello;119
CASTELLEONE;PESCAROLO ED UNITI;118
OFFANENGO;CREMONA - CDA;118
OFFANENGO;RIPALTA CREMASCA;118
CREMA;BAGNOLO CREMASCO;118
ISOLA DOVARESE;CREMA;117
BAGNOLO CREMASCO;MADIGNANO;117
GADESCO PIEVE DELMONA;OFFANENGO;117
CASTELVERDE;CREMA;117
CASTELLEONE;RICENGO;117
OFFANENGO;SPINO D'ADDA;116
RIVOLTA D'ADDA;PIADENA DRIZZONA;116
PIZZIGHETTONE;OFFANENGO;116
SONCINO;SONCINO;116
ROMANENGO;BRESCIA;115
RIPALTA CREMASCA;CREMA;114
RIVOLTA D'ADDA;SPINO D'ADDA;114
RIVOLTA D'ADDA;BAGNOLO CREMASCO;113
SORESINA;OFFANENGO;111
CREMA;PERSICO DOSIMO;110
GADESCO PIEVE DELMONA;GADESCO PIEVE DELMONA;110
RIVOLTA D'ADDA;MONTE CREMASCO;110
PIADENA DRIZZONA;SORESINA;110
