origin;destination;num_orders
PIZZIGHETTONE;MONTE CREMASCO;32
TRESCORE CREMASCO;TRESCORE CREMASCO;32
GRUMELLO CREMONESE;CREMA;32
BAGNOLO CREMASCO;GUSSOLA;32
Agnadello;SONCINO;32
RIPALTA CREMASCA;OFFANENGO;32
MARTIGNANA DI PO;MADIGNANO;32
GADESCO PIEVE DELMONA;SOSPIRO;32
RICENGO;MADIGNANO;31
MADIGNANO;RIPALTA CREMASCA;31
MONTE CREMASCO;PANDINO;31
SERGNANO;UNIONE MUNICIPIA;31
PIANENGO;SORESINA;31
Agnadello;RIPALTA CREMASCA;31
SERGNANO;ROMANENGO;31
BRESCIA;GENIVOLTA;31
BAGNOLO CREMASCO;CINGIA DE' BOTTI;31
CASALMAGGIORE;ROMANENGO;31
CINGIA DE' BOTTI;SONCINO;31
PIZZIGHETTONE;RIVOLTA D'ADDA;31
MARTIGNANA DI PO;SONCINO;31
BRESCIA;UFF. BIB. CREMONA;31
PANDINO;PERSICO DOSIMO;31
PIADENA DRIZZONA;DOVERA;30
PIZZIGHETTONE;PESCAROLO ED UNITI;30
PIANENGO;RIPALTA CREMASCA;30
PIZZIGHETTONE;PIANENGO;30
DOVERA;DOVERA;30
PESCAROLO ED UNITI;RICENGO;30
PIADENA DRIZZONA;MONTODINE;30
RICENGO;SONCINO;30
SOLAROLO RAINERIO;Agnadello;30
PESCAROLO ED UNITI;RIPALTA CREMASCA;30
ROMANENGO;SORESINA;30
PIADENA DRIZZONA;PIZZIGHETTONE;30
SONCINO;CASTELLEONE;30
RICENGO;PANDINO;30
GADESCO PIEVE DELMONA;RIPALTA CREMASCA;30
UNIONE MUNICIPIA;MADIGNANO;30
BAGNOLO CREMASCO;BONEMERSE;30
SPINO D'ADDA;TRESCORE CREMASCO;30
CASALMAGGIORE;CASALBUTTANO;30
GADESCO PIEVE DELMONA;RICENGO;30
CAPRALBA;RICENGO;30
ROMANENGO;MADIGNANO;30
SORESINA;MONTE CREMASCO;30
SOLAROLO RAINERIO;SPINO D'ADDA;29
GADESCO PIEVE DELMONA;BAGNOLO CREMASCO;29
OFFANENGO;CREMONA. LA PICCOLA BIBLIOTECA;29
PERSICO DOSIMO;SONCINO;29
CAPRALBA;CAPRALBA;29
BAGNOLO CREMASCO;VESCOVATO;29
VESCOVATO;RICENGO;29
PIZZIGHETTONE;PIADENA DRIZZONA;29
GADESCO PIEVE DELMONA;PIADENA DRIZZONA;29
SOLAROLO RAINERIO;CREMONA - CDA;29
SOLAROLO RAINERIO;SOLAROLO RAINERIO;29
SORESINA;SOSPIRO;29
MADIGNANO;RIVOLTA D'ADDA;29
PIZZIGHETTONE;CREMONA - CDA;29
CASALETTO VAPRIO;BRESCIA;29
PANDINO;PESCAROLO ED UNITI;29
TRESCORE CREMASCO;RIPALTA CREMASCA;29
OFFANENGO;TRIGOLO;29
MADIGNANO;CASTELLEONE;29
RIPALTA CREMASCA;TRESCORE CREMASCO;29
PIZZIGHETTONE;RIPALTA CREMASCA;28
PIADENA DRIZZONA;SOLAROLO RAINERIO;28
GADESCO PIEVE DELMONA;PIZZIGHETTONE;28
CASALMAGGIORE;CAPERGNANICA;28
VAIANO CREMASCO;VAIANO CREMASCO;28
PANDINO;SPINO D'ADDA;28
SORESINA;FIESCO;28
PANDINO;RIVOLTA D'ADDA;28
VESCOVATO;CASALMAGGIORE;28
GADESCO PIEVE DELMONA;PERSICO DOSIMO;28
SPINO D'ADDA;CENTRO FUMETTO A. PAZIENZA;28
CAPRALBA;SPINO D'ADDA;28
CASALMAGGIORE;GUSSOLA;28
SONCINO;PIANENGO;28
SORESINA;PIANENGO;28
SAN GIOVANNI IN CROCE;TRESCORE CREMASCO;28
FIESCO;PANDINO;28
SORESINA;CASALBUTTANO;28
PANDINO;MONTODINE;28
BAGNOLO CREMASCO;SOLAROLO RAINERIO;28
SOLAROLO RAINERIO;PIZZIGHETTONE;28
SOLAROLO RAINERIO;RIVOLTA D'ADDA;28
GADESCO PIEVE DELMONA;Agnadello;27
SPINO D'ADDA;ISOLA DOVARESE;27
PALAZZO PIGNANO;PESCAROLO ED UNITI;27
CINGIA DE' BOTTI;SORESINA;27
PIADENA DRIZZONA;BONEMERSE;27
PIADENA DRIZZONA;SERGNANO;27
BRESCIA;CALVATONE;27
MONTE CREMASCO;SORESINA;27
UNIONE MUNICIPIA;SONCINO;27
SAN GIOVANNI IN CROCE;CAPRALBA;27
UNIONE MUNICIPIA;SAN GIOVANNI IN CROCE;27
SAN GIOVANNI IN CROCE;BAGNOLO CREMASCO;27
DOVERA;RIPALTA CREMASCA;27
CASTELLEONE;CREMONA. LA PICCOLA BIBLIOTECA;27
ISOLA DOVARESE;SORESINA;27
SPINO D'ADDA;CINGIA DE' BOTTI;27
PANDINO;RIPALTA CREMASCA;27
BAGNOLO CREMASCO;FIESCO;27
SOLAROLO RAINERIO;PESCAROLO ED UNITI;27
BRESCIA;CASALETTO VAPRIO;27
PIADENA DRIZZONA;BAGNOLO CREMASCO;27
OFFANENGO;GRONTARDO;26
CASALMAGGIORE;FIESCO;26
PESCAROLO ED UNITI;PIADENA DRIZZONA;26
PERSICO DOSIMO;SAN GIOVANNI IN CROCE;26
CENTRO FUMETTO A. PAZIENZA;PANDINO;26
PIZZIGHETTONE;SPINO D'ADDA;26
VESCOVATO;BAGNOLO CREMASCO;26
SORESINA;SPINO D'ADDA;26
VESCOVATO;PIANENGO;26
SAN GIOVANNI IN CROCE;RIVOLTA D'ADDA;26
MADIGNANO;PESCAROLO ED UNITI;26
PIZZIGHETTONE;CAPRALBA;26
CASALE CREMASCO VIDOLASCO;CREMA;26
DOVERA;MADIGNANO;26
SAN GIOVANNI IN CROCE;PIADENA DRIZZONA;26
PANDINO;SAN GIOVANNI IN CROCE;26
TRESCORE CREMASCO;SORESINA;26
GUSSOLA;GUSSOLA;26
SAN GIOVANNI IN CROCE;Agnadello;26
MADIGNANO;Agnadello;26
Agnadello;PIANENGO;26
SONCINO;SPINO D'ADDA;26
SOLAROLO RAINERIO;CASALMAGGIORE;25
CINGIA DE' BOTTI;PANDINO;25
SOLAROLO RAINERIO;PIADENA DRIZZONA;25
TRESCORE CREMASCO;SONCINO;25
PALAZZO PIGNANO;PIADENA DRIZZONA;25
MARTIGNANA DI PO;RIPALTA CREMASCA;25
VESCOVATO;CREMONA - CDA;25
SPINO D'ADDA;DOVERA;25
VESCOVATO;PERSICO DOSIMO;25
CAPERGNANICA;SONCINO;25
SOLAROLO RAINERIO;ROMANENGO;25
SERGNANO;PALAZZO PIGNANO;25
GRONTARDO;MADIGNANO;25
SONCINO;SERGNANO;25
TRESCORE CREMASCO;RIVOLTA D'ADDA;25
SOLAROLO RAINERIO;RICENGO;25
PADERNO PONCHIELLI;CREMA;25
CINGIA DE' BOTTI;SOLAROLO RAINERIO;25
SERGNANO;CAPERGNANICA;25
ISOLA DOVARESE;OFFANENGO;25
CASTELVERDE;SONCINO;25
PALAZZO PIGNANO;RICENGO;25
GADESCO PIEVE DELMONA;PESCAROLO ED UNITI;25
PESCAROLO ED UNITI;CREMONA - CDA;25
VAIANO CREMASCO;SONCINO;25
PANDINO;BAGNOLO CREMASCO;25
GUSSOLA;PANDINO;25
PANDINO;SERGNANO;25
MARTIGNANA DI PO;SORESINA;25
PANDINO;PIADENA DRIZZONA;24
UNIONE MUNICIPIA;RICENGO;24
PALAZZO PIGNANO;PERSICO DOSIMO;24
SPINO D'ADDA;VESCOVATO;24
VAILATE;SORESINA;24
SORESINA;SERGNANO;24
CASALMAGGIORE;VAIANO CREMASCO;24
GUSSOLA;SONCINO;24
CAPRALBA;ISOLA DOVARESE;24
OFFANENGO;CAMISANO;24
SONCINO;CREMONA - CDA;24
VAILATE;CASTELLEONE;24
GADESCO PIEVE DELMONA;BONEMERSE;24
VESCOVATO;Agnadello;24
CAPRALBA;DOVERA;24
SAN GIOVANNI IN CROCE;PIANENGO;24
PIADENA DRIZZONA;VESCOVATO;24
PIZZIGHETTONE;BAGNOLO CREMASCO;24
RICENGO;MONTE CREMASCO;24
UNIONE MUNICIPIA;SOSPIRO;24
PESCAROLO ED UNITI;CAPRALBA;24
MONTODINE;MONTODINE;24
SPINO D'ADDA;CASALMAGGIORE;24
PIANENGO;RICENGO;24
TRESCORE CREMASCO;SOSPIRO;24
VESCOVATO;SAN GIOVANNI IN CROCE;24
SPINO D'ADDA;SERGNANO;24
CREMA;GADESCO PIEVE DELMONA;24
PERSICO DOSIMO;SORESINA;24
FIESCO;SONCINO;24
CAPRALBA;SOLAROLO RAINERIO;24
Agnadello;SOSPIRO;24
PESCAROLO ED UNITI;SAN GIOVANNI IN CROCE;24
CAPRALBA;VESCOVATO;24
OSTIANO;PANDINO;24
CENTRO FUMETTO A. PAZIENZA;CENTRO FUMETTO A. PAZIENZA;23
DOVERA;CASTELLEONE;23
SORESINA;CREMONA - CDA;23
GADESCO PIEVE DELMONA;PIANENGO;23
SONCINO;PERSICO DOSIMO;23
DOVERA;SORESINA;23
CAPRALBA;CREMONA - CDA;23
PIADENA DRIZZONA;CAPERGNANICA;23
SAN GIOVANNI IN CROCE;ISOLA DOVARESE;23
BONEMERSE;PANDINO;23
MADIGNANO;PIANENGO;23
CENTRO FUMETTO A. PAZIENZA;SORESINA;23
MARTIGNANA DI PO;CASTELLEONE;23
SOLAROLO RAINERIO;VESCOVATO;23
PIANENGO;Agnadello;23
SOLAROLO RAINERIO;TRESCORE CREMASCO;23
PIZZIGHETTONE;SAN GIOVANNI IN CROCE;23
PIANENGO;TRESCORE CREMASCO;23
GADESCO PIEVE DELMONA;MONTODINE;23
PALAZZO PIGNANO;SAN GIOVANNI IN CROCE;23
PESCAROLO ED UNITI;CINGIA DE' BOTTI;23
BAGNOLO CREMASCO;ROMANENGO;23
TRESCORE CREMASCO;CREMONA - CDA;23
RICENGO;RIPALTA CREMASCA;23
PESCAROLO ED UNITI;RIVOLTA D'ADDA;23
SERGNANO;FIESCO;23
SONCINO;PESCAROLO ED UNITI;23
VAIANO CREMASCO;PANDINO;23
SOLAROLO RAINERIO;BONEMERSE;23
PALAZZO PIGNANO;TRESCORE CREMASCO;23
SERGNANO;GUSSOLA;23
CAPRALBA;SOSPIRO;22
MADIGNANO;CREMONA - CDA;22
MADIGNANO;FIESCO;22
SONCINO;CASALMAGGIORE;22
CINGIA DE' BOTTI;UNIONE MUNICIPIA;22
CREMA;CREMONA. LA PICCOLA BIBLIOTECA;22
SOLAROLO RAINERIO;SERGNANO;22
PANDINO;PIANENGO;22
MARTIGNANA DI PO;SAN GIOVANNI IN CROCE;22
SOLAROLO RAINERIO;BAGNOLO CREMASCO;22
ROMANENGO;MONTE CREMASCO;22
VESCOVATO;MONTODINE;22
PIZZIGHETTONE;RICENGO;22
PIANENGO;SOSPIRO;22
BRESCIA;CASALE CREMASCO VIDOLASCO;22
MADIGNANO;SAN GIOVANNI IN CROCE;22
PESCAROLO ED UNITI;ISOLA DOVARESE;22
CAPRALBA;PIANENGO;22
PIADENA DRIZZONA;FIESCO;22
GADESCO PIEVE DELMONA;SERGNANO;22
CREMA;PADERNO PONCHIELLI;22
ROMANENGO;RIVOLTA D'ADDA;22
SPINO D'ADDA;PALAZZO PIGNANO;22
UNIONE MUNICIPIA;UNIONE MUNICIPIA;22
VAILATE;PANDINO;22
RIVOLTA D'ADDA;GUSSOLA;22
PANDINO;VESCOVATO;22
PIADENA DRIZZONA;VAIANO CREMASCO;22
RICENGO;SORESINA;21
TRESCORE CREMASCO;CASTELLEONE;21
ROMANENGO;SERGNANO;21
MARTIGNANA DI PO;UNIONE MUNICIPIA;21
PIZZIGHETTONE;BONEMERSE;21
BRESCIA;Cremona - Anguissola (scolastica);21
SONCINO;BAGNOLO CREMASCO;21
MADIGNANO;CASALMAGGIORE;21
CASALMAGGIORE;PALAZZO PIGNANO;21
Agnadello;RICENGO;21
UNIONE MUNICIPIA;RIPALTA CREMASCA;21
PALAZZO PIGNANO;PIZZIGHETTONE;21
OFFANENGO;MARTIGNANA DI PO;21
GRONTARDO;RIPALTA CREMASCA;21
PESCAROLO ED UNITI;PIANENGO;21
PIZZIGHETTONE;PERSICO DOSIMO;21
SOLAROLO RAINERIO;DOVERA;21
ROMANENGO;Agnadello;21
MADIGNANO;PIADENA DRIZZONA;21
TRIGOLO;SORESINA;21
SAN GIOVANNI IN CROCE;DOVERA;21
RIVOLTA D'ADDA;GADESCO PIEVE DELMONA;21
VESCOVATO;BONEMERSE;21
SONCINO;SAN GIOVANNI IN CROCE;20
Agnadello;RIVOLTA D'ADDA;20
PESCAROLO ED UNITI;SPINO D'ADDA;20
SOLAROLO RAINERIO;CAPERGNANICA;20
PESCAROLO ED UNITI;CASALMAGGIORE;20
SERGNANO;CREMONA. LA PICCOLA BIBLIOTECA;20
PIADENA DRIZZONA;PALAZZO PIGNANO;20
RICENGO;RICENGO;20
DOVERA;CREMONA - CDA;20
GRONTARDO;SOSPIRO;20
SOLAROLO RAINERIO;ISOLA DOVARESE;20
BAGNOLO CREMASCO;CENTRO FUMETTO A. PAZIENZA;20
PESCAROLO ED UNITI;BAGNOLO CREMASCO;20
VESCOVATO;PIADENA DRIZZONA;20
PIANENGO;SAN GIOVANNI IN CROCE;20
PANDINO;CAPRALBA;20
PIADENA DRIZZONA;CENTRO FUMETTO A. PAZIENZA;20
SAN GIOVANNI IN CROCE;CINGIA DE' BOTTI;20
VESCOVATO;RIPALTA CREMASCA;20
CINGIA DE' BOTTI;CASTELLEONE;20
CENTRO FUMETTO A. PAZIENZA;RIPALTA CREMASCA;20
OFFANENGO;CASALBUTTANO;20
PESCAROLO ED UNITI;SERGNANO;20
PALAZZO PIGNANO;CREMONA - CDA;20
VAILATE;Agnadello;20
CAPRALBA;PERSICO DOSIMO;20
SAN GIOVANNI IN CROCE;UNIONE MUNICIPIA;20
SONCINO;TRESCORE CREMASCO;20
CINGIA DE' BOTTI;MONTE CREMASCO;20
BAGNOLO CREMASCO;TRIGOLO;20
SAN GIOVANNI IN CROCE;RICENGO;20
SORESINA;BAGNOLO CREMASCO;20
PESCAROLO ED UNITI;BONEMERSE;20
GADESCO PIEVE DELMONA;CINGIA DE' BOTTI;20
TRESCORE CREMASCO;PIANENGO;20
DOVERA;Agnadello;19
CREMONA - CDA;SONCINO;19
CINGIA DE' BOTTI;PERSICO DOSIMO;19
BAGNOLO CREMASCO;PALAZZO PIGNANO;19
BAGNOLO CREMASCO;CREMONA. LA PICCOLA BIBLIOTECA;19
VESCOVATO;CAPRALBA;19
CASTELVERDE;SORESINA;19
UNIONE MUNICIPIA;CASTELLEONE;19
SORESINA;PERSICO DOSIMO;19
PERSICO DOSIMO;CREMONA - CDA;19
SORESINA;PIADENA DRIZZONA;19
PANDINO;PIZZIGHETTONE;19
GADESCO PIEVE DELMONA;UNIONE MUNICIPIA;19
CAPRALBA;CAPERGNANICA;19
PESCAROLO ED UNITI;DOVERA;19
SPINO D'ADDA;UNIONE MUNICIPIA;19
BAGNOLO CREMASCO;TRESCORE CREMASCO;19
PIADENA DRIZZONA;MARTIGNANA DI PO;19
PIADENA DRIZZONA;GUSSOLA;19
GADESCO PIEVE DELMONA;ISOLA DOVARESE;19
SORESINA;MONTODINE;19
SONCINO;RICENGO;19
SPINO D'ADDA;VAIANO CREMASCO;19
OFFANENGO;GADESCO PIEVE DELMONA;19
CREMONA - CDA;OFFANENGO;19
CAPRALBA;Agnadello;19
Agnadello;SAN GIOVANNI IN CROCE;19
PALAZZO PIGNANO;CASALMAGGIORE;19
MONTODINE;OFFANENGO;19
DOVERA;MONTE CREMASCO;19
MARTIGNANA DI PO;SOSPIRO;18
SAN GIOVANNI IN CROCE;VESCOVATO;18
ROMANENGO;PIADENA DRIZZONA;18
GRONTARDO;SAN GIOVANNI IN CROCE;18
GRONTARDO;PESCAROLO ED UNITI;18
CAPRALBA;BAGNOLO CREMASCO;18
SPINO D'ADDA;GUSSOLA;18
CASALMAGGIORE;Cremona - Manin (scolastica);18
ROMANENGO;SOSPIRO;18
SAN GIOVANNI IN CROCE;SOLAROLO RAINERIO;18
TRIGOLO;SONCINO;18
CAPRALBA;SAN GIOVANNI IN CROCE;18
RIPALTA CREMASCA;SONCINO;18
TRIGOLO;TRIGOLO;18
SPINO D'ADDA;CAPRALBA;18
CAPRALBA;VAIANO CREMASCO;18
CINGIA DE' BOTTI;SOSPIRO;18
SORESINA;PESCAROLO ED UNITI;18
MARTIGNANA DI PO;MONTODINE;18
PALAZZO PIGNANO;SERGNANO;18
CREMONA. LA PICCOLA BIBLIOTECA;CREMA;18
SORESINA;SAN GIOVANNI IN CROCE;18
VAILATE;SOSPIRO;18
PIANENGO;PERSICO DOSIMO;18
GADESCO PIEVE DELMONA;DOVERA;18
VAILATE;SONCINO;18
MADIGNANO;SOSPIRO;18
BAGNOLO CREMASCO;ANNICCO;18
Agnadello;CAPRALBA;18
CAPRALBA;RIVOLTA D'ADDA;18
MARTIGNANA DI PO;CREMONA - CDA;18
CAPERGNANICA;CASTELLEONE;18
GUSSOLA;SAN GIOVANNI IN CROCE;18
OSTIANO;PESCAROLO ED UNITI;18
DOVERA;PIANENGO;18
PALAZZO PIGNANO;RIVOLTA D'ADDA;18
RICENGO;CASTELLEONE;18
SPINO D'ADDA;SOLAROLO RAINERIO;18
PIZZIGHETTONE;ISOLA DOVARESE;17
GRONTARDO;CASTELLEONE;17
VAILATE;RIPALTA CREMASCA;17
PANDINO;FIESCO;17
CREMA;Cremona - Manin (scolastica);17
SORESINA;TRESCORE CREMASCO;17
VESCOVATO;ROMANENGO;17
MARTIGNANA DI PO;MARTIGNANA DI PO;17
SONCINO;CENTRO FUMETTO A. PAZIENZA;17
MADIGNANO;SPINO D'ADDA;17
ISOLA DOVARESE;PANDINO;17
PIZZIGHETTONE;MONTODINE;17
TRESCORE CREMASCO;CAPRALBA;17
CINGIA DE' BOTTI;MADIGNANO;17
SOSPIRO;SONCINO;17
SONCINO;ROMANENGO;17
SAN GIOVANNI IN CROCE;PIZZIGHETTONE;17
MADIGNANO;SOLAROLO RAINERIO;17
SOSPIRO;SOSPIRO;17
CASALBUTTANO;BRESCIA;17
RIVOLTA D'ADDA;CREMONA. LA PICCOLA BIBLIOTECA;17
CAPERGNANICA;MADIGNANO;17
SERGNANO;GRUMELLO CREMONESE;17
PANDINO;CREMONA - CDA;17
UNIONE MUNICIPIA;PERSICO DOSIMO;17
DOVERA;RICENGO;17
RICENGO;Agnadello;17
UNIONE MUNICIPIA;SORESINA;17
SORESINA;PIZZIGHETTONE;17
Agnadello;PIADENA DRIZZONA;17
DOVERA;MONTODINE;17
PIZZIGHETTONE;Agnadello;17
PERSICO DOSIMO;PANDINO;17
MADIGNANO;DOVERA;17
Agnadello;PERSICO DOSIMO;17
CREMA;CAMISANO;17
CAPERGNANICA;RIVOLTA D'ADDA;17
SOSPIRO;SORESINA;17
ROMANENGO;SPINO D'ADDA;17
MONTE CREMASCO;CASTELLEONE;17
CASTELVERDE;OFFANENGO;17
TRIGOLO;MONTE CREMASCO;17
GADESCO PIEVE DELMONA;ROMANENGO;17
PANDINO;DOVERA;17
VESCOVATO;CINGIA DE' BOTTI;16
PIZZIGHETTONE;SERGNANO;16
MARTIGNANA DI PO;MONTE CREMASCO;16
CINGIA DE' BOTTI;SAN GIOVANNI IN CROCE;16
UNIONE MUNICIPIA;PESCAROLO ED UNITI;16
ROMANENGO;RIPALTA CREMASCA;16
GRONTARDO;MONTE CREMASCO;16
CASALMAGGIORE;GRUMELLO CREMONESE;16
CASTELLEONE;MARTIGNANA DI PO;16
SONCINO;CINGIA DE' BOTTI;16
UNIONE MUNICIPIA;PIANENGO;16
PESCAROLO ED UNITI;SOLAROLO RAINERIO;16
CASTELLEONE;GRUMELLO CREMONESE;16
SAN GIOVANNI IN CROCE;ROMANENGO;16
SPINO D'ADDA;TRIGOLO;16
CASALE CREMASCO VIDOLASCO;BRESCIA;16
PALAZZO PIGNANO;ISOLA DOVARESE;16
DOVERA;RIVOLTA D'ADDA;16
MARTIGNANA DI PO;PESCAROLO ED UNITI;16
CAPRALBA;CINGIA DE' BOTTI;16
SONCINO;BONEMERSE;16
SORESINA;CASALMAGGIORE;16
VESCOVATO;ISOLA DOVARESE;16
OFFANENGO;ANNICCO;16
SERGNANO;CASALBUTTANO;16
PIANENGO;FIESCO;16
PESCAROLO ED UNITI;PIZZIGHETTONE;16
GUSSOLA;MONTE CREMASCO;16
OSTIANO;MONTODINE;16
PERSICO DOSIMO;PIANENGO;16
RICENGO;RIVOLTA D'ADDA;16
PIANENGO;PESCAROLO ED UNITI;16
BONEMERSE;SOSPIRO;16
PANDINO;TRESCORE CREMASCO;16
CASTELLEONE;Cremona - Manin (scolastica);16
GUSSOLA;RICENGO;16
SPINO D'ADDA;ROMANENGO;16
SAN GIOVANNI IN CROCE;CASALMAGGIORE;16
TRIGOLO;MADIGNANO;16
OSTIANO;SONCINO;16
GUSSOLA;CINGIA DE' BOTTI;16
PANDINO;UNIONE MUNICIPIA;16
SONCINO;ISOLA DOVARESE;16
PANDINO;RICENGO;16
TRIGOLO;Agnadello;16
Agnadello;SOLAROLO RAINERIO;16
MADIGNANO;RICENGO;16
PIANENGO;DOVERA;16
CAPERGNANICA;PERSICO DOSIMO;15
GADESCO PIEVE DELMONA;VESCOVATO;15
PANDINO;PALAZZO PIGNANO;15
GADESCO PIEVE DELMONA;CASALMAGGIORE;15
MONTE CREMASCO;SONCINO;15
SONCINO;TRIGOLO;15
Agnadello;MADIGNANO;15
PANDINO;CINGIA DE' BOTTI;15
MADIGNANO;SERGNANO;15
GRONTARDO;Agnadello;15
PALAZZO PIGNANO;BAGNOLO CREMASCO;15
CASTELLEONE;ANNICCO;15
MADIGNANO;MONTODINE;15
CASTELLEONE;CAMISANO;15
SONCINO;PIADENA DRIZZONA;15
DOVERA;PERSICO DOSIMO;15
CAPERGNANICA;SOSPIRO;15
UNIONE MUNICIPIA;MONTODINE;15
TRESCORE CREMASCO;Agnadello;15
PERSICO DOSIMO;PERSICO DOSIMO;15
SOSPIRO;MADIGNANO;15
RIVOLTA D'ADDA;Cremona - Manin (scolastica);15
PIANENGO;RIVOLTA D'ADDA;15
SOSPIRO;Agnadello;15
CAPERGNANICA;RIPALTA CREMASCA;15
CINGIA DE' BOTTI;RIPALTA CREMASCA;15
TRESCORE CREMASCO;SERGNANO;15
UNIONE MUNICIPIA;RIVOLTA D'ADDA;15
GUSSOLA;MADIGNANO;15
GRONTARDO;RIVOLTA D'ADDA;15
BAGNOLO CREMASCO;CASALBUTTANO;15
PIZZIGHETTONE;TRESCORE CREMASCO;15
SERGNANO;RIVAROLO DEL RE;15
BAGNOLO CREMASCO;CASTELVERDE;15
BONEMERSE;SONCINO;15
PANDINO;GUSSOLA;15
PIADENA DRIZZONA;CASALBUTTANO;15
SOSPIRO;PANDINO;15
PESCAROLO ED UNITI;TRESCORE CREMASCO;15
RIPALTA CREMASCA;RIPALTA CREMASCA;15
MARTIGNANA DI PO;Agnadello;15
MARTIGNANA DI PO;PERSICO DOSIMO;15
TRIGOLO;CASTELLEONE;15
SOLAROLO RAINERIO;UNIONE MUNICIPIA;15
OSTIANO;SOSPIRO;15
GRUMELLO CREMONESE;OFFANENGO;15
ROMANENGO;CREMONA - CDA;15
OSTIANO;SAN GIOVANNI IN CROCE;15
PERSICO DOSIMO;CASTELLEONE;15
PANDINO;CAPERGNANICA;15
Agnadello;PALAZZO PIGNANO;15
ISOLA DOVARESE;SAN GIOVANNI IN CROCE;15
MARTIGNANA DI PO;SPINO D'ADDA;15
SESTO ED UNITI;SORESINA;15
SORESINA;CENTRO FUMETTO A. PAZIENZA;15
GRONTARDO;MONTODINE;15
CENTRO FUMETTO A. PAZIENZA;CASALMAGGIORE;15
VAIANO CREMASCO;MONTE CREMASCO;15
MARTIGNANA DI PO;CAPRALBA;15
PALAZZO PIGNANO;DOVERA;15
MARTIGNANA DI PO;CASALMAGGIORE;14
DOVERA;PESCAROLO ED UNITI;14
PIZZIGHETTONE;SOLAROLO RAINERIO;14
FIESCO;CASTELLEONE;14
VESCOVATO;SOLAROLO RAINERIO;14
PIANENGO;BAGNOLO CREMASCO;14
IZANO;OFFANENGO;14
CENTRO FUMETTO A. PAZIENZA;RIVOLTA D'ADDA;14
SERGNANO;GRONTARDO;14
SOLAROLO RAINERIO;GRONTARDO;14
GRONTARDO;SPINO D'ADDA;14
GADESCO PIEVE DELMONA;CAPRALBA;14
DOVERA;SOSPIRO;14
CAPRALBA;SERGNANO;14
CREMA;GRONTARDO;14
SORESINA;ANNICCO;14
SAN GIOVANNI IN CROCE;BONEMERSE;14
GUSSOLA;SORESINA;14
SAN GIOVANNI IN CROCE;FIESCO;14
VESCOVATO;GUSSOLA;14
MADIGNANO;CAPERGNANICA;14
VAILATE;TRESCORE CREMASCO;14
CAPERGNANICA;PIANENGO;14
CAPRALBA;PIZZIGHETTONE;14
BRESCIA;SAN DANIELE PO;14
CAPRALBA;CASALMAGGIORE;14
Agnadello;MONTODINE;14
MADIGNANO;PERSICO DOSIMO;14
PERSICO DOSIMO;SOSPIRO;14
PERSICO DOSIMO;MADIGNANO;14
MADIGNANO;CAPRALBA;14
SONCINO;MONTODINE;14
UNIONE MUNICIPIA;PIADENA DRIZZONA;14
CASALBUTTANO;OFFANENGO;14
PANDINO;CASALMAGGIORE;14
PIADENA DRIZZONA;ROMANENGO;14
CASALMAGGIORE;MARTIGNANA DI PO;14
SORESINA;CAPRALBA;14
PIANENGO;SPINO D'ADDA;14
PIANENGO;VESCOVATO;14
SONCINO;PALAZZO PIGNANO;14
RIPALTA CREMASCA;PANDINO;14
ANNICCO;CREMA;14
RICENGO;SOSPIRO;14
PIANENGO;CREMONA - CDA;14
VAIANO CREMASCO;CASTELLEONE;14
PESCAROLO ED UNITI;VESCOVATO;14
SONCINO;DOVERA;14
MADIGNANO;BAGNOLO CREMASCO;14
VESCOVATO;PIZZIGHETTONE;14
RIVOLTA D'ADDA;TRIGOLO;13
PIANENGO;MONTODINE;13
VESCOVATO;CAPERGNANICA;13
PIZZIGHETTONE;CASALMAGGIORE;13
VESCOVATO;TRESCORE CREMASCO;13
DOVERA;ISOLA DOVARESE;13
CAPERGNANICA;CAPERGNANICA;13
DOVERA;SERGNANO;13
CASALMAGGIORE;CASTELVERDE;13
SESTO ED UNITI;BRESCIA;13
DOVERA;SPINO D'ADDA;13
SPINO D'ADDA;CAPERGNANICA;13
RIVOLTA D'ADDA;MARTIGNANA DI PO;13
SPINO D'ADDA;CASALBUTTANO;13
RIVOLTA D'ADDA;CASTELVERDE;13
MADIGNANO;BONEMERSE;13
TRESCORE CREMASCO;PALAZZO PIGNANO;13
SOSPIRO;PIANENGO;13
PESCAROLO ED UNITI;PERSICO DOSIMO;13
GADESCO PIEVE DELMONA;SOLAROLO RAINERIO;13
MADIGNANO;VESCOVATO;13
PIANENGO;SERGNANO;13
VAIANO CREMASCO;MONTODINE;13
MONTE CREMASCO;MADIGNANO;13
PIZZIGHETTONE;UNIONE MUNICIPIA;13
CASTELLEONE;GADESCO PIEVE DELMONA;13
CAPRALBA;CREMONA. LA PICCOLA BIBLIOTECA;13
TRESCORE CREMASCO;PERSICO DOSIMO;13
Agnadello;BAGNOLO CREMASCO;13
SPINO D'ADDA;FIESCO;13
SAN GIOVANNI IN CROCE;GUSSOLA;13
SONCINO;CAPERGNANICA;13
DOVERA;CASALMAGGIORE;13
CINGIA DE' BOTTI;SPINO D'ADDA;13
VAILATE;MONTE CREMASCO;13
RICENGO;CAPRALBA;13
Agnadello;SPINO D'ADDA;13
PESCAROLO ED UNITI;UNIONE MUNICIPIA;13
PIANENGO;CAPRALBA;13
