;Agnadello, Marconi, 6;Annicco, Giuseppe Garibaldi, 6;Bagnolo Cremasco, Roma, 3;Bonemerse, Roma, 25;Camisano, Trieste, 57;Capergnanica, XI febbraio, 7;Capralba, Piave, 2;Casalbuttano ed Uniti, Jacini, 23;Casale Cremasco-Vidolasco, Roma, 56;Casaletto Vaprio, Maggiore, 7;Casalmaggiore, Guglielmo Marconi, 8;Casalpusterlengo, Pusterla 7;Castelleone, Roma, 67;Castelverde, Ubaldo Ferrari, 15;Cingia de' Botti, Giuseppina, 79;Crema, Civerchi, 9;Crema, Dante Alighieri, 49;Cremona, Sesto, 41;Cremona, Ugolani Dati, 4;Dovera, Oldrini 2;Fiesco, Giuseppe Parini, 10;Gadesco-Pieve Delmona, Giovanni Lonati 9;Grontardo, Roma, 16;Grumello Cremonese ed Uniti, Roma, 2;Gussola, Comaschi, 1;Isola Dovarese, Giacomo Matteotti, 1;Izano, Gerardo da Izano, 4/C;Madignano, Portici, 4;Martignana di Po, Libertï¿½, 64;Monte Cremasco, Roma, 12;Montodine,  XXV Aprile, 10;Offanengo, Clavelli Martini, 5;Ostiano, Mazzini, 1;Paderno Ponchielli, Municipio, 3;Palazzo Pignano, Marco Polo, 31;Pandino, Castello, 15;Persico Dosimo, Albert ,7;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Piadena, Platina, 40;Pianengo, Roma, 59;Pizzighettone, Giuseppe Garibaldi, 18;Manerbio, INSURREZIONE NAZIONALE;Viadana, A. Manzoni, 2;Ricengo, Guglielmo Marconi;Ripalta Cremasca, Roma, 5;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;Rivolta d'Adda, Stefano Renzi, 5;Romanengo, Guaiarini, 14;San Bassano, Mons. Frosi (ex piazza Scuole);San Giovanni in Croce, Feudatari, 25 A;Scandolara Ravara, Italia;Sergnano, IV Novembre,  10;Sesto ed Uniti, Roma, 4;Solarolo Rainerio, Giuseppina, 81;Soncino, Dante Alighieri, 23;Soresina, Giacomo Matteotti, 6;Sospiro;Spino d'Adda, Circonvallazione, 13;Trescore Cremasco, Vittorio Veneto, 1;Trigolo, Roma, 26;Vaiano Cremasco,  Gloriosi Caduti, 3;Vailate, Dante Alighieri, 7;Vescovato, Roma, 44;Cremona, Felice Cavallotti, 2;Cremona, Palosca n. 2;Cremona, Palosca n. 2.1;Ostiano;San Giovanni
Gussola, Comaschi, 1;94592.0;53896.0;81701.0;29.89;84675.0;77685.0;84707.0;48982.0;83256.0;82.732;7636.0;81074.0;63632.0;42117.0;13579.0;74078.0;74507.0;44255.0;34527.0;89407.0;67837.0;33764.0;33.81;54039.0;253.0;25268.0;71724.0;70049.0;3142.0;85728.0;67631.0;76509.0;35169.0;53923.0;84649.0;89915.0;38146.0;30698.0;17094.0;479826.0;57666.0;63.74;20.4;78988.0;72838.0;14.04;97654.0;72545.0;58359.0;9654.0;7713.0;84417.0;46125.0;9017.0;70227.0;59455.0;20.003;92851.0;83215.0;64761.0;84441.0;88965.0;31334.0;33648.0;31163.0;31163.0;34877.0;10368.0
Isola Dovarese, Giacomo Matteotti, 1;82902.0;42206.0;70011.0;26714.0;72985.0;65995.0;73017.0;37292.0;71566.0;71.031;26265.0;68491.0;51942.0;30427.0;15717.0;62388.0;62817.0;32565.0;24448.0;77717.0;56147.0;17.43;17476.0;42349.0;24791.0;0.0;60034.0;58359.0;22448.0;74038.0;55941.0;64819.0;12766.0;42233.0;72959.0;78225.0;20583.0;13135.0;8777.0;498455.0;45976.0;34996.0;39029.0;67298.0;61148.0;26163.0;85964.0;60855.0;46669.0;14641.0;18087.0;72727.0;34435.0;15157.0;58537.0;47765.0;49.637;81161.0;71525.0;53071.0;72751.0;77275.0;13771.0;28402.0;24.02;24.02;12474.0;14492.0
Izano, Gerardo da Izano, 4/C;27426.0;20186.0;14562.0;44622.0;14493.0;11562.0;19713.0;23629.0;13074.0;18.319;78299.0;29816.0;9276.0;35145.0;60842.0;5755.0;5911.0;27699.0;36925.0;22241.0;4.46;44481.0;44818.0;24084.0;72109.0;60843.0;133.0;3635.0;74482.0;18562.0;13593.0;3545.0;51849.0;20213.0;17483.0;22749.0;41.6;53481.0;66.62;549891.0;23926.0;37627.0;91.13;8806.0;9394.0;79687.0;30488.0;4911.0;16.39;67426.0;66804.0;14235.0;28249.0;66321.0;12553.0;14297.0;47.876;25685.0;18813.0;7747.0;17275.0;23971.0;49546.0;37316.0;41733.0;41733.0;54326.0;68016.0
Madignano, Portici, 4;24836.0;23582.0;11972.0;42861.0;14919.0;8972.0;14951.0;25073.0;13.5;13.214;76538.0;27172.0;7.39;33384.0;59081.0;4322.0;4703.0;25938.0;35164.0;19651.0;8211.0;42.72;47.2;22323.0;70348.0;59082.0;3.75;0.0;72721.0;15972.0;10949.0;6753.0;58.26;23609.0;14893.0;20159.0;39839.0;51.72;64859.0;547247.0;21174.0;41378.0;89369.0;9232.0;6804.0;77926.0;27898.0;8662.0;14629.0;65665.0;65043.0;14661.0;26488.0;64.56;16304.0;15196.0;25.781;23095.0;13459.0;11498.0;14685.0;19209.0;47785.0;35555.0;39972.0;39972.0;57968.0;66255.0
Martignana di Po, Libertï¿½, 64;97194.0;56498.0;84303.0;32492.0;87277.0;80287.0;87309.0;51584.0;85858.0;85.334;5642.0;83676.0;66234.0;44719.0;14702.0;76.68;77109.0;46857.0;37129.0;92009.0;70439.0;37141.0;37187.0;56641.0;2.86;23343.0;74326.0;72651.0;0.24;88.33;70233.0;79111.0;33244.0;56525.0;87251.0;92517.0;40294.0;32846.0;15169.0;477832.0;60268.0;67117.0;18406.0;81.59;75.44;12046.0;100256.0;75147.0;60961.0;8346.0;9833.0;87019.0;48727.0;8862.0;72829.0;62057.0;62.956;95453.0;85817.0;67363.0;87043.0;91567.0;33482.0;35768.0;33765.0;33765.0;32952.0;8443.0
Monte Cremasco, Roma, 12;11114.0;38662.0;3882.0;57941.0;22061.0;9795.0;15.62;40153.0;16925.0;9.085;91618.0;29163.0;22.47;48464.0;74161.0;11826.0;11432.0;41018.0;50244.0;5078.0;22816.0;57.8;62.28;37403.0;85428.0;74162.0;18355.0;15704.0;87801.0;0.0;19.53;18664.0;73183.0;38689.0;3.89;6437.0;54919.0;66.8;79939.0;561181.0;34926.0;54747.0;104449.0;16887.0;13986.0;93006.0;14176.0;22031.0;29709.0;80745.0;80123.0;15513.0;41568.0;79.64;29673.0;30276.0;45.273;9392.0;7381.0;26103.0;1379.0;13.36;62865.0;50635.0;55052.0;55052.0;73048.0;81335.0
Montodine,  XXV Aprile, 10;28402.0;20979.0;14373.0;40258.0;22.85;10357.0;20845.0;23052.0;21431.0;17.676;73935.0;17237.0;4787.0;30781.0;56478.0;10122.0;9462.0;23335.0;32561.0;23217.0;11352.0;40117.0;44597.0;19.72;67745.0;56479.0;14375.0;10764.0;70118.0;19538.0;46.0;14684.0;55657.0;21006.0;18459.0;23725.0;37236.0;49117.0;62256.0;537312.0;15699.0;48776.0;86766.0;17163.0;5.51;75323.0;31464.0;16.06;12026.0;63062.0;62.44;22592.0;23885.0;61957.0;23702.0;13175.0;55.092;26661.0;18.17;15773.0;18251.0;24693.0;45182.0;32952.0;37369.0;37369.0;55365.0;63652.0
Offanengo, Clavelli Martini, 5;23027.0;24133.0;15417.0;50055.0;8.58;12417.0;14663.0;26478.0;7614.0;13.952;83732.0;32704.0;13223.0;35.39;66275.0;6.61;6766.0;31646.0;42358.0;23096.0;8407.0;49914.0;47667.0;28031.0;77542.0;66276.0;3411.0;7818.0;79915.0;19417.0;15793.0;182.0;57467.0;24.16;16482.0;19011.0;47033.0;54327.0;72053.0;552802.0;28368.0;37186.0;96496.0;4152.0;10249.0;85.12;28875.0;4.47;20337.0;72859.0;72237.0;9185.0;32196.0;71754.0;12112.0;18244.0;19.321;26.54;13763.0;11694.0;18.13;18921.0;54979.0;42749.0;47166.0;47166.0;57175.0;73449.0
Ostiano, Mazzini, 1;82.22;41524.0;69356.0;26032.0;64851.0;65313.0;72335.0;32.27;70884.0;70.349;36281.0;67786.0;51.26;29745.0;22911.0;61706.0;62135.0;31883.0;23.76;77035.0;55465.0;16748.0;10.45;41667.0;34807.0;13016.0;59352.0;57677.0;32464.0;73356.0;55259.0;64137.0;74.0;41551.0;72277.0;75429.0;17441.0;6821.0;18793.0;536719.0;46787.0;21989.0;49112.0;66616.0;60466.0;36179.0;107912.0;51921.0;45987.0;24657.0;28873.0;72045.0;33753.0;25173.0;47878.0;38647.0;30.51;80479.0;70843.0;52389.0;72069.0;100708.0;10585.0;27241.0;23338.0;23338.0;504.0;24508.0
Paderno Ponchielli, Municipio, 3;46664.0;24.0;33773.0;25495.0;36747.0;29757.0;36779.0;7907.0;35328.0;34.793;59172.0;26552.0;15704.0;14456.0;41715.0;26.15;26579.0;8572.0;17798.0;41479.0;16772.0;25354.0;29834.0;5837.0;52982.0;41716.0;20285.0;22121.0;55355.0;37.8;19703.0;24402.0;40894.0;0.0;36721.0;39873.0;22473.0;34354.0;47493.0;530.87;15259.0;32859.0;71936.0;31.06;24.91;60.56;49726.0;20792.0;10431.0;48299.0;47677.0;36489.0;9122.0;47194.0;19906.0;6377.0;62.161;44923.0;35287.0;13022.0;36513.0;41037.0;30419.0;18189.0;22606.0;22606.0;40602.0;48889.0
