martedi;mercoledi;giovedi
Cremona, Felice Cavallotti, 2;Annicco;Cremona, Ugolani Dati
Bonemerse;San Bassano;gadesco
Sospiro;Castelleone;vescovato
Gadesco;Madignano;ostiano
Pescarolo;Palazzo Pignano;piadena
Piadena;Spino d'adda;solarolo
San giovanni;Rivolta D'adda;casalmaggiore
Scandolara Ravara, Italia;Cremona, Palosca;pizzighettone
Casalmaggiore;;izano
