;lunedi;martedi;mercoledi;giovedi;venerdi;tot
oss_2opt_f1;273.0;132.0;167.0;159.0;278.0;1009.0
oss_2opt_f2;;232.0;193.0;41.0;;466.0
oss_f1;723.0;429.0;260.0;208.0;623.0;2243.0
oss_f2;;239.0;372.0;90.0;;701.0
oss_greedy1;322.0;134.0;173.0;170.0;354.0;1153.0
oss_greedy2;;276.0;217.0;41.0;;534.0
oss_ls1;320.0;132.0;169.0;170.0;333.0;1124.0
oss_ls2;;267.0;204.0;41.0;;512.0
oss_MVLS_f1;485.0;490.0;317.0;132.0;32.0;1456.0
oss_MVLS_f2;;58.0;84.0;37.0;;179.0
