;lunedi;martedi;mercoledi;giovedi;venerdi;tot
f1_original.csv;235.0;246.0;283.0;261.0;239.0;1264.0
f2_original.csv;;243.0;82.0;188.0;;513.0
original_2opt1.csv;187.0;210.0;199.0;174.0;191.0;961.0
original_2opt2.csv;;220.0;82.0;171.0;;473.0
original_ls1.csv;197.0;224.0;219.0;227.0;216.0;1083.0
original_ls2.csv;;220.0;82.0;183.0;;485.0
original_MVLS1.csv;244.0;160.0;393.0;80.0;315.0;1192.0
original_MVLS2.csv;;86.0;84.0;37.0;;207.0
