;lunedi;martedi;mercoledi;giovedi;venerdi;tot
f1_original.csv;213.0;246.0;262.0;274.0;228.0;1223.0
f2_original.csv;;219.0;78.0;171.0;;468.0
original_2opt1.csv;163.0;202.0;168.0;164.0;178.0;875.0
original_2opt2.csv;;200.0;78.0;156.0;;434.0
original_ls1.csv;183.0;224.0;185.0;228.0;198.0;1018.0
original_ls2.csv;;200.0;78.0;169.0;;447.0
original_MVLS1.csv;191.0;136.0;341.0;70.0;275.0;1013.0
original_MVLS2.csv;;84.0;81.0;40.0;;205.0
