;lunedi;martedi;mercoledi;giovedi;venerdi;tot
2-opt1_shifts;163.0;212.0;210.0;112.0;158.0;855.0
2-opt2_shifts;;127.0;64.0;176.0;;367.0
furgoncino1_routing;189.0;225.0;210.0;135.0;163.0;922.0
furgoncino2_routing;;137.0;61.0;184.0;;382.0
ls1_shifts;176.0;217.0;210.0;135.0;163.0;901.0
ls2_shifts;;127.0;64.0;176.0;;367.0
MVLS1;285.0;201.0;348.0;94.0;153.0;1081.0
MVLS2;;92.0;49.0;40.0;;181.0
