;time;distance
foss_2opt.csv;1443.0;1328.0
foss_f.csv;2695.0;2715.0
foss_greedy.csv;1602.0;1485.0
foss_ls.csv;1582.0;1477.0
foss_MVLS.csv;1392.0;1247.0
