;lunedi;martedi;mercoledi;giovedi;venerdi;tot
foss_2opt1.csv;158.0;69.0;238.0;209.0;275.0;949.0
foss_2opt2.csv;;138.0;125.0;116.0;;379.0
foss_f1.csv;241.0;126.0;434.0;360.0;749.0;1910.0
foss_f2.csv;;126.0;387.0;292.0;;805.0
foss_greedy1.csv;164.0;69.0;321.0;215.0;326.0;1095.0
foss_greedy2.csv;;148.0;125.0;117.0;;390.0
foss_ls1.csv;164.0;69.0;321.0;209.0;325.0;1088.0
foss_ls2.csv;;148.0;125.0;116.0;;389.0
foss_MVLS1.csv;249.0;167.0;111.0;289.0;73.0;889.0
foss_MVLS2.csv;;88.0;230.0;40.0;;358.0
