;lunedi;martedi;mercoledi;giovedi;venerdi;tot
oss_2opt_f1;263.0;134.0;156.0;136.0;258.0;947.0
oss_2opt_f2;;194.0;158.0;42.0;;394.0
oss_f1;749.0;425.0;248.0;198.0;635.0;2255.0
oss_f2;;238.0;368.0;93.0;;699.0
oss_greedy1;304.0;136.0;171.0;155.0;378.0;1144.0
oss_greedy2;;245.0;181.0;42.0;;468.0
oss_ls1;303.0;134.0;165.0;155.0;350.0;1107.0
oss_ls2;;235.0;171.0;42.0;;448.0
oss_MVLS_f1;451.0;447.0;285.0;119.0;34.0;1336.0
oss_MVLS_f2;;62.0;90.0;40.0;;192.0
