;lunedi;martedi;mercoledi;giovedi;venerdi;tot
2-opt1_shifts.csv;187.0;219.0;206.0;126.0;174.0;912.0
2-opt2_shifts.csv;;154.0;62.0;187.0;;403.0
furgoncino1_routing.csv;209.0;248.0;207.0;156.0;185.0;1005.0
furgoncino2_routing.csv;;167.0;63.0;197.0;;427.0
ls1_shifts.csv;194.0;235.0;206.0;154.0;185.0;974.0
ls2_shifts.csv;;155.0;62.0;187.0;;404.0
MVLS1.csv;327.0;204.0;387.0;92.0;178.0;1188.0
MVLS2.csv;;99.0;54.0;37.0;;190.0
