;data_richiesta;biblioteca_destinazione
CASALMAGGIORE;2017-03-19;1
CASALMAGGIORE;2017-03-20;11
CASALMAGGIORE;2017-03-21;5
CASALMAGGIORE;2017-03-22;7
CASALMAGGIORE;2017-03-23;8
CASALMAGGIORE;2017-03-24;1
CASALMAGGIORE;2017-03-25;4
CASALMAGGIORE;2017-03-26;2
CASALMAGGIORE;2017-03-27;5
CASALMAGGIORE;2017-03-28;4
CASALMAGGIORE;2017-03-29;7
CASALMAGGIORE;2017-03-30;8
CASALMAGGIORE;2017-03-31;8
CASALMAGGIORE;2017-04-01;6
CASALMAGGIORE;2017-04-02;1
CASALMAGGIORE;2017-04-03;5
CASALMAGGIORE;2017-04-04;9
CASALMAGGIORE;2017-04-05;6
CASALMAGGIORE;2017-04-06;2
CASALMAGGIORE;2017-04-07;3
CASALMAGGIORE;2017-04-08;12
CASALMAGGIORE;2017-04-09;4
CASALMAGGIORE;2017-04-10;2
CASALMAGGIORE;2017-04-11;3
CASALMAGGIORE;2017-04-12;2
CASALMAGGIORE;2017-04-13;7
CASALMAGGIORE;2017-04-14;4
CASALMAGGIORE;2017-04-15;2
CASALMAGGIORE;2017-04-16;1
CASALMAGGIORE;2017-04-17;1
CASALMAGGIORE;2017-04-18;3
CASALMAGGIORE;2017-04-19;6
CASALMAGGIORE;2017-04-20;3
CASALMAGGIORE;2017-04-21;9
CASALMAGGIORE;2017-04-22;9
CASALMAGGIORE;2017-04-23;1
CASALMAGGIORE;2017-04-24;2
CASALMAGGIORE;2017-04-25;1
CASALMAGGIORE;2017-04-26;6
CASALMAGGIORE;2017-04-27;12
CASALMAGGIORE;2017-04-28;9
CASALMAGGIORE;2017-04-29;1
CASALMAGGIORE;2017-04-30;1
CASALMAGGIORE;2017-05-01;6
CASALMAGGIORE;2017-05-02;12
CASALMAGGIORE;2017-05-03;3
CASALMAGGIORE;2017-05-04;10
CASALMAGGIORE;2017-05-05;7
CASALMAGGIORE;2017-05-06;7
CASALMAGGIORE;2017-05-07;9
CASALMAGGIORE;2017-05-08;8
CASALMAGGIORE;2017-05-09;9
CASALMAGGIORE;2017-05-10;8
CASALMAGGIORE;2017-05-11;3
CASALMAGGIORE;2017-05-12;8
CASALMAGGIORE;2017-05-13;6
CASALMAGGIORE;2017-05-14;1
CASALMAGGIORE;2017-05-15;6
CASALMAGGIORE;2017-05-16;6
CASALMAGGIORE;2017-05-17;6
CASALMAGGIORE;2017-05-18;3
CASALMAGGIORE;2017-05-19;6
CASALMAGGIORE;2017-05-20;3
CASALMAGGIORE;2017-05-21;1
CASALMAGGIORE;2017-05-22;9
CASALMAGGIORE;2017-05-23;7
CASALMAGGIORE;2017-05-24;4
CASALMAGGIORE;2017-05-25;4
CASALMAGGIORE;2017-05-26;4
CASALMAGGIORE;2017-05-27;5
CASALMAGGIORE;2017-05-28;1
CASALMAGGIORE;2017-05-29;7
CASALMAGGIORE;2017-05-30;7
CASALMAGGIORE;2017-05-31;5
CASALMAGGIORE;2017-06-01;8
CASALMAGGIORE;2017-06-02;1
CASALMAGGIORE;2017-06-03;2
CASALMAGGIORE;2017-06-04;2
CASALMAGGIORE;2017-06-05;5
CASALMAGGIORE;2017-06-06;7
CASALMAGGIORE;2017-06-07;8
CASALMAGGIORE;2017-06-08;8
CASALMAGGIORE;2017-06-09;6
CASALMAGGIORE;2017-06-10;5
CASALMAGGIORE;2017-06-12;5
CASALMAGGIORE;2017-06-13;9
CASALMAGGIORE;2017-06-14;9
CASALMAGGIORE;2017-06-15;9
CASALMAGGIORE;2017-06-16;10
CASALMAGGIORE;2017-06-17;6
CASALMAGGIORE;2017-06-18;4
CASALMAGGIORE;2017-06-19;6
CASALMAGGIORE;2017-06-20;8
CASALMAGGIORE;2017-06-21;8
CASALMAGGIORE;2017-06-22;6
CASALMAGGIORE;2017-06-23;12
CASALMAGGIORE;2017-06-24;4
CASALMAGGIORE;2017-06-26;10
CASALMAGGIORE;2017-06-27;6
CASALMAGGIORE;2017-06-28;7
CASALMAGGIORE;2017-06-29;9
CASALMAGGIORE;2017-06-30;10
CASALMAGGIORE;2017-07-01;6
CASALMAGGIORE;2017-07-03;3
CASALMAGGIORE;2017-07-04;5
CASALMAGGIORE;2017-07-05;7
CASALMAGGIORE;2017-07-06;5
CASALMAGGIORE;2017-07-07;7
CASALMAGGIORE;2017-07-08;5
CASALMAGGIORE;2017-07-09;1
CASALMAGGIORE;2017-07-10;9
CASALMAGGIORE;2017-07-11;10
CASALMAGGIORE;2017-07-12;5
CASALMAGGIORE;2017-07-13;6
CASALMAGGIORE;2017-07-14;12
CASALMAGGIORE;2017-07-15;3
CASALMAGGIORE;2017-07-16;2
CASALMAGGIORE;2017-07-17;3
CASALMAGGIORE;2017-07-18;8
CASALMAGGIORE;2017-07-19;15
CASALMAGGIORE;2017-07-20;6
CASALMAGGIORE;2017-07-21;4
CASALMAGGIORE;2017-07-22;3
CASALMAGGIORE;2017-07-24;9
CASALMAGGIORE;2017-07-25;5
CASALMAGGIORE;2017-07-26;2
CASALMAGGIORE;2017-07-27;5
CASALMAGGIORE;2017-07-28;4
CASALMAGGIORE;2017-07-29;4
CASALMAGGIORE;2017-07-31;2
CASALMAGGIORE;2017-08-01;5
CASALMAGGIORE;2017-08-02;11
CASALMAGGIORE;2017-08-03;3
CASALMAGGIORE;2017-08-04;3
CASALMAGGIORE;2017-08-05;2
CASALMAGGIORE;2017-08-06;5
CASALMAGGIORE;2017-08-07;6
CASALMAGGIORE;2017-08-08;7
CASALMAGGIORE;2017-08-09;1
CASALMAGGIORE;2017-08-10;3
CASALMAGGIORE;2017-08-11;4
CASALMAGGIORE;2017-08-12;2
CASALMAGGIORE;2017-08-16;1
CASALMAGGIORE;2017-08-17;2
CASALMAGGIORE;2017-08-18;3
CASALMAGGIORE;2017-08-19;3
CASALMAGGIORE;2017-08-20;1
CASALMAGGIORE;2017-08-21;5
CASALMAGGIORE;2017-08-22;4
CASALMAGGIORE;2017-08-23;5
CASALMAGGIORE;2017-08-24;8
CASALMAGGIORE;2017-08-25;2
CASALMAGGIORE;2017-08-26;5
CASALMAGGIORE;2017-08-27;3
CASALMAGGIORE;2017-08-28;8
CASALMAGGIORE;2017-08-29;7
CASALMAGGIORE;2017-08-30;9
CASALMAGGIORE;2017-08-31;2
CASALMAGGIORE;2017-09-01;15
CASALMAGGIORE;2017-09-02;10
CASALMAGGIORE;2017-09-03;5
CASALMAGGIORE;2017-09-04;5
CASALMAGGIORE;2017-09-05;10
CASALMAGGIORE;2017-09-06;6
CASALMAGGIORE;2017-09-07;3
CASALMAGGIORE;2017-09-08;4
CASALMAGGIORE;2017-09-09;4
CASALMAGGIORE;2017-09-10;2
CASALMAGGIORE;2017-09-11;1
CASALMAGGIORE;2017-09-12;2
CASALMAGGIORE;2017-09-13;14
CASALMAGGIORE;2017-09-14;7
CASALMAGGIORE;2017-09-15;10
CASALMAGGIORE;2017-09-16;4
CASALMAGGIORE;2017-09-18;7
CASALMAGGIORE;2017-09-19;4
CASALMAGGIORE;2017-09-20;7
CASALMAGGIORE;2017-09-21;5
CASALMAGGIORE;2017-09-22;4
CASALMAGGIORE;2017-09-23;2
CASALMAGGIORE;2017-09-24;2
CASALMAGGIORE;2017-09-25;7
CASALMAGGIORE;2017-09-26;7
CASALMAGGIORE;2017-09-27;7
CASALMAGGIORE;2017-09-28;6
CASALMAGGIORE;2017-09-29;6
CASALMAGGIORE;2017-09-30;6
CASALMAGGIORE;2017-10-01;1
CASALMAGGIORE;2017-10-02;9
CASALMAGGIORE;2017-10-03;15
CASALMAGGIORE;2017-10-04;8
CASALMAGGIORE;2017-10-05;1
CASALMAGGIORE;2017-10-06;5
CASALMAGGIORE;2017-10-07;6
CASALMAGGIORE;2017-10-08;10
CASALMAGGIORE;2017-10-09;8
CASALMAGGIORE;2017-10-10;2
CASALMAGGIORE;2017-10-11;6
CASALMAGGIORE;2017-10-12;9
CASALMAGGIORE;2017-10-13;8
CASALMAGGIORE;2017-10-14;9
CASALMAGGIORE;2017-10-16;6
CASALMAGGIORE;2017-10-17;6
CASALMAGGIORE;2017-10-18;3
CASALMAGGIORE;2017-10-19;4
CASALMAGGIORE;2017-10-20;5
CASALMAGGIORE;2017-10-21;3
CASALMAGGIORE;2017-10-22;4
CASALMAGGIORE;2017-10-23;3
CASALMAGGIORE;2017-10-24;8
CASALMAGGIORE;2017-10-25;9
CASALMAGGIORE;2017-10-26;5
CASALMAGGIORE;2017-10-27;5
CASALMAGGIORE;2017-10-28;5
CASALMAGGIORE;2017-10-30;3
CASALMAGGIORE;2017-10-31;3
CASALMAGGIORE;2017-11-01;2
CASALMAGGIORE;2017-11-02;4
CASALMAGGIORE;2017-11-03;3
CASALMAGGIORE;2017-11-04;7
CASALMAGGIORE;2017-11-05;4
CASALMAGGIORE;2017-11-06;2
CASALMAGGIORE;2017-11-07;5
CASALMAGGIORE;2017-11-08;5
CASALMAGGIORE;2017-11-09;9
CASALMAGGIORE;2017-11-10;4
CASALMAGGIORE;2017-11-11;4
CASALMAGGIORE;2017-11-12;2
CASALMAGGIORE;2017-11-13;5
CASALMAGGIORE;2017-11-14;2
CASALMAGGIORE;2017-11-15;9
CASALMAGGIORE;2017-11-16;13
CASALMAGGIORE;2017-11-17;9
CASALMAGGIORE;2017-11-18;6
CASALMAGGIORE;2017-11-19;2
CASALMAGGIORE;2017-11-20;2
CASALMAGGIORE;2017-11-21;5
CASALMAGGIORE;2017-11-22;6
CASALMAGGIORE;2017-11-23;4
CASALMAGGIORE;2017-11-24;2
CASALMAGGIORE;2017-11-25;2
CASALMAGGIORE;2017-11-26;4
CASALMAGGIORE;2017-11-27;5
CASALMAGGIORE;2017-11-28;8
CASALMAGGIORE;2017-11-29;4
CASALMAGGIORE;2017-11-30;7
CASALMAGGIORE;2017-12-01;5
CASALMAGGIORE;2017-12-02;14
CASALMAGGIORE;2017-12-03;4
CASALMAGGIORE;2017-12-04;8
CASALMAGGIORE;2017-12-05;14
CASALMAGGIORE;2017-12-06;3
CASALMAGGIORE;2017-12-07;5
CASALMAGGIORE;2017-12-08;3
CASALMAGGIORE;2017-12-09;4
CASALMAGGIORE;2017-12-11;7
CASALMAGGIORE;2017-12-12;6
CASALMAGGIORE;2017-12-13;6
CASALMAGGIORE;2017-12-14;3
CASALMAGGIORE;2017-12-15;8
CASALMAGGIORE;2017-12-16;1
CASALMAGGIORE;2017-12-17;2
CASALMAGGIORE;2017-12-18;8
CASALMAGGIORE;2017-12-19;7
CASALMAGGIORE;2017-12-20;4
CASALMAGGIORE;2017-12-21;4
CASALMAGGIORE;2017-12-22;4
CASALMAGGIORE;2017-12-23;4
CASALMAGGIORE;2017-12-26;1
CASALMAGGIORE;2017-12-27;2
CASALMAGGIORE;2017-12-28;10
CASALMAGGIORE;2017-12-29;1
CASALMAGGIORE;2017-12-30;3
CASALMAGGIORE;2017-12-31;1
CASALMAGGIORE;2018-01-02;4
CASALMAGGIORE;2018-01-03;7
CASALMAGGIORE;2018-01-04;8
CASALMAGGIORE;2018-01-05;10
CASALMAGGIORE;2018-01-06;2
CASALMAGGIORE;2018-01-07;1
CASALMAGGIORE;2018-01-08;12
CASALMAGGIORE;2018-01-09;7
CASALMAGGIORE;2018-01-10;7
CASALMAGGIORE;2018-01-11;4
CASALMAGGIORE;2018-01-12;6
CASALMAGGIORE;2018-01-13;9
CASALMAGGIORE;2018-01-14;2
CASALMAGGIORE;2018-01-15;7
CASALMAGGIORE;2018-01-16;7
CASALMAGGIORE;2018-01-17;8
CASALMAGGIORE;2018-01-18;5
CASALMAGGIORE;2018-01-19;4
CASALMAGGIORE;2018-01-20;3
CASALMAGGIORE;2018-01-21;2
CASALMAGGIORE;2018-01-22;3
CASALMAGGIORE;2018-01-23;9
CASALMAGGIORE;2018-01-24;2
CASALMAGGIORE;2018-01-25;14
CASALMAGGIORE;2018-01-26;8
CASALMAGGIORE;2018-01-27;9
CASALMAGGIORE;2018-01-28;2
CASALMAGGIORE;2018-01-29;4
CASALMAGGIORE;2018-01-30;10
CASALMAGGIORE;2018-01-31;9
CASALMAGGIORE;2018-02-01;14
CASALMAGGIORE;2018-02-02;12
CASALMAGGIORE;2018-02-03;5
CASALMAGGIORE;2018-02-04;3
CASALMAGGIORE;2018-02-05;5
CASALMAGGIORE;2018-02-06;9
CASALMAGGIORE;2018-02-07;10
CASALMAGGIORE;2018-02-08;12
CASALMAGGIORE;2018-02-09;12
CASALMAGGIORE;2018-02-10;3
CASALMAGGIORE;2018-02-11;1
CASALMAGGIORE;2018-02-12;3
CASALMAGGIORE;2018-02-13;11
CASALMAGGIORE;2018-02-14;7
CASALMAGGIORE;2018-02-15;6
CASALMAGGIORE;2018-02-16;4
CASALMAGGIORE;2018-02-17;10
CASALMAGGIORE;2018-02-18;1
CASALMAGGIORE;2018-02-19;3
CASALMAGGIORE;2018-02-20;5
CASALMAGGIORE;2018-02-21;6
CASALMAGGIORE;2018-02-22;7
CASALMAGGIORE;2018-02-23;6
CASALMAGGIORE;2018-02-24;12
CASALMAGGIORE;2018-02-25;5
CASALMAGGIORE;2018-02-26;6
CASALMAGGIORE;2018-02-27;11
CASALMAGGIORE;2018-02-28;4
CASALMAGGIORE;2018-03-01;8
CASALMAGGIORE;2018-03-02;3
CASALMAGGIORE;2018-03-03;8
CASALMAGGIORE;2018-03-04;4
CASALMAGGIORE;2018-03-05;2
CASALMAGGIORE;2018-03-06;4
CASALMAGGIORE;2018-03-07;8
CASALMAGGIORE;2018-03-08;6
CASALMAGGIORE;2018-03-09;4
CASALMAGGIORE;2018-03-10;2
CASALMAGGIORE;2018-03-11;1
CASALMAGGIORE;2018-03-12;6
CASALMAGGIORE;2018-03-13;9
CASALMAGGIORE;2018-03-14;8
CASALMAGGIORE;2018-03-15;7
CASALMAGGIORE;2018-03-16;7
CASALMAGGIORE;2018-03-17;4
CASALMAGGIORE;2018-03-18;1
CASALMAGGIORE;2018-03-19;3
CASALMAGGIORE;2018-03-20;10
CASALMAGGIORE;2018-03-21;10
CASALMAGGIORE;2018-03-22;7
CASALMAGGIORE;2018-03-23;4
CASALMAGGIORE;2018-03-24;6
CASALMAGGIORE;2018-03-26;6
CASALMAGGIORE;2018-03-27;5
CASALMAGGIORE;2018-03-28;11
CASALMAGGIORE;2018-03-29;12
CASALMAGGIORE;2018-03-30;8
CASALMAGGIORE;2018-03-31;3
CASALMAGGIORE;2018-04-01;1
CASALMAGGIORE;2018-04-02;1
CASALMAGGIORE;2018-04-03;6
CASALMAGGIORE;2018-04-04;4
CASALMAGGIORE;2018-04-05;6
CASALMAGGIORE;2018-04-06;1
CASALMAGGIORE;2018-04-08;3
CASALMAGGIORE;2018-04-09;11
CASALMAGGIORE;2018-04-10;7
CASALMAGGIORE;2018-04-11;5
CASALMAGGIORE;2018-04-12;5
CASALMAGGIORE;2018-04-13;6
CASALMAGGIORE;2018-04-14;10
CASALMAGGIORE;2018-04-15;3
CASALMAGGIORE;2018-04-16;9
CASALMAGGIORE;2018-04-17;10
CASALMAGGIORE;2018-04-18;4
CASALMAGGIORE;2018-04-19;6
CASALMAGGIORE;2018-04-20;6
CASALMAGGIORE;2018-04-21;9
CASALMAGGIORE;2018-04-22;3
CASALMAGGIORE;2018-04-23;2
CASALMAGGIORE;2018-04-24;8
CASALMAGGIORE;2018-04-25;2
CASALMAGGIORE;2018-04-26;5
CASALMAGGIORE;2018-04-27;5
CASALMAGGIORE;2018-04-28;5
CASALMAGGIORE;2018-04-29;2
CASALMAGGIORE;2018-04-30;8
CASALMAGGIORE;2018-05-01;3
CASALMAGGIORE;2018-05-02;4
CASALMAGGIORE;2018-05-03;8
CASALMAGGIORE;2018-05-04;4
CASALMAGGIORE;2018-05-05;4
CASALMAGGIORE;2018-05-06;4
CASALMAGGIORE;2018-05-07;6
CASALMAGGIORE;2018-05-08;10
CASALMAGGIORE;2018-05-09;8
CASALMAGGIORE;2018-05-10;1
CASALMAGGIORE;2018-05-11;7
CASALMAGGIORE;2018-05-12;2
CASALMAGGIORE;2018-05-13;1
CASALMAGGIORE;2018-05-14;5
CASALMAGGIORE;2018-05-15;5
CASALMAGGIORE;2018-05-16;3
CASALMAGGIORE;2018-05-17;6
CASALMAGGIORE;2018-05-18;4
CASALMAGGIORE;2018-05-20;2
CASALMAGGIORE;2018-05-21;5
CASALMAGGIORE;2018-05-22;3
CASALMAGGIORE;2018-05-23;4
CASALMAGGIORE;2018-05-24;2
CASALMAGGIORE;2018-05-25;2
CASALMAGGIORE;2018-05-26;6
CASALMAGGIORE;2018-05-28;2
CASALMAGGIORE;2018-05-29;4
CASALMAGGIORE;2018-05-30;4
CASALMAGGIORE;2018-05-31;3
CASALMAGGIORE;2018-06-01;6
CASALMAGGIORE;2018-06-02;2
CASALMAGGIORE;2018-06-03;1
CASALMAGGIORE;2018-06-04;1
CASALMAGGIORE;2018-06-05;8
CASALMAGGIORE;2018-06-06;3
CASALMAGGIORE;2018-06-07;7
CASALMAGGIORE;2018-06-08;1
CASALMAGGIORE;2018-06-09;3
CASALMAGGIORE;2018-06-10;4
CASALMAGGIORE;2018-06-11;3
CASALMAGGIORE;2018-06-12;5
CASALMAGGIORE;2018-06-13;6
CASALMAGGIORE;2018-06-14;8
CASALMAGGIORE;2018-06-15;8
CASALMAGGIORE;2018-06-16;4
CASALMAGGIORE;2018-06-18;5
CASALMAGGIORE;2018-06-19;7
CASALMAGGIORE;2018-06-20;7
CASALMAGGIORE;2018-06-21;12
CASALMAGGIORE;2018-06-22;3
CASALMAGGIORE;2018-06-23;6
CASALMAGGIORE;2018-06-24;2
CASALMAGGIORE;2018-06-25;7
CASALMAGGIORE;2018-06-26;3
CASALMAGGIORE;2018-06-27;8
CASALMAGGIORE;2018-06-28;7
CASALMAGGIORE;2018-06-29;5
CASALMAGGIORE;2018-06-30;4
CASALMAGGIORE;2018-07-02;3
CASALMAGGIORE;2018-07-03;5
CASALMAGGIORE;2018-07-04;3
CASALMAGGIORE;2018-07-06;5
CASALMAGGIORE;2018-07-07;3
CASALMAGGIORE;2018-07-08;3
CASALMAGGIORE;2018-07-09;6
CASALMAGGIORE;2018-07-10;4
CASALMAGGIORE;2018-07-11;9
CASALMAGGIORE;2018-07-12;5
CASALMAGGIORE;2018-07-13;8
CASALMAGGIORE;2018-07-14;9
CASALMAGGIORE;2018-07-15;1
CASALMAGGIORE;2018-07-16;1
CASALMAGGIORE;2018-07-17;5
CASALMAGGIORE;2018-07-18;7
CASALMAGGIORE;2018-07-19;4
CASALMAGGIORE;2018-07-20;6
CASALMAGGIORE;2018-07-21;4
CASALMAGGIORE;2018-07-23;4
CASALMAGGIORE;2018-07-24;5
CASALMAGGIORE;2018-07-25;5
CASALMAGGIORE;2018-07-26;11
CASALMAGGIORE;2018-07-27;4
CASALMAGGIORE;2018-07-28;2
CASALMAGGIORE;2018-07-29;2
CASALMAGGIORE;2018-07-30;3
CASALMAGGIORE;2018-07-31;7
CASALMAGGIORE;2018-08-01;2
CASALMAGGIORE;2018-08-02;5
CASALMAGGIORE;2018-08-03;2
CASALMAGGIORE;2018-08-04;2
CASALMAGGIORE;2018-08-05;1
CASALMAGGIORE;2018-08-06;4
CASALMAGGIORE;2018-08-07;3
CASALMAGGIORE;2018-08-08;2
CASALMAGGIORE;2018-08-09;1
CASALMAGGIORE;2018-08-10;2
CASALMAGGIORE;2018-08-11;2
CASALMAGGIORE;2018-08-13;1
CASALMAGGIORE;2018-08-14;3
CASALMAGGIORE;2018-08-16;4
CASALMAGGIORE;2018-08-17;1
CASALMAGGIORE;2018-08-18;2
CASALMAGGIORE;2018-08-19;2
CASALMAGGIORE;2018-08-20;5
CASALMAGGIORE;2018-08-21;6
CASALMAGGIORE;2018-08-22;5
CASALMAGGIORE;2018-08-23;8
CASALMAGGIORE;2018-08-24;2
CASALMAGGIORE;2018-08-26;3
CASALMAGGIORE;2018-08-27;4
CASALMAGGIORE;2018-08-28;6
CASALMAGGIORE;2018-08-29;5
CASALMAGGIORE;2018-08-30;6
CASALMAGGIORE;2018-08-31;4
CASALMAGGIORE;2018-09-01;8
CASALMAGGIORE;2018-09-02;1
CASALMAGGIORE;2018-09-03;2
CASALMAGGIORE;2018-09-04;5
CASALMAGGIORE;2018-09-05;1
CASALMAGGIORE;2018-09-06;3
CASALMAGGIORE;2018-09-07;4
CASALMAGGIORE;2018-09-08;3
CASALMAGGIORE;2018-09-09;1
CASALMAGGIORE;2018-09-10;5
CASALMAGGIORE;2018-09-11;3
CASALMAGGIORE;2018-09-12;5
CASALMAGGIORE;2018-09-13;7
CASALMAGGIORE;2018-09-14;10
CASALMAGGIORE;2018-09-15;4
CASALMAGGIORE;2018-09-16;1
CASALMAGGIORE;2018-09-17;5
CASALMAGGIORE;2018-09-18;3
CASALMAGGIORE;2018-09-19;6
CASALMAGGIORE;2018-09-20;2
CASALMAGGIORE;2018-09-21;10
CASALMAGGIORE;2018-09-22;3
CASALMAGGIORE;2018-09-23;5
CASALMAGGIORE;2018-09-24;4
CASALMAGGIORE;2018-09-25;7
CASALMAGGIORE;2018-09-26;13
CASALMAGGIORE;2018-09-27;9
CASALMAGGIORE;2018-09-28;4
CASALMAGGIORE;2018-09-29;6
CASALMAGGIORE;2018-09-30;1
CASALMAGGIORE;2018-10-01;7
CASALMAGGIORE;2018-10-02;8
CASALMAGGIORE;2018-10-03;8
CASALMAGGIORE;2018-10-04;4
CASALMAGGIORE;2018-10-05;9
CASALMAGGIORE;2018-10-06;2
CASALMAGGIORE;2018-10-07;3
CASALMAGGIORE;2018-10-08;1
CASALMAGGIORE;2018-10-09;2
CASALMAGGIORE;2018-10-10;4
CASALMAGGIORE;2018-10-11;8
CASALMAGGIORE;2018-10-12;1
CASALMAGGIORE;2018-10-13;2
CASALMAGGIORE;2018-10-15;8
CASALMAGGIORE;2018-10-16;2
CASALMAGGIORE;2018-10-17;10
CASALMAGGIORE;2018-10-18;2
CASALMAGGIORE;2018-10-19;6
CASALMAGGIORE;2018-10-20;4
CASALMAGGIORE;2018-10-21;1
CASALMAGGIORE;2018-10-22;5
CASALMAGGIORE;2018-10-23;2
CASALMAGGIORE;2018-10-24;5
CASALMAGGIORE;2018-10-25;4
CASALMAGGIORE;2018-10-26;4
CASALMAGGIORE;2018-10-27;6
CASALMAGGIORE;2018-10-28;4
CASALMAGGIORE;2018-10-29;4
CASALMAGGIORE;2018-10-30;2
CASALMAGGIORE;2018-10-31;6
CASALMAGGIORE;2018-11-01;1
CASALMAGGIORE;2018-11-02;5
CASALMAGGIORE;2018-11-03;4
CASALMAGGIORE;2018-11-04;4
CASALMAGGIORE;2018-11-05;6
CASALMAGGIORE;2018-11-06;8
CASALMAGGIORE;2018-11-07;9
CASALMAGGIORE;2018-11-08;8
CASALMAGGIORE;2018-11-09;5
CASALMAGGIORE;2018-11-10;8
CASALMAGGIORE;2018-11-12;6
CASALMAGGIORE;2018-11-13;5
CASALMAGGIORE;2018-11-14;4
CASALMAGGIORE;2018-11-15;2
CASALMAGGIORE;2018-11-16;4
CASALMAGGIORE;2018-11-17;5
CASALMAGGIORE;2018-11-18;2
CASALMAGGIORE;2018-11-19;6
CASALMAGGIORE;2018-11-20;8
CASALMAGGIORE;2018-11-21;5
CASALMAGGIORE;2018-11-22;5
CASALMAGGIORE;2018-11-23;3
CASALMAGGIORE;2018-11-24;3
CASALMAGGIORE;2018-11-25;5
CASALMAGGIORE;2018-11-26;9
CASALMAGGIORE;2018-11-27;8
CASALMAGGIORE;2018-11-28;5
CASALMAGGIORE;2018-11-29;7
CASALMAGGIORE;2018-11-30;4
CASALMAGGIORE;2018-12-01;4
CASALMAGGIORE;2018-12-02;3
CASALMAGGIORE;2018-12-03;8
CASALMAGGIORE;2018-12-04;2
CASALMAGGIORE;2018-12-05;6
CASALMAGGIORE;2018-12-06;7
CASALMAGGIORE;2018-12-07;4
CASALMAGGIORE;2018-12-10;5
CASALMAGGIORE;2018-12-11;7
CASALMAGGIORE;2018-12-12;6
CASALMAGGIORE;2018-12-13;4
CASALMAGGIORE;2018-12-14;3
CASALMAGGIORE;2018-12-15;3
CASALMAGGIORE;2018-12-17;3
CASALMAGGIORE;2018-12-18;4
CASALMAGGIORE;2018-12-19;4
CASALMAGGIORE;2018-12-20;3
CASALMAGGIORE;2018-12-21;4
CASALMAGGIORE;2018-12-23;2
CASALMAGGIORE;2018-12-24;1
CASALMAGGIORE;2018-12-25;1
CASALMAGGIORE;2018-12-26;2
CASALMAGGIORE;2018-12-27;1
CASALMAGGIORE;2018-12-29;2
CASALMAGGIORE;2018-12-30;1
CASALMAGGIORE;2018-12-31;1
CASTELLEONE;2016-01-02;2
CASTELLEONE;2016-01-03;3
CASTELLEONE;2016-01-04;12
CASTELLEONE;2016-01-05;13
CASTELLEONE;2016-01-06;2
CASTELLEONE;2016-01-07;18
CASTELLEONE;2016-01-08;10
CASTELLEONE;2016-01-09;8
CASTELLEONE;2016-01-10;1
CASTELLEONE;2016-01-11;7
CASTELLEONE;2016-01-12;12
CASTELLEONE;2016-01-13;6
CASTELLEONE;2016-01-14;15
CASTELLEONE;2016-01-15;9
CASTELLEONE;2016-01-16;6
CASTELLEONE;2016-01-17;2
CASTELLEONE;2016-01-18;9
CASTELLEONE;2016-01-19;11
CASTELLEONE;2016-01-20;7
CASTELLEONE;2016-01-21;17
CASTELLEONE;2016-01-22;8
CASTELLEONE;2016-01-23;6
CASTELLEONE;2016-01-24;2
CASTELLEONE;2016-01-25;10
CASTELLEONE;2016-01-26;3
CASTELLEONE;2016-01-27;13
CASTELLEONE;2016-01-28;8
CASTELLEONE;2016-01-29;9
CASTELLEONE;2016-01-30;9
CASTELLEONE;2016-01-31;3
CASTELLEONE;2016-02-01;5
CASTELLEONE;2016-02-02;12
CASTELLEONE;2016-02-03;13
CASTELLEONE;2016-02-04;18
CASTELLEONE;2016-02-05;6
CASTELLEONE;2016-02-06;3
CASTELLEONE;2016-02-08;8
CASTELLEONE;2016-02-09;10
CASTELLEONE;2016-02-10;7
CASTELLEONE;2016-02-11;12
CASTELLEONE;2016-02-12;14
CASTELLEONE;2016-02-13;8
CASTELLEONE;2016-02-14;4
CASTELLEONE;2016-02-15;11
CASTELLEONE;2016-02-16;10
CASTELLEONE;2016-02-17;10
CASTELLEONE;2016-02-18;14
CASTELLEONE;2016-02-19;11
CASTELLEONE;2016-02-20;4
CASTELLEONE;2016-02-21;4
CASTELLEONE;2016-02-22;3
CASTELLEONE;2016-02-23;12
CASTELLEONE;2016-02-24;8
CASTELLEONE;2016-02-25;11
CASTELLEONE;2016-02-26;10
CASTELLEONE;2016-02-27;4
CASTELLEONE;2016-02-28;4
CASTELLEONE;2016-02-29;13
CASTELLEONE;2016-03-01;15
CASTELLEONE;2016-03-02;11
CASTELLEONE;2016-03-03;15
CASTELLEONE;2016-03-04;9
CASTELLEONE;2016-03-05;5
CASTELLEONE;2016-03-06;1
CASTELLEONE;2016-03-07;13
CASTELLEONE;2016-03-08;12
CASTELLEONE;2016-03-09;16
CASTELLEONE;2016-03-10;15
CASTELLEONE;2016-03-11;3
CASTELLEONE;2016-03-12;5
CASTELLEONE;2016-03-13;3
CASTELLEONE;2016-03-14;3
CASTELLEONE;2016-03-15;8
CASTELLEONE;2016-03-16;6
CASTELLEONE;2016-03-17;14
CASTELLEONE;2016-03-18;9
CASTELLEONE;2016-03-19;9
CASTELLEONE;2016-03-20;1
CASTELLEONE;2016-03-21;7
CASTELLEONE;2016-03-22;11
CASTELLEONE;2016-03-23;14
CASTELLEONE;2016-03-24;5
CASTELLEONE;2016-03-25;6
CASTELLEONE;2016-03-26;2
CASTELLEONE;2016-03-28;6
CASTELLEONE;2016-03-29;10
CASTELLEONE;2016-03-30;11
