;data_richiesta;biblioteca_destinazione
Agnadello;2016-06-23;1
Agnadello;2016-06-25;5
Agnadello;2016-06-26;1
Agnadello;2016-06-27;3
Agnadello;2016-06-28;1
Agnadello;2016-06-29;1
Agnadello;2016-06-30;3
Agnadello;2016-07-01;2
Agnadello;2016-07-04;4
Agnadello;2016-07-05;1
Agnadello;2016-07-06;3
Agnadello;2016-07-07;1
Agnadello;2016-07-08;2
Agnadello;2016-07-09;2
Agnadello;2016-07-11;2
Agnadello;2016-07-12;1
Agnadello;2016-07-13;6
Agnadello;2016-07-14;1
Agnadello;2016-07-15;4
Agnadello;2016-07-16;1
Agnadello;2016-07-18;7
Agnadello;2016-07-20;1
Agnadello;2016-07-21;1
Agnadello;2016-07-22;1
Agnadello;2016-07-23;4
Agnadello;2016-07-25;3
Agnadello;2016-07-27;2
Agnadello;2016-07-28;2
Agnadello;2016-07-30;1
Agnadello;2016-08-01;2
Agnadello;2016-08-02;1
Agnadello;2016-08-03;1
Agnadello;2016-08-05;1
Agnadello;2016-08-07;1
Agnadello;2016-08-09;1
Agnadello;2016-08-10;1
Agnadello;2016-08-16;1
Agnadello;2016-08-19;1
Agnadello;2016-08-22;2
Agnadello;2016-08-23;1
Agnadello;2016-08-24;2
Agnadello;2016-08-28;1
Agnadello;2016-08-29;3
Agnadello;2016-08-30;1
Agnadello;2016-08-31;4
Agnadello;2016-09-01;1
Agnadello;2016-09-08;1
Agnadello;2016-09-09;2
Agnadello;2016-09-10;2
Agnadello;2016-09-13;2
Agnadello;2016-09-14;2
Agnadello;2016-09-15;2
Agnadello;2016-09-16;1
Agnadello;2016-09-17;2
Agnadello;2016-09-18;1
Agnadello;2016-09-19;5
Agnadello;2016-09-20;2
Agnadello;2016-09-22;1
Agnadello;2016-09-23;1
Agnadello;2016-09-26;1
Agnadello;2016-09-27;2
Agnadello;2016-09-29;2
Agnadello;2016-09-30;1
Agnadello;2016-10-01;5
Agnadello;2016-10-03;1
Agnadello;2016-10-04;1
Agnadello;2016-10-06;1
Agnadello;2016-10-07;2
Agnadello;2016-10-08;1
Agnadello;2016-10-11;2
Agnadello;2016-10-12;3
Agnadello;2016-10-14;1
Agnadello;2016-10-15;2
Agnadello;2016-10-17;1
Agnadello;2016-10-21;2
Agnadello;2016-10-24;1
Agnadello;2016-10-25;1
Agnadello;2016-10-26;1
Agnadello;2016-10-27;1
Agnadello;2016-10-28;1
Agnadello;2016-10-29;2
Agnadello;2016-10-31;1
Agnadello;2016-11-02;1
Agnadello;2016-11-04;1
Agnadello;2016-11-09;1
Agnadello;2016-11-16;1
Agnadello;2016-11-17;1
Agnadello;2016-11-18;1
Agnadello;2016-11-22;1
Agnadello;2016-11-23;4
Agnadello;2016-11-24;1
Agnadello;2016-11-25;2
Agnadello;2016-11-26;3
Agnadello;2016-11-29;3
Agnadello;2016-11-30;5
Agnadello;2016-12-01;1
Agnadello;2016-12-02;2
Agnadello;2016-12-03;1
Agnadello;2016-12-04;4
Agnadello;2016-12-06;3
Agnadello;2016-12-07;1
Agnadello;2016-12-08;1
Agnadello;2016-12-09;3
Agnadello;2016-12-10;3
Agnadello;2016-12-11;2
Agnadello;2016-12-12;5
Agnadello;2016-12-13;2
Agnadello;2016-12-14;1
Agnadello;2016-12-15;2
Agnadello;2016-12-16;2
Agnadello;2016-12-17;1
Agnadello;2016-12-18;2
Agnadello;2016-12-19;2
Agnadello;2016-12-20;2
Agnadello;2016-12-21;1
Agnadello;2016-12-26;1
Agnadello;2016-12-27;1
Agnadello;2016-12-28;2
Agnadello;2016-12-29;1
Agnadello;2017-01-02;1
Agnadello;2017-01-05;1
Agnadello;2017-01-08;1
Agnadello;2017-01-09;4
Agnadello;2017-01-10;2
Agnadello;2017-01-11;4
Agnadello;2017-01-12;3
Agnadello;2017-01-14;1
Agnadello;2017-01-16;1
Agnadello;2017-01-19;1
Agnadello;2017-01-21;1
Agnadello;2017-01-23;1
Agnadello;2017-01-24;3
Agnadello;2017-01-25;1
Agnadello;2017-01-26;1
Agnadello;2017-01-27;1
Agnadello;2017-01-28;1
Agnadello;2017-01-29;1
Agnadello;2017-01-30;2
Agnadello;2017-01-31;2
Agnadello;2017-02-01;2
Agnadello;2017-02-04;5
Agnadello;2017-02-05;1
Agnadello;2017-02-06;2
Agnadello;2017-02-07;2
Agnadello;2017-02-08;1
Agnadello;2017-02-09;1
Agnadello;2017-02-10;1
Agnadello;2017-02-13;1
Agnadello;2017-02-15;1
Agnadello;2017-02-17;2
Agnadello;2017-02-18;4
Agnadello;2017-02-20;1
Agnadello;2017-02-21;1
Agnadello;2017-02-22;2
Agnadello;2017-02-23;1
Agnadello;2017-02-25;3
Agnadello;2017-02-26;1
Agnadello;2017-02-27;1
Agnadello;2017-02-28;3
Agnadello;2017-03-01;1
Agnadello;2017-03-02;2
Agnadello;2017-03-03;2
Agnadello;2017-03-05;1
Agnadello;2017-03-07;3
Agnadello;2017-03-08;1
Agnadello;2017-03-09;1
Agnadello;2017-03-10;2
Agnadello;2017-03-12;1
Agnadello;2017-03-13;3
Agnadello;2017-03-14;1
Agnadello;2017-03-15;1
Agnadello;2017-03-16;3
Agnadello;2017-03-17;2
Agnadello;2017-03-21;1
Agnadello;2017-03-22;1
Agnadello;2017-03-23;1
Agnadello;2017-03-26;1
Agnadello;2017-03-30;1
Agnadello;2017-03-31;1
Agnadello;2017-04-01;1
Agnadello;2017-04-03;1
Agnadello;2017-04-04;1
Agnadello;2017-04-05;1
Agnadello;2017-04-06;1
Agnadello;2017-04-07;1
Agnadello;2017-04-11;1
Agnadello;2017-04-19;1
Agnadello;2017-04-20;2
Agnadello;2017-04-21;1
Agnadello;2017-04-22;1
Agnadello;2017-04-26;1
Agnadello;2017-04-27;1
Agnadello;2017-04-28;1
Agnadello;2017-05-03;2
Agnadello;2017-05-05;2
Agnadello;2017-05-06;1
Agnadello;2017-05-10;2
Agnadello;2017-05-11;4
Agnadello;2017-05-13;1
Agnadello;2017-05-14;1
Agnadello;2017-05-15;2
Agnadello;2017-05-17;1
Agnadello;2017-05-18;3
Agnadello;2017-05-19;6
Agnadello;2017-05-21;1
Agnadello;2017-05-23;1
Agnadello;2017-05-25;1
Agnadello;2017-05-27;3
Agnadello;2017-05-29;1
Agnadello;2017-05-31;1
Agnadello;2017-06-01;1
Agnadello;2017-06-05;1
Agnadello;2017-06-06;1
Agnadello;2017-06-07;1
Agnadello;2017-06-09;2
Agnadello;2017-06-10;2
Agnadello;2017-06-12;1
Agnadello;2017-06-13;1
Agnadello;2017-06-15;11
